"PREPRINT_DOI","PREPRINT_TITLE","PREPRINT_POSTED_DATE"
"10.1101/000380","a model of flux regulation in the cholesterol biosynthesis pathway: immune mediated graduated flux reduction versus statin-like led stepped flux reduction",2013-11-14
"10.1101/000398","the origin of human-infecting avian influenza a h6n1 virus",2013-11-14
"10.1101/000414","the evolution of sex differences in disease genetics",2013-11-14
"10.1101/000406","universality and predictability in molecular quantitative genetics",2013-11-14
"10.1101/000422","on the optimal trimming of high-throughput mrnaseq data",2013-11-14
"10.1101/000489","gappy totalrecaller for rnaseq base-calling and mapping",2013-11-15
"10.1101/000513","lack of evidence for the presence of an interferon in invertebrate",2013-11-16
"10.1101/000521","pathways to social evolution: reciprocity, relatedness, and synergy",2013-11-16
"10.1101/000497","unexpected links reflect the noise in networks",2013-11-15
"10.1101/000547","varing chemical equilibrium gives kinetic parameters",2013-11-16
"10.1101/000562","a structural classification of candidate oscillators and multistationary systems",2013-11-18
"10.1101/000588","on the concept of biological function, junk dna and the gospels of encode and grauret al.",2013-11-18
"10.1101/000604","aß, tau, a-synuclein, huntingtin, tdp-43, prp and aa are members of the innate immune system: a unifying hypothesis on the etiology of ad, pd, hd, als, cjd and rsa as innate immunity disorders",2013-11-18
"10.1101/000638","effects of metsulfuron-methyl on aquatic plant (lemna gibba l.) and recovery from after prolonged exposure under rice cropping conditions",2013-11-18
"10.1101/000687","human genetics and clinical aspects of neurodevelopmental disorders",2013-11-18
"10.1101/000653","an interplay between extracellular signalling and the dynamics of the exit from pluripotency drives cell fate decisions in mouse es cells",2013-11-18
"10.1101/000711","sap flow through petioles and petioles reveals leaf-level responses to light and vapor pressure deficit in the tropical tree tabebuia rosea (bignoniaceae)",2013-11-19
"10.1101/000661","natural allelic variations of xenobiotic enzymes pleiotropically affect sexual dimorphism inoryzias latipes",2013-11-19
"10.1101/000679","differentiation-dependent telomeric long non-coding transcription in a model of skeletal myogenesis",2013-11-18
"10.1101/000745","ros accumulation in cotton ovule epidermal cells is necessary for fiber initiation",2013-11-19
"10.1101/000760","linking indices for biodiversity monitoring to extinction risk theory",2013-11-21
"10.1101/000786","cycling physicochemical gradients as  evolutionary drivers : from complex matter to complex living states",2013-11-20
"10.1101/000778","quantifying the turnover of transcriptional subclasses of hiv-1-infected cells",2013-11-20
"10.1101/000844","genomics via optical mapping (i): 0-1 laws for mapping with single molecules",2013-11-22
"10.1101/000802","generation of high-resolutiona prioriy-chromosome phylogenies using  next-generation  sequencing data",2013-11-22
"10.1101/000836","journey to the center of the mitochondria guided by the tail anchor of protein tyrosine phosphatase 1b",2013-11-22
"10.1101/000869","virulence in a pseudomonas syringae strain with a small repertoire of predicted effectors",2013-11-23
"10.1101/000885","resource usage and gene circuit performance characterization in a cell-free ?breadboard?",2013-11-25
"10.1101/000893","the effectiveness of china s national forest protection program and national-level nature reserves, 2000 to 2010",2013-11-25
"10.1101/000919","inferring tree causal models of cancer progression with probability raising",2013-11-25
"10.1101/000968","functional connectivity networks with and without global signal correction",2013-11-26
"10.1101/000927","investigating the relation between stochastic differentiation and homeostasis in intestinal crypts via multiscale modeling",2013-11-25
"10.1101/000943","simultaneous optogenetic manipulation and calcium imaging in freely movingc. elegans",2013-11-27
"10.1101/000430","negative autoregulation matches production and demand in synthetic transcriptional networks",2013-11-14
"10.1101/000448","design and implementation of a synthetic biomolecular concentration tracker",2013-11-15
"10.1101/000455","a data repository and analysis framework for spontaneous neural activity recordings in developing retina",2013-11-15
"10.1101/000992","mutated sf3b1 is associated with transcript isoform changes of the genes uqcc and rpl31 both in clls and uveal melanomas",2013-12-02
"10.1101/001008","efficient search, mapping, and optimization of multi-protein genetic systems in diverse bacteria",2013-12-02
"10.1101/001016","on the study of evolutionary predictability using historical reconstruction",2013-12-02
"10.1101/001024","exploring dna structures in real-time polymerase kinetics using pacific biosciences sequencer data",2013-12-02
"10.1101/001065","a null model for pearson coexpression networks",2013-12-02
"10.1101/001032","mechanism of ß-aminobutyric acid-induced resistance in wheat to the grain aphid, sitobion avenae",2013-12-02
"10.1101/001040","high genetic diversity and adaptive potential of two simian hemorrhagic fever viruses in a wild primate population",2013-12-03
"10.1101/001081","pyrad: assembly ofde novoradseq loci for phylogenetic analyses",2013-12-03
"10.1101/001107","u2af1 mutations alter splice site recognition in hematological malignancies",2013-12-03
"10.1101/001073","variational inference of population structure in large snp datasets",2013-12-02
"10.1101/001099","otx2 dosage sensitivity is implicated in hemifacial microsomia",2013-12-03
"10.1101/000984","a bayesian method to incorporate hundreds of functional characteristics with association evidence to improve variant prioritization",2013-12-04
"10.1101/001156","influence of walking speed on locomotor time production",2013-12-04
"10.1101/001172","species delimitation using genome-wide snp data",2013-12-05
"10.1101/001214","conneconomics: the economics of dense, large-scale, high-resolution neural connectomics",2013-12-10
"10.1101/001255","broad-scale spatial patterns of canopy cover and pond morphology affect the structure of a neotropical amphibian metacommunity",2013-12-10
"10.1101/001198","genomic architecture of human neuroanatomical diversity",2013-12-10
"10.1101/001263","climate change triggers morphological and life-history evolution in response to predators",2013-12-10
"10.1101/001297","aerodynamic characteristics of a feathered dinosaur measured using physical models. effects of form on static stability and control effectiveness.",2013-12-10
"10.1101/001305","ordered, random, monotonic, and non-monotonic digital nanodot gradients",2013-12-10
"10.1101/001321","effect of glycogen synthase kinase-3 inactivation on mouse mammary gland development and oncogenesis",2013-12-10
"10.1101/001347","evaluating the use of abba-baba statistics to locate introgressed loci",2013-12-11
"10.1101/001248","a conserved oomycete crn effector targets and modulates tomato tcp14-2 to enhance virulence",2013-12-11
"10.1101/001354","a tale of two hypotheses: genetics and the ethnogenesis of ashkenazi jewry",2013-12-12
"10.1101/001230","libroadrunner: a high performance sbml compliant simulator",2013-12-12
"10.1101/001362","extensive phenotypic changes associated with large-scale horizontal gene transfer",2013-12-12
"10.1101/001289","an adaptive threshold in mammalian neocortical evolution",2013-12-13
"10.1101/001370","accurate detection of de novo and transmitted indels within exome-capture data using micro-assembly",2013-12-13
"10.1101/001396","parametric inference in the large data limit using maximally informative models",2013-12-13
"10.1101/001404","the importance of population growth and regulation in human life history evolution",2013-12-14
"10.1101/001388","bayesian inference of infectious disease transmission from whole genome sequence data",2013-12-16
"10.1101/001438","dcl1, a protein that produces plant microrna, coordinates meristem activity",2013-12-16
"10.1101/001446","direct reciprocity under uncertainty does not explain one-shot cooperation, but it can explain norm psychology",2013-12-17
"10.1101/001453","selection signatures in worldwide sheep populations",2013-12-17
"10.1101/001461","rna structure refinement using the erraser-phenix pipeline",2013-12-19
"10.1101/001479","massively differential bias between two widely used illumina library preparation methods for small rna sequencing",2013-12-19
"10.1101/001487","hawkish but helpful: when cultural group selection favors within-group aggression",2013-12-20
"10.1101/001495","a coarse-grained elastic network atom contact model and its use in the simulation of protein dynamics and the prediction of the effect of mutations",2013-12-20
"10.1101/001511","the causal meaning of genomic predictors and how it affects the construction and comparison of genome-enabled selection models",2013-12-21
"10.1101/001529","revisiting the effect of population size on cumulative cultural evolution",2013-12-21
"10.1101/001545","exploring community structure in biological networks with random graphs",2013-12-22
"10.1101/001586","embodied cognition, embodied regulation, and the data rate theorem",2013-12-23
"10.1101/001552","ancient human genomes suggest three ancestral populations for present-day europeans",2013-12-23
"10.1101/001594","morphometrics of a wild asian elephant exhibiting disproportionate dwarfism",2013-12-24
"10.1101/001537","assessing the use of antiviral treatment to control influenza",2013-12-26
"10.1101/001602","p97-dependent retrotranslocation and proteolytic processing govern formation of active nrf1 upon proteasome inhibition",2013-12-29
"10.1101/001610","black rhinoceros demography should be stage, not age, based.",2013-12-30
"10.1101/001636","hippocampal motifs",2013-12-31
"10.1101/001669","algorithms in stringomics (i): pattern-matching against ""stringomes""",2014-01-02
"10.1101/001651","power-law null model for bystander mutations in cancer",2014-01-02
"10.1101/001677","beyond species: why ecological interaction networks vary through space and time",2014-01-03
"10.1101/001685","stem cells in nanomia bijuga (siphonophora), a colonial animal with localized growth zones",2014-01-06
"10.1101/001693","a statistical mechanics model for the collective epigenetic histone modification dynamics",2014-01-08
"10.1101/001701","an unmet actin requirement explains the mitotic inhibition of clathrin-mediated endocytosis",2014-01-09
"10.1101/001719","modeling the functional relationship network at the splice isoform level through heterogeneous data integration",2014-01-09
"10.1101/001727","siann: strain identification by alignment to near neighbors",2014-01-10
"10.1101/001735","ecological and evolutionary oscillations in host-parasite population dynamics, and the red queen",2014-01-10
"10.1101/001743","opposing microtubule motors control motility, morphology, and cargo segregation during er-to-golgi transport.",2014-01-10
"10.1101/001750","shifts in stability and control effectiveness during evolution of paraves support aerial maneuvering hypotheses for flight origins",2014-01-13
"10.1101/001768","quantification of nuclear transport in single cells",2014-01-13
"10.1101/001776","chromothripsis-like patterns are recurring but heterogeneously distributed features in a survey of 22,347 cancer genome screens",2014-01-13
"10.1101/001784","global epistasis makes adaptation predictable despite sequence-level stochasticity",2014-01-13
"10.1101/001792","human paternal and maternal demographic histories: insights from high-resolution y chromosome and mtdna sequences",2014-01-13
"10.1101/001818","emergence of structural and dynamical properties of ecological mutualistic networks",2014-01-14
"10.1101/001826","expertly validated models suggest responses to climate change are related to species traits: a phylogenetically-controlled analysis of the order lagomorpha",2014-01-14
"10.1101/001800","the toxoplasma acto-myoa motor complex is important but not essential for gliding motility and host cell invasion",2014-01-15
"10.1101/001842","the emergence of the rescue effect from explicit within- and between-patch dynamics in a metapopulation",2014-01-15
"10.1101/001867","estimating seed bank accumulation and dynamics in three obligate-seeder proteaceae species",2014-01-17
"10.1101/001875","how and where to look for trnas in metazoan mitochondrial genomes, and what you might find when you get there",2014-01-17
"10.1101/001883","tracking global changes induced in the cd4 t cell receptor repertoire by immunization with a complex antigen using short stretches of cdr3 protein sequence.",2014-01-17
"10.1101/001909","the shrinking human protein coding complement: are there fewer than 20,000 genes?",2014-01-17
"10.1101/001891","population genomics ofsaccharomyces cerevisiaehuman isolates: passengers, colonizers, invaders.",2014-01-17
"10.1101/001834","illumina truseq synthetic long-reads empowerde novoassembly and resolve complex, highly repetitive transposable elements",2014-01-21
"10.1101/001917","modelling and analysis of bacterial tracks suggest an active reorientation mechanism inrhodobacter sphaeroides",2014-01-21
"10.1101/001933","coalescence 2.0: a multiple branching of recent theoretical developments and their applications",2014-01-21
"10.1101/001925","complex behavioral manipulation drives mismatch between host and parasite diversity",2014-01-21
"10.1101/001941","particle size distribution and optimal capture of aqueous macrobial edna",2014-01-21
"10.1101/001966","correcting a shape-directed rna structure by a mutate-map-rescue approach",2014-01-22
"10.1101/001958","joint variant andde novomutation identification on pedigrees from high-throughput sequencing data",2014-01-22
"10.1101/001974","single nucleotide polymorphisms shed light on correlations between environmental variables and adaptive genetic divergence among populations in oncorhynchus keta",2014-01-22
"10.1101/001982","an accelerated mirna-based screen implicates atf-3 in odorant receptor expression",2014-01-22
"10.1101/002014","estimate of within population incremental selection through branch imbalance in lineage trees",2014-01-23
"10.1101/002022","atomic structures of glucose, fructose and sucrose and explanation of anomeric carbon",2014-01-23
"10.1101/002006","genome-wide patterns of copy number variation in the diversified chicken genomes using next-generation sequencing",2014-01-23
"10.1101/001990","an improved search algorithm to find g-quadruplexes in genome sequences",2014-01-23
"10.1101/002063","holsteins favor heifers, not bulls: biased milk production programmed during pregnancy as a function of fetal sex",2014-01-24
"10.1101/002048","bayesian energy landscape tilting: towards concordant models of molecular ensembles",2014-01-24
"10.1101/002097","a powerful approach for identification of differentially transcribed mrna isoforms",2014-01-26
"10.1101/002071","a microrna profile infmr1knockout mice reveals microrna expression alterations with possible roles in fragile x syndrome",2014-01-26
"10.1101/002139","vgenerepertoire.org identifies and stores variable genes of immunoglobulins and t-cell receptors from the genomes of jawed vertebrates",2014-01-27
"10.1101/002147","the determinants of alpine butterfly richness and composition vary according to the ecological traits of species",2014-01-27
"10.1101/002170","transcriptome pyrosequencing of abnormal phenotypes in trypanosoma cruzi epimastigotes after ectopic expression of a small zinc finger protein",2014-01-28
"10.1101/002196","cytoplasmic nanojunctions between lysosomes and sarcoplasmic reticulum are required for specific calcium signaling",2014-01-28
"10.1101/002204","genome-wide dna methylome analysis reveals novel epigenetically dysregulated non-coding rnas in human breast cancer",2014-01-28
"10.1101/002105","the disruption of trace element homeostasis due to aneuploidy as a unifying theme in the etiology of cancer",2014-01-29
"10.1101/002188","significantly distinct branches of hierarchical trees: a framework for statistical analysis and applications to biological data",2014-01-29
"10.1101/002238","fast principal component analysis of large-scale genome-wide data",2014-01-30
"10.1101/002261","impact of rna degradation on measurements of gene expression",2014-01-30
"10.1101/002279","diverse and widespread contamination evident in the unmapped depths of high throughput sequencing data",2014-01-30
"10.1101/002121","faldo: a semantic standard for describing the location of nucleotide and protein feature annotation.",2014-01-31
"10.1101/002287","predicting growth conditions from internal metabolic fluxes in an in-silico model of e. coli",2014-01-31
"10.1101/002303","stress, heritability, tissue type and human methylome variation in mother-newborn dyads.",2014-01-31
"10.1101/002295","modeling bi-modality improves characterization of cell cycle on gene expression in single cells",2014-02-03
"10.1101/002311","the organization and dynamics of corticostriatal pathways link the medial orbitofrontal cortex to future decisions",2014-02-03
"10.1101/002329","improving protein docking with constraint programming and coevolution data",2014-02-03
"10.1101/002345","approximation to the distribution of fitness effects across functional categories in human segregating polymorphisms",2014-02-04
"10.1101/002360","a phase diagram for gene selection and disease classification",2014-02-04
"10.1101/002352","snp-guided identification of monoallelic dna-methylation events from enrichment-based sequencing data",2014-02-04
"10.1101/002386","genetic variants associated with motion sickness point to roles for inner ear development, neurological processes, and glucose homeostasis",2014-02-04
"10.1101/002378","evolutionary dynamics of shared niche construction",2014-02-05
"10.1101/002436","biochemical 'cambrian' explosion-implosions: the generation and pruning of genetic codes",2014-02-06
"10.1101/002444","methods to study toxic transgenes in c. elegans: an analysis of protease-dead separase in the c. elegans embryo",2014-02-06
"10.1101/002485","epistasis within the mhc contributes to the genetic architecture of celiac disease",2014-02-07
"10.1101/002469","automated ensemble assembly and validation of microbial genomes",2014-02-07
"10.1101/002337","metabolic composition of anode community predicts electrical power in microbial fuel cells",2014-02-07
"10.1101/002493","the roles of standing genetic variation and evolutionary history in determining the evolvability of anti-predator strategies",2014-02-07
"10.1101/002501","within the fortress: a specialized parasite of ants is not evicted",2014-02-07
"10.1101/002527","investigating speciation in face of polyploidization: what can we learn from approximate bayesian computation approach?",2014-02-09
"10.1101/002550","noradrenergic plasticity of olfactory sensory neuron inputs to the main olfactory bulb",2014-02-09
"10.1101/002428","evidence for widespread positive and negative selection in coding and conserved noncoding regions of capsella grandiflora",2014-02-10
"10.1101/002519","social, spatial and temporal segregation in an ant society",2014-02-11
"10.1101/002584","estimating the evolution of human life history traits in age-structured populations",2014-02-11
"10.1101/002576","sashimi plots: quantitative visualization of alternative isoform expression from rna-seq data",2014-02-11
"10.1101/002634","mangal - making ecological network analysis simple",2014-02-12
"10.1101/002600","cell specific eqtl analysis without sorting cells",2014-02-12
"10.1101/002618","genomic v-gene repertoire in reptiles",2014-02-12
"10.1101/002667","the immunologic v-gene repertoire in mammals",2014-02-13
"10.1101/002675","non-specificity of pitstop 2 in clathrin-mediated endocytosis",2014-02-13
"10.1101/002626","production of systemically circulating hedgehog by the intestine couples nutrition to growth and development",2014-02-14
"10.1101/002642","a reassessment of consensus clustering for class discovery",2014-02-14
"10.1101/002659","synthesis and patterning of tunable multiscale materials with engineered cells",2014-02-14
"10.1101/002683","evolutionary rates for multivariate traits: the role of selection and genetic variation",2014-02-14
"10.1101/002691","neuroanatomical diversity of corpus callosum and brain volume in the autism brain imaging data exchange (abide) project",2014-02-14
"10.1101/002709","differential gene expression and alternative splicing in insect immune specificity",2014-02-14
"10.1101/002725","spectacle: faster and more accurate chromatin state annotation using spectral learning",2014-02-14
"10.1101/002717","immune stimulation reduces sleep and memory ability in drosophila melanogaster",2014-02-14
"10.1101/002766","a novel approach for multi-domain and multi-gene family identification provides insights into evolutionary dynamics of disease resistance genes in core eudicot plants",2014-02-17
"10.1101/002782","large-scale non-targeted metabolomic profiling in three human population-based studies",2014-02-17
"10.1101/002741","fluorescent sensors for activity and regulation of the nitrate transceptor chl1/nrt1.1 and oligopeptide transporters",2014-02-18
"10.1101/002790","escrt-0 is not required for ectopic notch activation and tumor suppression in drosophila",2014-02-18
"10.1101/002808","migration and interaction in a contact zone: mtdna variation among bantu-speakers in southern africa",2014-02-18
"10.1101/002816","widespread signals of convergent adaptation to high altitude in asia and america",2014-02-19
"10.1101/002865","no evidence that natural selection has been less effective at removing deleterious mutations in europeans than in west africans",2014-02-20
"10.1101/002881","a gwas platform built on iplant cyber-infrastructure",2014-02-20
"10.1101/002899","an experimentally determined evolutionary model dramatically improves phylogenetic fit",2014-02-20
"10.1101/002907","population diversification in a yeast metabolic program promotes anticipation of environmental shifts",2014-02-21
"10.1101/002923","spatial information in large-scale neural recordings",2014-02-21
"10.1101/002931","ld score regression distinguishes confounding from polygenicity in genome-wide association studies",2014-02-21
"10.1101/002964","t-lex2: genotyping, frequency estimation and re-annotation of transposable elements using single or pooled next-generation sequencing data",2014-02-24
"10.1101/002972","efficient synergistic single-cell genome assembly",2014-02-24
"10.1101/002980","genetic drift suppresses bacterial conjugation in spatially structured populations",2014-02-24
"10.1101/002998","extensive translation of small orfs revealed by polysomal ribo-seq",2014-02-24
"10.1101/003004","neanderthals had our de novo genes.",2014-02-25
"10.1101/003012","genetic drift opposes mutualism during spatial population expansion",2014-02-25
"10.1101/003053","a tug-of-war between driver and passenger mutations in cancer and other adaptive processes",2014-02-26
"10.1101/003087","chromatin loops as allosteric modulators of enhancer-promoter interactions",2014-02-26
"10.1101/003061","dna methylation modulates transcription factor occupancy chiefly at sites of high intrinsic cell-type variability",2014-02-27
"10.1101/003095","on a solution of the biodiversity paradox and a competitive coexistence principle",2014-02-27
"10.1101/003111","genomic repeat element analyzer for mammals (gream)",2014-02-28
"10.1101/003137","a novel inference of the fundamental biodiversity number for multiple immigration-limited communities",2014-02-28
"10.1101/003129","a genetic screen identifies two novel rice cysteine-rich receptor-like kinases that are required for the rice nh1-mediated immune response",2014-02-28
"10.1101/003145","high bacterial load predicts poor outcomes in patients with idiopathic pulmonary fibrosis",2014-02-28
"10.1101/003152","complementation of a temperature sensitive escherichia coli rpod mutation using lactobacillus sigma factors",2014-03-02
"10.1101/003178","dissect: an assignment-free bayesian discovery method for species delimitation under the multispecies coalescent",2014-03-03
"10.1101/003160","conditions for the validity of snp-based heritability estimation",2014-03-03
"10.1101/003186","does 'information control the living state'?",2014-03-04
"10.1101/003194","phylogenetic tree shapes resolve disease transmission patterns",2014-03-05
"10.1101/003210","detecting translational regulation by change point analysis of ribosome profiling datasets",2014-03-05
"10.1101/003228","meteorological conditions influence short-term survival and dispersal in a reinforced long-lived bird population.",2014-03-05
"10.1101/003244","an analysis of cochlear implant distortion from a user's perspective",2014-03-06
"10.1101/003277","filament formation by metabolic enzymes is a specific adaptation to an advanced state of cellular starvation",2014-03-07
"10.1101/003285","alignathon: a competitive assessment of whole genome alignment methods.",2014-03-10
"10.1101/003269","early warning signs in social-ecological networks",2014-03-12
"10.1101/003293","distinct structural transitions of chromatin topological domains coordinate hormone-induced gene regulation",2014-03-13
"10.1101/003319","genetic influences on translation in yeast",2014-03-16
"10.1101/003376","analysis of stop-gain and frameshift variants in human innate immunity genes",2014-03-17
"10.1101/003327","measuring error rates in genomic perturbation screens: gold standards for human functional genomics",2014-03-17
"10.1101/003350","horizontal transfers and gene losses in the phospholipid pathway of bartonella reveal clues about early ecological niches",2014-03-17
"10.1101/003368","hydrogen peroxide thermochemical oscillator as driver for primordial rna replication",2014-03-17
"10.1101/003384","metabolic free energy and biological codes: a 'data rate theorem' aging model",2014-03-17
"10.1101/003400","optimizing real time fmri neurofeedback for therapeutic discovery and development",2014-03-18
"10.1101/003442","the role of migration in the evolution of phenotypic switching",2014-03-19
"10.1101/003459","mpl expression on megakaryocytes and platelets is dispensable for thrombopoiesis but essential to prevent myeloproliferation",2014-03-19
"10.1101/003467","epigenetic modifications are associated with inter-species gene expression variation in primates",2014-03-19
"10.1101/003475","divide and conquer approach for genome classification based on subclass characterization",2014-03-20
"10.1101/003483","identification of five patterns of nucleosome positioning that globally describe transcription factor function",2014-03-21
"10.1101/003517","towards a new history and geography of human genes informed by ancient dna",2014-03-21
"10.1101/003525","towards a molecular systems model of coronary artery disease",2014-03-23
"10.1101/003541","an optimized crispr/cas toolbox for efficient germline and somatic genome engineering in drosophila",2014-03-24
"10.1101/003533","rice bip3 regulates immunity mediated by the prrs xa3 and xa21 but not immunity mediated by the nb-lrr protein, pi5",2014-03-26
"10.1101/003558","how many digits in a mean are worth reporting?",2014-03-25
"10.1101/003574","3d mapping of disease in ant societies reveals a strategy of a specialized parasite",2014-03-27
"10.1101/003616","the hvcn1 channel conducts protons into the phagocytic vacuole of neutrophils to produce a physiologically alkaline ph",2014-03-27
"10.1101/003608","a comparison of peak callers used for dnase-seq data",2014-03-27
"10.1101/003640","the scramble conversion tool",2014-03-28
"10.1101/003665","flexible analysis of transcriptome assemblies with ballgown",2014-03-30
"10.1101/003624","numerous new mitogenomic sequences and multiple new environmental dna markers for invasive bighead and silver carp (hypophthalmichthys nobilis and h. molitrix) populations in north america",2014-03-30
"10.1101/003657","exploring the spatially explicit predictions of the maximum entropy theory of ecology",2014-03-30
"10.1101/003673","geometry shapes evolution of early multicellularity",2014-03-30
"10.1101/003707","an evolutionary resolution of manipulation conflict",2014-03-31
"10.1101/003749","multilocus species trees show the recent adaptive radiation of the mimetic heliconius butterflies",2014-04-02
"10.1101/003764","new whole genome de novo assemblies of three divergent strains of rice (o. sativa) documents novel gene space of aus and indica",2014-04-02
"10.1101/003731","hgtector: an automated method facilitating genome-wide discovery of putative horizontal gene transfers",2014-04-02
"10.1101/003723","reademption - a tool for the computational analysis of deep-sequencing-based transcriptome data",2014-04-03
"10.1101/003780","protected polymorphisms and evolutionary stability of patch-selection strategies in stochastic environments",2014-04-03
"10.1101/003806","unravelling the diversity behind ophiocordyceps unilateralis complex: three new species of zombie-ant fungus from brazilian amazon",2014-04-03
"10.1101/003848","an experimentally informed evolutionary model improves phylogenetic fit to divergent lactamase homologs",2014-04-03
"10.1101/003913","micrornas regulate the wnt/ca2+ signaling pathway to promote the secretion of insulin in pancreatic nestin-positive progenitor cells",2014-04-04
"10.1101/003756","diversity of entomopathogens fungi: which groups conquered the insect body?",2014-04-04
"10.1101/003897","intermediate migration yields optimal adaptation in structured, asexual populations",2014-04-04
"10.1101/003954","splitmem: graphical pan-genome analysis with suffix skips",2014-04-06
"10.1101/003863","application of the radial distribution function for quantitative analysis of neuropil microstructure in stratum radiatum of ca1 region in hippocampus.",2014-04-07
"10.1101/003871","brachyury cooperates with wnt/ß-catenin signalling to elicit primitive streak like behaviour in differentiating mouse es cells.",2014-04-07
"10.1101/003939","evolutionary multiplayer games",2014-04-07
"10.1101/003962","kmerstream: streaming algorithms for k-mer abundance estimation",2014-04-07
"10.1101/003988","sharing of very short ibd segments between humans, neandertals, and denisovans",2014-04-07
"10.1101/004002","model adequacy and the macroevolution of angiosperm functional traits",2014-04-07
"10.1101/003947","building realistic assemblages with a joint species distribution model",2014-04-09
"10.1101/003921","estimating phylogeny from microrna data: a critical appraisal",2014-04-08
"10.1101/004010","mixmir: microrna motif discovery from gene expression data using mixed linear models",2014-04-09
"10.1101/004028","a signature of power law network dynamics",2014-04-09
"10.1101/004036","bias and measurement error in comparative analyses: a case study with the ornstein uhlenbeck model",2014-04-09
"10.1101/004119","natural cmt2 variation is associated with genome-wide methylation changes and temperature seasonality",2014-04-10
"10.1101/004101","whole genome bisulfite sequencing of cell free dna and its cellular contributors uncovers placenta hypomethylated domains",2014-04-11
"10.1101/004135","direct reciprocity under uncertainty does not explain one-shot cooperation, but demonstrates the benefits of a norm psychology",2014-04-11
"10.1101/004168","neural lineage induction reveals multi-scale dynamics of 3d chromatin organization",2014-04-11
"10.1101/004127","average oxidation state of carbon in proteins",2014-04-14
"10.1101/004176","a novel paradigm for auditory discrimination training with social reinforcement in songbirds",2014-04-14
"10.1101/004184","flexible methods for estimating genetic distances from nucleotide data",2014-04-14
"10.1101/004192","epigenetic landscape models: the post-genomic era",2014-04-14
"10.1101/004218","bridging the genotype and the phenotype: towards an epigenetic landscape approach to evolutionary systems biology",2014-04-14
"10.1101/004226","building a better frog trap: the benefits of mal-adaptive habitat choice for metapopulations with different life history strategies",2014-04-15
"10.1101/004267","gradual divergence and diversification of mammalian duplicate gene functions",2014-04-17
"10.1101/004283","weight loss in response to food deprivation predicts the extent of diet induced obesity in c57bl/6j mice",2014-04-17
"10.1101/004234","genetic influences on brain gene expression in rats selected for tameness and aggression",2014-04-17
"10.1101/004291","quantitative comparison of single-cell sequencing methods using hippocampal neurons",2014-04-18
"10.1101/004242","exact reconstruction of gene regulatory networks using compressive sensing",2014-04-20
"10.1101/004325","behavioral variation in drosophila melanogaster: no evidence for common alleles of large- effect at the foraging gene in a population from north carolina, usa",2014-04-21
"10.1101/004341","quantifying selection in immune receptor repertoires",2014-04-21
"10.1101/004366","quantitative comparison of single-cell sequencing methods using hippocampal neurons",2014-04-21
"10.1101/004374","phylogenetic anova: the expression variance and evolution (eve) model for quantitative trait evolution",2014-04-21
"10.1101/004390","notorious novel avian influenza viruses h10n8 and h7n9 in china in 2013 co-originated from h9n2",2014-04-21
"10.1101/004259","disentangling multidimensional spatio-temporal data into their common and aberrant responses",2014-04-23
"10.1101/004424","soft selective sweeps in complex demographic scenarios",2014-04-23
"10.1101/004432","an integrated rna and crispr/cas toolkit for multiplexed synthetic circuits and endogenous gene regulation in human cells",2014-04-23
"10.1101/004440","the evolution of genetic diversity in changing environments",2014-04-23
"10.1101/004457","cell size regulation in bacteria",2014-04-23
"10.1101/004465","a novel bayesian method for inferring and interpreting the dynamics of adaptive landscapes from phylogenetic comparative data",2014-04-23
"10.1101/004416","the evolution of power and the divergence of cooperative norms",2014-04-24
