"control_issn","control_doi","control_comparison_doi","control_title","control_publisher","control_journal","control_volume","control_issue","control_type","control_date","IF","control_is_oa","control_oa_journal","control_oa_evidence","control_oa_host_type","control_score","control_tweets","control_facebook","control_feeds","control_mendeley"
"0959-437X","10.1016/j.gde.2013.10.010","10.1016/j.gde.2013.11.001","Genetic screens in mice for genome integrity maintenance and cancer predisposition","Elsevier BV","current opinion in genetics & development","24",NA,"journal-article","2013-12-13","4.995",FALSE,FALSE,NA,NA,0,0,0,0,NA
"0168-9525","10.1016/j.tig.2014.08.001","10.1016/j.tig.2014.08.006","Serving epigenetics before its time","Elsevier BV","trends in genetics","30","10","journal-article","2014-09-19","10.556",FALSE,FALSE,NA,NA,31.3,56,1,0,"48"
"0305-1048","10.1093/nar/gkw954","10.1093/nar/gkw1148","
            Crystal structure of
            Pseudomonas aeruginosa
            RsaL bound to promoter DNA reaffirms its role as a global regulator involved in quorum-sensing
          ","Oxford University Press (OUP)","nucleic acids research","45","2","journal-article","2016-10-11","11.561",TRUE,TRUE,"open (via page says Open Access)","publisher",0,0,0,0,NA
"2161-5063","10.1021/sb4001307","10.1021/sb400157z","d-OptCom: Dynamic Multi-level and Multi-objective Metabolic Modeling of Microbial Communities","American Chemical Society (ACS)","acs synthetic biology","3","4","journal-article","2014-02-17","5.316",FALSE,FALSE,NA,NA,10.7,7,0,1,"179"
"2161-5063","10.1021/sb500195w","10.1021/sb500024b","Fine-tuning Interaction between Aminoacyl-tRNA Synthetase and tRNA for Efficient Synthesis of Proteins Containing Unnatural Amino Acids","American Chemical Society (ACS)","acs synthetic biology","4","3","journal-article","2014-05-15","5.316",TRUE,FALSE,"open (via crossref license)","publisher",10.6,7,0,1,"19"
"1664-8021","10.3389/fgene.2014.00037","10.3389/fgene.2014.00013","The challenges and importance of structural variation detection in livestock","Frontiers Media SA","frontiers in genetics","5",NA,"journal-article","2014-02-18","4.151",TRUE,TRUE,"oa journal (via doaj)","publisher",2.5,4,0,0,"67"
"0014-3820","10.1111/evo.12441","10.1111/evo.12438","COMPETITION FOR HUMMINGBIRD POLLINATION SHAPES FLOWER COLOR VARIATION IN ANDEAN SOLANACEAE","Wiley","evolution",NA,NA,"journal-article","2014-04-25","3.818",TRUE,FALSE,"open (via free pdf)","publisher",34.85,37,1,1,"164"
"1745-6150","10.1186/s13062-016-0164-z","10.1186/s13062-016-0155-0","Importins promote high-frequency NF-<U+03BA>B oscillations increasing information channel capacity","Springer Nature","biology direct","11","1","journal-article","2016-11-11","2.649",TRUE,TRUE,"open (via page says license)","publisher",0,0,0,0,NA
"2047-217X","10.1186/2047-217x-3-5","10.1186/2047-217x-3-3","Think globally and solve locally: secondary memory-based network learning for automated multi-species function prediction","Oxford University Press (OUP)","gigascience","3","1","journal-article","2014-04-23","7.267",TRUE,TRUE,"open (via page says license)","publisher",9.862,2,0,1,"18"
"2046-6390","10.1242/bio.20148334","10.1242/bio.20148409","Orthosiphon stamineus protects Caenorhabditis elegans against Staphylococcus aureus infection through immunomodulation","The Company of Biologists","biology open","3","7","journal-article","2014-06-28","2.217",TRUE,TRUE,"open (via page says license)","publisher",0,0,0,0,NA
"0002-9297","10.1016/j.ajhg.2014.02.007","10.1016/j.ajhg.2014.03.004","2013 Presidential Address: Just Another President’s Speech (but It’s All about You)1","Elsevier BV","the american journal of human genetics","94","3","journal-article","2014-03-08","8.855",TRUE,FALSE,"open (via crossref license)","publisher",0,0,0,0,NA
"0888-8892","10.1111/cobi.12311","10.1111/cobi.12308","Assessing Multiregion Avian Benefits from Strategically Targeted Agricultural Buffers","Wiley","conservation biology","28","4","journal-article","2014-04-29","5.89",FALSE,FALSE,NA,NA,5.45,9,0,0,"28"
"1553-7358","10.1371/journal.pcbi.1003874","10.1371/journal.pcbi.1003871","Predicting the Functions and Specificity of Triterpenoid Synthases: A Mechanism-Based Multi-intermediate Docking Approach","Public Library of Science (PLoS)","plos computational biology","10","10","journal-article","2014-10-09","3.955",TRUE,TRUE,"oa journal (via doaj)","publisher",0,0,0,0,NA
"2161-5063","10.1021/sb500019b","10.1021/sb400203p","Recognition Sequences and Substrate Evolution in Cyanobactin Biosynthesis","American Chemical Society (ACS)","acs synthetic biology","4","2","journal-article","2014-03-13","5.316",TRUE,FALSE,"open (via crossref license)","publisher",1,3,0,0,"56"
"1471-2164","10.1186/1471-2164-15-433","10.1186/1471-2164-15-398","An ultra-high density bin-map for rapid QTL mapping for tassel and ear architecture in a large F2 maize population","Springer Nature","bmc genomics","15","1","journal-article","2014-06-04","3.73",TRUE,TRUE,"open (via page says license)","publisher",0,0,0,0,NA
"1088-9051","10.1101/gr.172098.114","10.1101/gr.169292.113","Genomic evidence for adaptation by gene duplication","Cold Spring Harbor Laboratory","genome research","24","8","journal-article","2014-06-06","10.101",TRUE,FALSE,"open (via page says license)","publisher",5.6,11,0,0,"145"
"1932-6203","10.1371/journal.pone.0098342","10.1371/journal.pone.0097272","Depression in Primary Care Patients with Coronary Heart Disease: Baseline Findings from the UPBEAT UK Study","Public Library of Science (PLoS)","plos one","9","6","journal-article","2014-06-12","2.766",TRUE,TRUE,"oa journal (via doaj)","publisher",2.25,2,1,0,"26"
"0888-8892","10.1111/cobi.12556","10.1111/cobi.12561","Facilitating climate-change-induced range shifts across continental land-use barriers","Wiley","conservation biology","29","6","journal-article","2015-07-20","5.89",FALSE,FALSE,NA,NA,23.95,21,1,2,"111"
"1932-6203","10.1371/journal.pone.0112375","10.1371/journal.pone.0108358","Genome-Wide Classification and Evolutionary and Expression Analyses of Citrus MYB Transcription Factor Families in Sweet Orange","Public Library of Science (PLoS)","plos one","9","11","journal-article","2014-11-06","2.766",TRUE,TRUE,"oa journal (via doaj)","publisher",0,0,0,0,NA
"1662-5161","10.3389/conf.fnhum.2013.212.00194","10.3389/fnhum.2013.00880","Frontotemporal dementia as disease model of episodic memory","Frontiers Media SA","frontiers in human neuroscience","7",NA,"journal-article","2013-12-03","2.871",TRUE,TRUE,"oa journal (via doaj)","publisher",0,0,0,0,NA
"1662-5110","10.3389/fncir.2014.00018","10.3389/fncir.2014.00028","Biologically inspired load balancing mechanism in neocortical competitive learning","Frontiers Media SA","frontiers in neural circuits","8",NA,"journal-article","2014-03-11","3.131",TRUE,TRUE,"oa journal (via doaj)","publisher",0,0,0,0,NA
"1674-2052","10.1093/mp/sst175","10.1093/mp/ssu003","Single-Nucleotide Resolution Mapping of the Gossypium raimondii Transcriptome Reveals a New Mechanism for Alternative Splicing of Introns","Elsevier BV","molecular plant","7","5","journal-article","2014-01-08","9.326",TRUE,FALSE,"open (via crossref license)","publisher",1,1,0,0,"38"
"1076-836X","10.1093/sysbio/syu012","10.1093/sysbio/syu018","From Taxonomy to Phylogenetics: Life and Work of Willi Hennig.— By Michael Schmitt.","Oxford University Press (OUP)","systematic biology","63","3","journal-article","2014-02-28","8.523",TRUE,FALSE,"open (via free pdf)","publisher",0,0,0,0,NA
"0018-8158","10.1007/s10750-014-1887-4","10.1007/s10750-014-1870-0","Field observations of four Aurelia labiata jellyfish behaviours: swimming down in response to low salinity pre-empted swimming up in response to touch, but animal and plant materials were captured equally","Springer Nature","hydrobiologia","736","1","journal-article","2014-05-07","2.165",FALSE,FALSE,NA,NA,0,0,0,0,NA
"1932-6203","10.1371/journal.pone.0104873","10.1371/journal.pone.0106541","Divergent Effects of Liraglutide, Exendin-4, and Sitagliptin on Beta-Cell Mass and Indicators of Pancreatitis in a Mouse Model of Hyperglycaemia","Public Library of Science (PLoS)","plos one","9","8","journal-article","2014-08-13","2.766",TRUE,TRUE,"oa journal (via doaj)","publisher",0,0,0,0,NA
"1359-4184","10.1038/mp.2014.106","10.1038/mp.2014.99","Gsx1 expression defines neurons required for prepulse inhibition","Springer Nature","molecular psychiatry","20","8","journal-article","2014-09-16","11.64",TRUE,FALSE,"oa repository (via OAI-PMH doi match)","repository",10.5,2,1,0,"32"
"1545-7885","10.1371/journal.pbio.1002023","10.1371/journal.pbio.1002000","Coevolution Drives the Emergence of Complex Traits and Promotes Evolvability","Public Library of Science (PLoS)","plos biology","12","12","journal-article","2014-12-16","9.163",TRUE,TRUE,"oa journal (via doaj)","publisher",150.228,158,12,2,"236"
"1537-1719","10.1093/molbev/msu253","10.1093/molbev/msu269","A Transcriptomic Approach to Ribbon Worm Systematics (Nemertea): Resolving the Pilidiophora Problem","Oxford University Press (OUP)","molecular biology and evolution","31","12","journal-article","2014-08-29","10.217",TRUE,FALSE,"open (via free pdf)","publisher",1.75,3,0,0,"39"
"1932-6203","10.1371/journal.pone.0083788","10.1371/journal.pone.0085203","Effective Moment Feature Vectors for Protein Domain Structures","Public Library of Science (PLoS)","plos one","8","12","journal-article","2013-12-31","2.766",TRUE,TRUE,"open (via page says license)","publisher",0,0,0,0,NA
"0950-9232","10.1038/onc.2014.274","10.1038/onc.2014.279","MiR-181 family: regulators of myeloid differentiation and acute myeloid leukemia as well as potential therapeutic targets","Springer Nature","oncogene","34","25","journal-article","2014-09-01","6.854",FALSE,FALSE,NA,NA,0,0,0,0,NA
"1537-1719","10.1093/molbev/msu135","10.1093/molbev/msu121","How the Mountain Pine Beetle (Dendroctonus ponderosae) Breached the Canadian Rocky Mountains","Oxford University Press (OUP)","molecular biology and evolution","31","7","journal-article","2014-04-23","10.217",TRUE,FALSE,"open (via page says Open Access)","publisher",18.6,15,0,0,"13"
"1932-6203","10.1371/journal.pone.0120256","10.1371/journal.pone.0119789","Retroviruses Hijack Chromatin Loops to Drive Oncogene Expression and Highlight the Chromatin Architecture around Proto-Oncogenic Loci","Public Library of Science (PLoS)","plos one","10","3","journal-article","2015-03-23","2.766",TRUE,TRUE,"open (via page says license)","publisher",2,4,0,0,"5"
"0899-7667","10.1162/neco_a_00582","10.1162/neco_a_00568","Sample Skewness as a Statistical Measurement of Neuronal Tuning Sharpness","MIT Press - Journals","neural computation","26","5","journal-article","2014-02-20","1.651",TRUE,FALSE,"oa repository (via OAI-PMH doi match)","repository",0,0,0,0,NA
"1932-6203","10.1371/journal.pone.0103453","10.1371/journal.pone.0103813","Migration, Foraging, and Residency Patterns for Northern Gulf Loggerheads: Implications of Local Threats and International Movements","Public Library of Science (PLoS)","plos one","9","7","journal-article","2014-07-30","2.766",TRUE,TRUE,"open (via free pdf)","publisher",22.008,1,0,1,"53"
"1664-8021","10.3389/fgene.2015.00335","10.3389/fgene.2015.00352","Evaluation of Genome Wide Association Study Associated Type 2 Diabetes Susceptibility Loci in Sub Saharan Africans","Frontiers Media SA","frontiers in genetics","6",NA,"journal-article","2015-11-24","4.151",TRUE,TRUE,"open (via page says license)","publisher",1.75,3,0,0,"21"
"1553-7358","10.1371/journal.pcbi.1003535","10.1371/journal.pcbi.1003569","Phylogenetic Quantification of Intra-tumour Heterogeneity","Public Library of Science (PLoS)","plos computational biology","10","4","journal-article","2014-04-17","3.955",TRUE,TRUE,"oa journal (via doaj)","publisher",14.6,19,0,0,"163"
"1471-2105","10.1186/1471-2105-15-191","10.1186/1471-2105-15-220","Efficient design of meganucleases using a machine learning approach","Springer Nature","bmc bioinformatics","15","1","journal-article","2014-06-17","2.213",TRUE,TRUE,"open (via page says license)","publisher",0.25,1,0,0,"32"
"0016-6731","10.1534/genetics.115.178020","10.1534/genetics.114.169490","
            Parasexual Ploidy Reduction Drives Population Heterogeneity Through Random and Transient Aneuploidy in
            Candida albicans
          ","Genetics Society of America","genetics","200","3","journal-article","2015-05-20","4.075",TRUE,FALSE,"open (via free pdf)","publisher",5.1,8,0,0,"46"
"0950-2688","10.1017/s0950268814002362","10.1017/s0950268814002520","Sustainable reduction of nasal colonization and hand contamination with Staphylococcus aureus in food handlers, 2002–2011","Cambridge University Press (CUP)","epidemiology and infection","143","08","journal-article","2014-10-13","2.044",TRUE,FALSE,"oa repository (via OAI-PMH title and first author match)","repository",0,0,0,0,NA
"1756-0500","10.1186/s13104-015-1155-3","10.1186/1756-0500-7-933","Iodine deficiency and thyroid nodular pathology - epidemiological and cancer characteristics in different populations: Portugal and South Africa","Springer Nature","bmc research notes","8","1","journal-article","2015-06-30",NA,TRUE,TRUE,"open (via page says license)","publisher",0,0,0,0,NA
"1097-6256","10.1038/1202-1254","10.1038/nn.3884","The cortical basis of motor planning: does it take two to tango?","Springer Nature","nature neuroscience","5","12","journal-article","2014-12-01","19.912",FALSE,FALSE,NA,NA,0,0,0,0,NA
"1932-6203","10.1371/journal.pone.0095674","10.1371/journal.pone.0098122","Mercury Reduces Avian Reproductive Success and Imposes Selection: An Experimental Study with Adult- or Lifetime-Exposure in Zebra Finch","Public Library of Science (PLoS)","plos one","9","4","journal-article","2014-04-23","2.766",TRUE,TRUE,"open (via page says license)","publisher",10.75,3,0,0,"66"
"1471-2105","10.1186/s12859-015-0491-6","10.1186/s12859-014-0449-0","histoneHMM: Differential analysis of histone modifications with broad genomic footprints","Springer Nature","bmc bioinformatics","16","1","journal-article","2015-02-21","2.213",TRUE,TRUE,"open (via page says license)","publisher",4.75,13,1,0,"79"
"1744-4292","10.15252/msb.20145141","10.15252/msb.20134955","Intercellular network structure and regulatory motifs in the human hematopoietic system","EMBO","molecular systems biology","10","7","journal-article","2014-07-16","8.5",TRUE,TRUE,"open (via page says license)","publisher",0.5,1,0,0,"122"
"1932-6203","10.1371/journal.pone.0091326","10.1371/journal.pone.0091768","Restrictive Expression of Acid-Sensing Ion Channel 5 (Asic5) in Unipolar Brush Cells of the Vestibulocerebellum","Public Library of Science (PLoS)","plos one","9","3","journal-article","2014-03-25","2.766",TRUE,TRUE,"open (via page says license)","publisher",0.25,1,0,0,"21"
"1460-2059","10.1093/bioinformatics/btu138","10.1093/bioinformatics/btu121","pRESTO: a toolkit for processing high-throughput sequencing raw reads of lymphocyte receptor repertoires","Oxford University Press (OUP)","bioinformatics","30","13","journal-article","2014-03-12","5.481",TRUE,FALSE,"open (via free pdf)","publisher",3.75,3,0,0,"154"
"0016-6731","10.1534/genetics.114.163824","10.1534/genetics.114.164350","
            Degradation of Specific Nuclear Proteins Occurs in the Cytoplasm in
            Saccharomyces cerevisiae
          ","Genetics Society of America","genetics","197","1","journal-article","2014-03-13","4.075",TRUE,FALSE,"open (via free pdf)","publisher",0.85,1,0,0,"31"
"1932-6203","10.1371/journal.pone.0091989","10.1371/journal.pone.0090714","Disease Prediction Models and Operational Readiness","Public Library of Science (PLoS)","plos one","9","3","journal-article","2014-03-20","2.766",TRUE,TRUE,"open (via page says license)","publisher",6.6,11,0,0,"76"
"0028-0836","10.1038/513s10a","10.1038/nature13673","Immunotherapy: Chemical tricks","Springer Nature","nature","513","7517","journal-article","2014-09-10","41.577",TRUE,FALSE,"open (via free pdf)","publisher",29.474,23,1,2,"38"
"1932-6203","10.1371/journal.pone.0128315","10.1371/journal.pone.0128115","Neuropilin-2 Is a Newly Identified Target of PAX8 in Thyroid Cells","Public Library of Science (PLoS)","plos one","10","6","journal-article","2015-06-02","2.766",TRUE,TRUE,"open (via page says license)","publisher",0.5,2,0,0,"5"
"1088-9051","10.1101/gr.176214.114","10.1101/gr.181016.114","A formal perturbation equation between genotype and phenotype determines the Evolutionary Action of protein-coding variations on fitness","Cold Spring Harbor Laboratory","genome research","24","12","journal-article","2014-09-13","10.101",TRUE,FALSE,"open (via page says license)","publisher",12.25,8,1,0,"99"
"1367-4803","10.1093/bioinformatics/btv227","10.1093/bioinformatics/btv363","Exploring the structure and function of temporal networks with dynamic graphlets","Oxford University Press (OUP)","bioinformatics","31","12","journal-article","2015-06-13","5.481",TRUE,FALSE,"open (via page says Open Access)","publisher",1.75,3,0,0,"81"
"1548-7091","10.1038/nmeth.3067","10.1038/nmeth.3069","Visualizing a protein quake with time-resolved X-ray scattering at a free-electron laser","Springer Nature","nature methods","11","9","journal-article","2014-08-10","26.919",TRUE,FALSE,"oa repository (via OAI-PMH doi match)","repository",52,20,0,0,"159"
"0030-1299","10.1111/oik.01538","10.1111/oik.01719","Direct and indirect effects of marsupial browsing on a foundation tree species","Wiley","oikos","124","4","journal-article","2014-10-14","3.709",FALSE,FALSE,NA,NA,9.85,4,0,1,"10"
"1471-2164","10.1186/1471-2164-15-74","10.1186/1471-2164-15-82","Comprehensive analysis of ß-catenin target genes in colorectal carcinoma cell lines with deregulated Wnt/ß-catenin signaling","Springer Nature","bmc genomics","15","1","journal-article","2014-01-28","3.73",TRUE,TRUE,"open (via page says license)","publisher",0.25,1,0,0,"169"
"2167-8359","10.7717/peerj.579","10.7717/peerj.632","The impact of atypical early histories on pet or performer chimpanzees","PeerJ","peerj","2",NA,"journal-article","2014-09-23","2.118",TRUE,TRUE,"open (via page says license)","publisher",242.442,21,4,6,"57"
"2041-2223","10.1186/2041-2223-5-11","10.1186/2041-2223-5-13","Molecular genetic investigative leads to differentiate monozygotic twins","Springer Nature","investigative genetics","5","1","journal-article","2014-08-29",NA,TRUE,FALSE,"open (via page says license)","publisher",15,25,0,0,"12"
"2041-9139","10.1186/2041-9139-6-2","10.1186/s13227-015-0018-2","Gene expression patterns that support novel developmental stress buffering in embryos of the annual killifish Austrofundulus limnaeus","Springer Nature","evodevo","6","1","journal-article","2015-06-18","3.313",TRUE,TRUE,"open (via page says license)","publisher",2,3,1,0,"23"
"0031-9007","10.1103/physrevlett.112.046803","10.1103/physrevlett.112.068101","Direct Quantitative Electrical Measurement of Many-Body Interactions in Exciton Complexes in InAs Quantum Dots","American Physical Society (APS)","physical review letters","112","4","journal-article","2014-01-31","8.839",FALSE,FALSE,NA,NA,0,0,0,0,NA
"1932-6203","10.1371/journal.pone.0093043","10.1371/journal.pone.0091819","The Bamboo-Eating Giant Panda (Ailuropoda melanoleuca) Has a Sweet Tooth: Behavioral and Molecular Responses to Compounds That Taste Sweet to Humans","Public Library of Science (PLoS)","plos one","9","3","journal-article","2014-03-26","2.766",TRUE,TRUE,"oa journal (via doaj)","publisher",135.03,35,1,2,"41"
"1932-6203","10.1371/journal.pone.0124283","10.1371/journal.pone.0122267","High EMT Signature Score of Invasive Non-Small Cell Lung Cancer (NSCLC) Cells Correlates with NF<U+03BA>B Driven Colony-Stimulating Factor 2 (CSF2/GM-CSF) Secretion by Neighboring Stromal Fibroblasts","Public Library of Science (PLoS)","plos one","10","4","journal-article","2015-04-28","2.766",TRUE,TRUE,"open (via page says license)","publisher",1.25,2,0,0,"41"
"1932-6203","10.1371/journal.pone.0108683","10.1371/journal.pone.0106689","Molecular Pathology of Rare Bleeding Disorders (RBDs) in India: A Systematic Review","Public Library of Science (PLoS)","plos one","9","10","journal-article","2014-10-02","2.766",TRUE,TRUE,"open (via page says license)","publisher",0.5,1,1,0,"8"
"0962-8452","10.1098/rspb.2013.2822","10.1098/rspb.2013.3127","The evolution of predictive adaptive responses in humans: response","The Royal Society","proceedings of the royal society b: biological sciences","281","1780","journal-article","2014-02-12","4.847",TRUE,FALSE,"open (via free pdf)","publisher",0,0,0,0,NA
"1460-2059","10.1093/bioinformatics/btu465","10.1093/bioinformatics/btu523","Transcriptome-guided amyloid imaging genetic analysis via a novel structured sparse learning algorithm","Oxford University Press (OUP)","bioinformatics","30","17","journal-article","2014-08-26","5.481",TRUE,FALSE,"open (via page says Open Access)","publisher",5.35,11,0,0,"27"
"0962-1083","10.1111/mec.12769","10.1111/mec.12755","Parallel signatures of selection in temporally isolated lineages of pink salmon","Wiley","molecular ecology","23","10","journal-article","2014-04-25","6.131",FALSE,FALSE,NA,NA,1,1,0,0,"55"
"1742-5689","10.1098/rsif.2014.0397","10.1098/rsif.2014.0320","Computational modelling suggests good, bad and ugly roles of glycosaminoglycans in arterial wall mechanics and mechanobiology","The Royal Society","journal of the royal society interface","11","97","journal-article","2014-06-11","3.355",TRUE,FALSE,"open (via free pdf)","publisher",0,0,0,0,NA
"2041-210X","10.1111/2041-210x.12203","10.1111/2041-210x.12206","Measuring the relative effect of factors affecting species distribution model predictions","Wiley","methods in ecology and evolution","5","9","journal-article","2014-05-05","6.363",TRUE,FALSE,"open (via free pdf)","publisher",14.4,27,0,0,"168"
"2045-2322","10.1038/srep20566","10.1038/srep20109","Three DUF1996 Proteins Localize in Vacuoles and Function in Fungal Responses to Multiple Stresses and Metal Ions","Springer Nature","scientific reports","6","1","journal-article","2016-02-03","4.122",TRUE,TRUE,"open (via page says license)","publisher",0.5,1,0,0,"9"
"0305-1048","10.1093/nar/gkv1322","10.1093/nar/gkv1198","The MG-RAST metagenomics database and portal in 2015","Oxford University Press (OUP)","nucleic acids research","44","D1","journal-article","2015-12-13","11.561",TRUE,TRUE,"open (via free pdf)","publisher",4.25,10,0,0,"154"
"1471-2164","10.1186/1471-2164-15-963","10.1186/1471-2164-15-962","Whole genome sequencing of Turkish genomes reveals functional private alleles and impact of genetic interactions with Europe, Asia and Africa","Springer Nature","bmc genomics","15","1","journal-article","2014-11-07","3.73",TRUE,TRUE,"open (via page says license)","publisher",27.4,35,2,0,"52"
"1066-5277","10.1089/cmb.2014.009p","10.1089/cmb.2014.0029","RECOMB/ISCB Systems Biology, Regulatory Genomics, and DREAM 2013 Special Issue","Mary Ann Liebert Inc","journal of computational biology","21","5","journal-article","2014-04-30","1.191",FALSE,FALSE,NA,NA,0,0,0,0,NA
"0006-3495","10.1016/j.bpj.2014.01.050","10.1016/j.bpj.2014.02.009","Zebrafish Cardiac Muscle Thick Filaments: Isolation Technique and Three-Dimensional Structure","Elsevier BV","biophysical journal","106","8","journal-article","2014-04-15","3.495",TRUE,FALSE,"open (via crossref license)","publisher",0,0,0,0,NA
"1932-6203","10.1371/journal.pone.0085090","10.1371/journal.pone.0086169","Coactosin-Like 1 Antagonizes Cofilin to Promote Lamellipodial Protrusion at the Immune Synapse","Public Library of Science (PLoS)","plos one","9","1","journal-article","2014-01-13","2.766",TRUE,TRUE,"oa journal (via doaj)","publisher",1,0,0,0,"24"
"0893-7648","10.1007/s12035-014-8729-2","10.1007/s12035-014-8770-1","Induction of GDNF and BDNF by hRheb(S16H) Transduction of SNpc Neurons: Neuroprotective Mechanisms of hRheb(S16H) in a Model of Parkinson’s Disease","Springer Nature","molecular neurobiology","51","2","journal-article","2014-05-24","5.076",FALSE,FALSE,NA,NA,0.25,1,0,0,"17"
"2041-1480","10.1186/s13326-016-0077-x","10.1186/s13326-016-0067-z","The Orthology Ontology: development and applications","Springer Nature","journal of biomedical semantics","7","1","journal-article","2016-06-04","1.6",TRUE,TRUE,"open (via page says license)","publisher",3.2,4,0,0,"7"
"1471-2164","10.1186/1471-2164-15-s9-s16","10.1186/1471-2164-15-1000","Rule discovery and distance separation to detect reliable miRNA biomarkers for the diagnosis of lung squamous cell carcinoma","Springer Nature","bmc genomics","15","Suppl 9","journal-article","2014-12-08","3.73",TRUE,TRUE,"open (via page says license)","publisher",0.25,1,0,0,"19"
"1932-6203","10.1371/journal.pone.0108632","10.1371/journal.pone.0110808","Response-Predictive Gene Expression Profiling of Glioma Progenitor Cells In Vitro","Public Library of Science (PLoS)","plos one","9","9","journal-article","2014-09-30","2.766",TRUE,TRUE,"open (via page says license)","publisher",1.5,2,0,0,"14"
"1932-6203","10.1371/journal.pone.0094442","10.1371/journal.pone.0093766","Promoter Polymorphism in the Serotonin Transporter (5-HTT) Gene Is Significantly Associated with Leukocyte Telomere Length in Han Chinese","Public Library of Science (PLoS)","plos one","9","4","journal-article","2014-04-07","2.766",TRUE,TRUE,"open (via page says license)","publisher",0.25,1,0,0,"20"
"2046-1402","10.12688/f1000research.4260","10.12688/f1000research.3986","Vitellogenin family gene expression does not increase Drosophila lifespan or fecundity","F1000 Research, Ltd.","f1000research",NA,NA,"journal-article","2014-06-10",NA,TRUE,TRUE,"open (via page says license)","publisher",0,0,0,0,NA
"1932-6203","10.1371/journal.pone.0111738","10.1371/journal.pone.0114608","Coryphoid Palm Leaf Fossils from the Maastrichtian–Danian of Central India with Remarks on Phytogeography of the Coryphoideae (Arecaceae)","Public Library of Science (PLoS)","plos one","9","11","journal-article","2014-11-13","2.766",TRUE,TRUE,"open (via free pdf)","publisher",7,7,3,0,"7"
"2050-084X","10.7554/elife.02313","10.7554/elife.00829","A KRAS-directed transcriptional silencing pathway that mediates the CpG island methylator phenotype","eLife Sciences Publications, Ltd","elife","3",NA,"journal-article","2014-03-12","7.616",TRUE,TRUE,"open (via page says license)","publisher",8.75,12,0,0,"117"
