"SOURCETITLE","YEAR","IF"
"nature communications",2014,11.97
"circulation research",2017,11.93
"nature communications",2015,11.89
"american journal of human genetics",2015,11.88
"neuroscience and biobehavioral reviews",2013,11.86
"trends in genetics",2012,11.85
"genes and development",2014,11.81
"nature protocols",2017,11.8
"molecular systems biology",2014,11.71
"cell metabolism",2012,11.7
"american journal of psychiatry",2014,11.68
"microbiome",2016,11.68
"ecology letters",2013,11.67
"molecular psychiatry",2016,11.65
"developmental cell",2012,11.62
"angewandte chemie - international edition",2016,11.62
"american journal of human genetics",2012,11.6
"annals of oncology",2017,11.59
"angewandte chemie - international edition",2017,11.58
"nature chemical biology",2012,11.58
"angewandte chemie - international edition",2015,11.55
"journal of extracellular vesicles",2014,11.54
"nano letters",2012,11.52
"molecular psychiatry",2015,11.51
"cell host and microbe",2016,11.5
"nature communications",2013,11.48
"genome biology",2017,11.44
"nucleic acids research",2017,11.4
"molecular systems biology",2015,11.4
"journal of allergy and clinical immunology",2015,11.36
"nature structural and molecular biology",2013,11.34
"genes and development",2015,11.32
"american journal of psychiatry",2017,11.31
"alzheimer's and dementia",2017,11.28
"ecology letters",2014,11.24
"journal of hepatology",2016,11.24
"acta neuropathologica",2016,11.23
"nature structural and molecular biology",2012,11.22
"angewandte chemie - international edition",2014,11.21
"nature microbiology",2017,11.21
"journal of allergy and clinical immunology",2013,11.15
"science advances",2017,11.14
"journal of extracellular vesicles",2015,11.14
"genome biology",2013,11.13
"proceedings of the ieee",2013,11.1
"developmental cell",2013,11.07
"new england journal of medicine",2018,11.05
"angewandte chemie - international edition",2013,11.03
"nature protocols",2014,11
"acta neuropathologica",2015,10.99
"nature reviews molecular cell biology",2018,10.98
"ecology letters",2015,10.98
"annals of oncology",2016,10.97
"circulation research",2013,10.96
"journal of experimental medicine",2017,10.95
"biological psychiatry",2015,10.9
"journal of allergy and clinical immunology",2016,10.89
"trends in microbiology",2016,10.88
"trends in genetics",2014,10.88
"journal of hepatology",2014,10.86
"alzheimer's and dementia",2015,10.8
"trends in microbiology",2017,10.75
"journal of allergy and clinical immunology",2012,10.73
"journal of allergy and clinical immunology",2014,10.73
"trends in microbiology",2013,10.71
"proceedings of the national academy of sciences of the united states of america",2013,10.69
"ecology letters",2017,10.69
"nature protocols",2016,10.69
"nature protocols",2015,10.67
"trends in genetics",2015,10.66
"current opinion in plant biology",2013,10.65
"biological psychiatry",2014,10.65
"proceedings of the national academy of sciences of the united states of america",2014,10.62
"circulation research",2015,10.62
"alzheimer's and dementia",2014,10.6
"american journal of psychiatry",2015,10.6
"biological reviews",2013,10.58
"nature materials",2018,10.55
"cell host and microbe",2013,10.53
"genome biology",2014,10.52
"cell host and microbe",2014,10.48
"cell host and microbe",2015,10.48
"softwarex",2017,10.45
"circulation research",2012,10.43
"biological reviews",2017,10.43
"biological psychiatry",2017,10.43
"cell research",2012,10.41
"circulation research",2014,10.41
"developmental cell",2014,10.4
"plos biology",2013,10.38
"proceedings of the national academy of sciences of the united states of america",2015,10.35
"journal of the american chemical society",2012,10.35
"current opinion in biotechnology",2016,10.34
"nucleic acids research",2016,10.34
"nucleic acids research",2015,10.32
"genome research",2017,10.31
"molecular psychiatry",2017,10.29
"biological reviews",2014,10.27
"plos biology",2012,10.26
"clinical infectious diseases",2014,10.19
"molecular biology and evolution",2014,10.17
"biological psychiatry",2016,10.16
"angewandte chemie - international edition",2012,10.15
"cancer research",2013,10.15
"frontiers in ecology and the environment",2015,10.14
"journal of hepatology",2015,10.14
"biological psychiatry",2013,10.14
"neuroscience and biobehavioral reviews",2014,10.12
"proceedings of the national academy of sciences of the united states of america",2016,10.11
"nucleic acids research",2014,10.1
"trends in genetics",2017,10.09
"trends in microbiology",2015,10.08
"isme journal",2014,10.07
"trends in genetics",2016,10.07
"developmental cell",2015,10.05
"embo journal",2013,10.02
"acs nano",2012,10
"acta neuropathologica",2013,9.99
"nature plants",2017,9.99
"genes and development",2016,9.96
"american journal of psychiatry",2016,9.96
"ecology letters",2012,9.95
"trends in microbiology",2014,9.94
"journal of cell biology",2013,9.88
"bmj (online)",2014,9.87
"cold spring harbor perspectives in medicine",2014,9.86
"plos medicine",2015,9.85
"theranostics",2015,9.83
"acs central science",2017,9.81
"plos medicine",2013,9.8
"gastroenterology",2012,9.8
"science advances",2016,9.78
"nature communications",2012,9.77
"nature",2018,9.77
"nucleic acids research",2013,9.76
"cancer research",2014,9.75
"isme journal",2013,9.75
"clinical infectious diseases",2013,9.75
"plos medicine",2014,9.74
"journal of hepatology",2013,9.74
"microbiome",2015,9.73
"proceedings of the ieee",2012,9.72
"microbiome",2017,9.7
"proceedings of the national academy of sciences of the united states of america",2017,9.69
"journal of cell biology",2014,9.69
"plant cell",2014,9.68
"american journal of human genetics",2016,9.68
"developmental cell",2017,9.66
"theranostics",2016,9.66
"plant cell",2013,9.63
"biological reviews",2015,9.63
"annals of oncology",2015,9.59
"neuroscience and biobehavioral reviews",2015,9.55
"physical review x",2014,9.54
"frontiers in ecology and the environment",2016,9.53
"acta crystallographica section d: biological crystallography",2012,9.52
"current opinion in genetics and development",2013,9.51
"biomaterials",2014,9.51
"current opinion in structural biology",2012,9.51
"cold spring harbor perspectives in biology",2017,9.48
"chemical science",2014,9.47
"isme journal",2015,9.44
"chemical science",2015,9.44
"embo molecular medicine",2017,9.43
"cell research",2017,9.42
"current opinion in structural biology",2013,9.42
"cold spring harbor perspectives in biology",2015,9.41
"journal of autoimmunity",2014,9.41
"ecology letters",2016,9.41
"genetics in medicine",2017,9.4
"biomaterials",2015,9.4
"isme journal",2017,9.39
"current opinion in biotechnology",2015,9.38
"developmental cell",2016,9.37
"journal of cell biology",2012,9.35
"neuroscience and biobehavioral reviews",2016,9.33
"metabolic engineering",2013,9.32
"journal of physical chemistry letters",2016,9.32
"isme journal",2016,9.31
"trends in microbiology",2012,9.29
"biomaterials",2013,9.29
"embo molecular medicine",2015,9.29
"plos medicine",2017,9.28
"neuroscience and biobehavioral reviews",2012,9.27
"proceedings of the ieee",2016,9.26
"proceedings of the national academy of sciences of the united states of america",2012,9.26
"embo journal",2014,9.24
"current opinion in biotechnology",2013,9.22
"cancer immunology research",2017,9.2
"plos medicine",2012,9.16
"nature nanotechnology",2018,9.16
"journal of allergy and clinical immunology",2017,9.12
"genes and development",2017,9.11
"cell death and differentiation",2013,9.1
"molecular systems biology",2016,9.1
"clinical infectious diseases",2012,9.09
"biomaterials",2016,9.08
"cell",2018,9.07
"cell host and microbe",2012,9.06
"cold spring harbor perspectives in biology",2016,9.05
"plant cell",2015,9.04
"cell reports",2014,9.01
"biomaterials",2017,9.01
"embo molecular medicine",2014,9
"trac - trends in analytical chemistry",2016,9
"global change biology",2013,8.99
"journal of physical chemistry letters",2015,8.99
"nature reviews neuroscience",2018,8.98
"nature protocols",2013,8.98
"chemical science",2013,8.95
"american journal of human genetics",2017,8.95
"plos medicine",2016,8.95
"journal of cell biology",2015,8.94
"embo journal",2017,8.9
"proceedings of the ieee",2017,8.89
"cancer research",2015,8.87
"acta neuropathologica",2012,8.84
"current opinion in biotechnology",2017,8.84
"nucleic acids research",2012,8.83
"chemical science",2017,8.83
"earth-science reviews",2014,8.83
"plos pathogens",2013,8.82
"global change biology",2017,8.79
"gigascience",2014,8.78
"plos genetics",2013,8.77
"current opinion in plant biology",2012,8.77
"journal of controlled release",2014,8.77
"cell reports",2016,8.77
"journal of autoimmunity",2015,8.77
"proceedings of the ieee",2015,8.77
"cell reports",2015,8.76
"global change biology",2015,8.74
"microbiome",2014,8.73
"physical review x",2013,8.71
"science",2018,8.69
"clinical infectious diseases",2015,8.68
"current opinion in plant biology",2014,8.68
"cell death and differentiation",2012,8.67
"theranostics",2014,8.66
"embo journal",2012,8.63
"cancer research",2016,8.63
"current opinion in genetics and development",2012,8.62
"alzheimer's and dementia",2016,8.62
"bmj (online)",2015,8.58
"chemical science",2016,8.58
"cold spring harbor perspectives in medicine",2013,8.56
"plos biology",2014,8.55
"journal of autoimmunity",2016,8.53
"cancer research",2012,8.52
"cell research",2016,8.52
"systematic biology",2015,8.51
"embo molecular medicine",2013,8.5
"physical review x",2015,8.5
"chemical science",2012,8.49
"theranostics",2017,8.49
"cell research",2013,8.49
"metabolic engineering",2016,8.48
"global change biology",2014,8.48
"genome biology",2012,8.47
"journal of physical chemistry letters",2017,8.46
"metabolic engineering",2015,8.44
"journal of thoracic oncology",2017,8.43
"biological reviews",2012,8.43
"current opinion in biotechnology",2014,8.43
"cell death and differentiation",2016,8.41
"global change biology",2016,8.41
"bmc medicine",2014,8.4
"bmj (online)",2013,8.39
"plos pathogens",2014,8.39
"psychological review",2014,8.38
"clinical infectious diseases",2017,8.36
"plant cell",2012,8.35
"frontiers in ecology and the environment",2013,8.35
"hypertension",2013,8.35
"embo molecular medicine",2016,8.34
"journal of controlled release",2016,8.34
"biological psychiatry",2012,8.33
"plos genetics",2012,8.33
"journal of controlled release",2015,8.31
"isme journal",2012,8.3
"plant cell",2016,8.29
"current opinion in genetics and development",2014,8.28
"nanoscale",2015,8.28
"cell death and differentiation",2014,8.27
"plos biology",2015,8.27
"systematic biology",2016,8.26
"biological reviews",2016,8.25
"frontiers in ecology and the environment",2014,8.23
"journal of hepatology",2012,8.23
"persoonia: molecular phylogeny and evolution of fungi",2017,8.23
"bmc medicine",2017,8.21
"frontiers in ecology and the environment",2017,8.2
"bmc medicine",2015,8.19
"plant physiology",2013,8.19
"nature plants",2016,8.18
"journal of controlled release",2013,8.17
"cell reports",2017,8.16
"physical review letters",2016,8.16
"biosensors and bioelectronics",2017,8.15
"cancer immunology research",2016,8.14
"earth-science reviews",2013,8.14
"stem cell reports",2016,8.13
"physical review letters",2017,8.13
"physical review letters",2013,8.13
"stem cells",2013,8.12
"neuropsychopharmacology",2013,8.11
"psychological review",2013,8.1
"neuroscience and biobehavioral reviews",2017,8.1
"cell death and differentiation",2015,8.1
"international journal of epidemiology",2014,8.09
"trac - trends in analytical chemistry",2015,8.08
"current opinion in microbiology",2013,8.04
"bmc medicine",2013,8.03
"metabolic engineering",2017,8.03
"stem cell reports",2015,8.01
"bmj (online)",2017,8
"ophthalmology",2016,7.99
"current opinion in biotechnology",2012,7.98
"elife",2015,7.98
"nature medicine",2018,7.98
"mucosal immunology",2013,7.97
"annals of oncology",2014,7.97
"plos genetics",2014,7.96
"oncogene",2013,7.95
"cold spring harbor perspectives in biology",2014,7.95
"embo journal",2015,7.95
"physical review letters",2012,7.93
"plant cell",2017,7.92
"journal of cell biology",2016,7.91
"human molecular genetics",2012,7.89
"journal of controlled release",2017,7.89
"current opinion in structural biology",2015,7.88
"current opinion in plant biology",2015,7.88
"genetics in medicine",2016,7.88
"physical review letters",2014,7.88
"current opinion in plant biology",2016,7.87
"biosensors and bioelectronics",2016,7.87
"acta crystallographica section d: biological crystallography",2013,7.86
"cell death and differentiation",2017,7.86
"systematic biology",2017,7.84
"gigascience",2015,7.83
"fish and fisheries",2016,7.83
"psychological review",2015,7.82
"embo journal",2016,7.82
"molecular systems biology",2017,7.82
"persoonia: molecular phylogeny and evolution of fungi",2016,7.8
"theranostics",2013,7.8
"cell systems",2017,7.79
"current opinion in neurobiology",2013,7.78
"nanoscale",2014,7.77
"cancer research",2017,7.76
"plant physiology",2014,7.76
"global ecology and biogeography",2013,7.73
"genome medicine",2017,7.71
"cell reports",2013,7.69
"molecular neurodegeneration",2015,7.69
"physical review letters",2015,7.69
"journal of physical chemistry letters",2014,7.69
"genetics in medicine",2014,7.69
"oncogene",2014,7.68
"earth-science reviews",2017,7.68
"siam review",2013,7.67
"clinical infectious diseases",2016,7.65
"earth-science reviews",2015,7.65
"cerebral cortex",2013,7.64
"current opinion in structural biology",2014,7.63
"neuro-oncology",2017,7.63
"elife",2014,7.63
"metabolic engineering",2014,7.62
"psychological review",2012,7.61
"journal of cell biology",2017,7.6
"human molecular genetics",2013,7.6
"journal of autoimmunity",2017,7.59
"genetics in medicine",2015,7.58
"cerebral cortex",2014,7.58
"journal of autoimmunity",2013,7.58
"current opinion in neurobiology",2014,7.58
"proceedings of the ieee",2014,7.57
"european respiratory journal",2016,7.56
"plos biology",2016,7.55
"metabolic engineering",2012,7.55
"biosensors and bioelectronics",2015,7.55
"mucosal immunology",2014,7.54
"systematic biology",2012,7.54
"trac - trends in analytical chemistry",2017,7.54
"biomaterials",2012,7.54
"current opinion in plant biology",2017,7.53
"aging",2013,7.53
"current opinion in neurobiology",2015,7.52
"earth-science reviews",2016,7.51
"cell research",2015,7.5
"nanoscale",2016,7.5
"european respiratory journal",2014,7.5
"ophthalmology",2015,7.5
"neuro-oncology",2014,7.49
"neuropsychopharmacology",2014,7.48
"new phytologist",2014,7.48
"plant journal",2013,7.47
"bmc medicine",2016,7.45
"plos pathogens",2015,7.45
"new phytologist",2017,7.44
"molecular metabolism",2015,7.41
"european respiratory journal",2013,7.41
"siam review",2012,7.41
"fish and fisheries",2014,7.4
"ophthalmology",2013,7.4
"neuro-oncology",2015,7.39
"briefings in bioinformatics",2014,7.39
"current opinion in structural biology",2017,7.38
"fish and fisheries",2017,7.37
"hypertension",2014,7.37
"genomics, proteomics and bioinformatics",2017,7.36
"nature biotechnology",2018,7.36
"briefings in bioinformatics",2015,7.36
"journal of neuroscience",2013,7.35
"cold spring harbor perspectives in biology",2013,7.35
"european respiratory journal",2017,7.33
"redox biology",2017,7.33
"trac - trends in analytical chemistry",2014,7.33
"aging cell",2017,7.33
"oncogene",2015,7.33
"journal of molecular cell biology",2013,7.33
"plos pathogens",2012,7.32
"ophthalmology",2014,7.32
"european respiratory journal",2015,7.32
"fish and fisheries",2013,7.32
"critical reviews in plant sciences",2016,7.3
"fish and fisheries",2015,7.29
"nanoscale",2017,7.29
"current opinion in structural biology",2016,7.29
"current opinion in microbiology",2012,7.29
"molecular metabolism",2016,7.27
"neuroimage",2013,7.26
"bmj (online)",2016,7.26
"plos biology",2017,7.25
"gigascience",2017,7.25
"diabetologia",2013,7.25
"mucosal immunology",2012,7.24
"new phytologist",2015,7.23
"current opinion in neurobiology",2016,7.2
"plos genetics",2015,7.18
"diabetologia",2014,7.18
"journal of controlled release",2012,7.17
"hypertension",2012,7.17
"stem cells",2014,7.17
"molecular neurodegeneration",2014,7.17
"journal of neurology, neurosurgery and psychiatry",2014,7.16
"arthritis and rheumatology",2016,7.16
"eurosurveillance",2016,7.16
"international journal of epidemiology",2013,7.15
"human molecular genetics",2014,7.15
"molecular plant",2017,7.15
"science signaling",2015,7.15
"annals of oncology",2013,7.14
"genetics in medicine",2013,7.14
"neuroimage",2014,7.13
"biochimica et biophysica acta - gene regulatory mechanisms",2014,7.13
"cerebral cortex",2015,7.12
"methods in ecology and evolution",2014,7.11
"oncogene",2012,7.11
"nanoscale",2013,7.1
"current opinion in microbiology",2016,7.1
"molecular ecology resources",2016,7.09
"bioinformatics",2016,7.08
"ophthalmology",2017,7.08
"global change biology",2012,7.07
"aging",2014,7.06
"seminars in cell and developmental biology",2014,7.05
"molecular oncology",2012,7.04
"oncotarget",2012,7.04
"european journal of cancer",2015,7.03
"new phytologist",2016,7.03
"trac - trends in analytical chemistry",2013,7.03
"journal of thoracic oncology",2013,7.02
"elife",2017,7.01
"acs central science",2016,6.98
"hypertension",2015,6.98
"mucosal immunology",2016,6.98
"acta biomaterialia",2015,6.98
"seminars in cell and developmental biology",2016,6.96
"redox biology",2015,6.95
"bmc biology",2014,6.95
"molecular plant",2013,6.94
"journal of neuroscience",2014,6.94
"mbio",2016,6.94
"psychological review",2016,6.94
"plant physiology",2015,6.94
"translational psychiatry",2014,6.93
"current opinion in microbiology",2015,6.92
"methods in ecology and evolution",2015,6.91
"global ecology and biogeography",2014,6.9
"mucosal immunology",2017,6.88
"current opinion in neurobiology",2012,6.88
"biosensors and bioelectronics",2014,6.88
"neuro-oncology",2016,6.87
"journal of physical chemistry letters",2013,6.87
"annals of oncology",2012,6.87
"journal for immunotherapy of cancer",2017,6.86
"hypertension",2016,6.86
"acta biomaterialia",2016,6.86
"arthritis and rheumatology",2017,6.86
"aging cell",2014,6.86
"new phytologist",2013,6.85
"biotechnology for biofuels",2015,6.85
"acta biomaterialia",2014,6.84
"molecular ecology resources",2017,6.84
"clinical chemistry",2013,6.84
"molecular oncology",2013,6.84
"current opinion in microbiology",2017,6.84
"neuropsychopharmacology",2012,6.84
"european journal of cancer",2017,6.83
"international journal of epidemiology",2017,6.83
"stem cells",2012,6.81
"skeletal muscle",2013,6.8
"mucosal immunology",2015,6.8
"clinical microbiology and infection",2014,6.79
"cell systems",2016,6.79
"physical review x",2012,6.79
"frontiers in ecology and the environment",2012,6.79
"aging cell",2016,6.78
"oncotarget",2013,6.77
"psychological review",2017,6.77
"glia",2014,6.76
"bmc medicine",2012,6.76
"cellular and molecular life sciences",2017,6.76
"mbio",2015,6.76
"seminars in cell and developmental biology",2013,6.76
"science signaling",2013,6.76
"molecular autism",2013,6.75
"aging",2012,6.75
"development (cambridge)",2014,6.74
"biosensors and bioelectronics",2013,6.73
"current opinion in neurobiology",2017,6.73
"bioinformatics",2015,6.73
"plos pathogens",2016,6.73
"stem cell reports",2017,6.72
"current opinion in genetics and development",2015,6.72
"redox biology",2016,6.72
"plant journal",2014,6.71
"philosophical transactions of the royal society b: biological sciences",2013,6.71
"clinical chemistry",2014,6.7
"cold spring harbor perspectives in medicine",2012,6.7
"critical reviews in plant sciences",2014,6.7
"molecular and cellular proteomics",2013,6.69
"lab on a chip",2014,6.69
"neuropsychopharmacology",2015,6.69
"journal of autoimmunity",2012,6.67
"bmc biology",2013,6.66
"mbio",2017,6.66
"aging cell",2013,6.65
"molecular and cellular proteomics",2016,6.65
"current opinion in microbiology",2014,6.65
"journal of the royal statistical society. series b: statistical methodology",2013,6.64
"development (cambridge)",2015,6.63
"open biology",2014,6.62
"hypertension",2017,6.62
"molecular and cellular proteomics",2014,6.61
"international journal of epidemiology",2015,6.6
"biotechnology for biofuels",2014,6.6
"journal of neurology, neurosurgery and psychiatry",2017,6.59
"journal of experimental botany",2013,6.59
"journal of thoracic oncology",2016,6.59
"plant journal",2012,6.59
"current opinion in virology",2013,6.58
"aging cell",2015,6.58
"embo reports",2017,6.57
"earth-science reviews",2012,6.57
"plant physiology",2016,6.57
"analytical chemistry",2016,6.56
"philosophical transactions of the royal society b: biological sciences",2014,6.56
"pharmacological research",2015,6.55
"oncotarget",2014,6.55
"elife",2016,6.55
"mobile dna",2017,6.54
"glia",2015,6.53
"plant physiology",2012,6.53
"molecular neurodegeneration",2017,6.53
"breast cancer research",2013,6.53
"acta biomaterialia",2017,6.52
"journal of neuroscience",2012,6.52
"science signaling",2012,6.51
"journal of neuroscience",2015,6.51
"neuro-oncology",2013,6.51
"cell research",2014,6.5
"journal of applied crystallography",2013,6.5
"journal of medicinal chemistry",2016,6.48
"journal of infectious diseases",2014,6.47
"eurosurveillance",2017,6.46
"journal of molecular cell biology",2012,6.46
"human molecular genetics",2015,6.45
"european respiratory journal",2012,6.45
"molecular metabolism",2017,6.45
"current opinion in genetics and development",2016,6.45
"british journal of cancer",2016,6.45
"embo reports",2013,6.44
"oncogene",2016,6.44
"stem cell reports",2014,6.44
"international journal of epidemiology",2016,6.44
"cellular and molecular life sciences",2013,6.43
"lab on a chip",2013,6.42
"molecular plant",2016,6.41
"frontiers in immunology",2016,6.41
"stem cells",2015,6.4
"journal of infectious diseases",2015,6.4
"nature genetics",2018,6.39
"free radical biology and medicine",2014,6.39
"cancer prevention research",2013,6.39
"mbio",2013,6.39
"journal of experimental botany",2014,6.39
"glia",2016,6.38
"european journal of cancer",2016,6.38
"psychological science",2015,6.38
"current opinion in virology",2014,6.37
"bmj (online)",2012,6.36
"molecular and cellular proteomics",2015,6.36
"european journal of cancer",2014,6.36
"biotechnology for biofuels",2013,6.35
"molecular ecology resources",2012,6.35
"journal of medicinal chemistry",2017,6.35
"cellular and molecular life sciences",2015,6.34
"breast cancer research",2016,6.34
"acta biomaterialia",2013,6.33
"molecular plant",2014,6.33
"current biology",2017,6.33
"embo reports",2014,6.33
"molecular autism",2014,6.32
"science signaling",2016,6.32
"free radical biology and medicine",2013,6.32
"cancer cell",2018,6.32
"critical reviews in plant sciences",2013,6.31
"current biology",2013,6.29
"free radical biology and medicine",2015,6.29
"journal of neuroscience",2016,6.28
"genetics in medicine",2012,6.28
"oncogene",2017,6.27
"gigascience",2016,6.26
"neuroimage",2015,6.26
"journal of physical chemistry letters",2012,6.25
"neuropsychopharmacology",2016,6.25
"neuropsychopharmacology",2017,6.25
"british journal of cancer",2015,6.25
"cellular and molecular life sciences",2014,6.25
"archives of toxicology",2015,6.25
"neuroimage",2016,6.25
"analytical chemistry",2013,6.24
"molecular plant",2015,6.24
"current biology",2014,6.24
"journal of neurology, neurosurgery and psychiatry",2016,6.23
"biochimica et biophysica acta - gene regulatory mechanisms",2013,6.23
"molecular plant",2012,6.23
"nature protocols",2012,6.23
"molecular neurodegeneration",2016,6.22
"environmental microbiology",2014,6.22
"astrophysical journal",2014,6.21
"cold spring harbor perspectives in biology",2012,6.2
"environmental microbiology",2013,6.2
"neuroimage",2012,6.2
"human brain mapping",2013,6.19
"embo molecular medicine",2012,6.19
"global ecology and biogeography",2012,6.19
"global ecology and biogeography",2016,6.19
"arthritis and rheumatology",2015,6.19
"ophthalmology",2012,6.18
