"PREPRINT_DOI","ARTICLE_DOI","ARTICLE_CREATED_DATE","ARTICLE_TITLE","SOURCETITLE","PAGE_CNT","PUBTYPE","DOCTYPE","AUTHOR_CNT","TYPE"
"10.1101/118463","10.1103/physreve.95.042323",2017-04-28,"Mean-field equations for neuronal networks with arbitrary degree distributions","physical review e",NA,"J","ar",7,"Deposited"
"10.1101/089581","10.7554/elife.22510",2017-03-23,"Structural reorganization of the chromatin remodeling enzyme Chd1 upon engagement with nucleosomes","elife",NA,"J","ar",15,"Deposited"
"10.1101/074898","10.1371/journal.pone.0173707",2017-03-13,"Optokinetic nystagmus reflects perceptual directions in the onset binocular rivalry in Parkinson's disease","plos one",NA,"J","ar",6,"Deposited"
"10.1101/079061","10.1371/journal.pone.0164905",2017-04-03,"Computational prediction of the tolerance to amino-acid deletion in green-fluorescent protein","plos one",NA,"J","ar",3,"Deposited"
"10.1101/068064","10.1371/journal.pcbi.1005285",2017-02-03,"Dynamic Maternal Gradients Control Timing and Shift-Rates for Drosophila Gap Gene Expression","plos computational biology",NA,"J","ar",3,"Deposited"
"10.1101/077354","10.7554/elife.21855",2017-01-13,"Flow environment and matrix structure interact to determine spatial competition in Pseudomonas aeruginosa biofilms","elife",NA,"J","ar",5,"Deposited"
"10.1101/064949","10.7554/elife.19874",2016-11-29,"Structure in the variability of the basic reproductive number (R0) for Zika epidemics in the Pacific islands","elife",NA,"J","ar",6,"Deposited"
"10.1101/025866","10.1111/mec.13974",2016-12-26,"Genomic and phenotypic evidence for an incomplete domestication of South American grain amaranth (Amaranthus caudatus)","molecular ecology",16,"J","ar",3,"Deposited"
"10.1101/044586","10.1093/molbev/msw188",2016-09-08,"Connecting the sequence-space of bacterial signaling proteins to phenotypes using coevolutionary landscapes","molecular biology and evolution",11,"J","ar",7,"Deposited"
"10.1101/067389","10.1002/hipo.22675",2016-11-10,"Dendrites of dentate gyrus granule cells contribute to pattern separation by controlling sparsity","hippocampus",22,"J","ar",3,"Deposited"
"10.1101/036194","10.1093/bioinformatics/btw163",2016-03-26,"Canvas: Versatile and scalable detection of copy number variants","bioinformatics",3,"J","ar",5,"Deposited"
"10.1101/016378","10.1016/j.revpalbo.2016.07.001",2016-07-03,"Fables and foibles: A critical analysis of the Palaeoflora database and the Coexistence Approach for palaeoclimate reconstruction","review of palaeobotany and palynology",20,"J","ar",4,"Deposited"
"10.1101/138982","10.1093/jhered/esx104",2017-11-13,"Natural and anthropogenic influences on the mating system of the common morning glory","journal of heredity",12,"J","ar",3,"Deposited"
"10.1101/034843","10.1093/gbe/evx255",2017-12-02,"Ancestral Genome Estimation Reveals the History of Ecological Diversification in Agrobacterium","genome biology and evolution",19,"J","ar",15,"Deposited"
"10.1101/004424","10.1534/genetics.114.165571",2014-07-25,"Soft selective sweeps in complex demographic scenarios","genetics",16,"J","ar",3,"Deposited"
"10.1101/003517","10.1016/j.tig.2014.07.007",2014-08-26,"Toward a new history and geography of human genes informed by ancient DNA","trends in genetics",13,"J","re",2,"Deposited"
"10.1101/041368","10.1016/j.neuropsychologia.2016.08.008",2016-08-10,"A watershed model of individual differences in fluid intelligence","neuropsychologia",13,"J","ar",5,"Deposited"
"10.1101/044909","10.1186/s12864-016-2919-4",2016-07-29,"Identification of combinatorial host-specific signatures with a potential to affect host adaptation in influenza A H1N1 and H3N2 subtypes","bmc genomics",NA,"J","ar",4,"Deposited"
"10.1101/015065","10.3389/fninf.2016.00014",2016-04-07,"Gene prioritization for imaging genetics studies using gene ontology and a stratified false discovery rate approach","frontiers in neuroinformatics",NA,"J","ar",4,"Deposited"
"10.1101/088195","10.1016/j.envexpbot.2017.12.012",2017-12-15,"Plant growth regulators ameliorate or exacerbate abiotic, biotic and combined stress interaction effects on Zea mays kernel weight with inbred-specific patterns","environmental and experimental botany",10,"J","ar",3,"Deposited"
"10.1101/223529","10.1038/s41598-017-17070-1",2017-11-27,"On the proportional abundance of species: Integrating population genetics and community ecology","scientific reports",NA,"J","ar",5,"Deposited"
"10.1101/105569","10.7554/elife.26014",2017-09-07,"MicroCT-Based phenomics in the zebrafish skeleton reveals virtues of deep phenotyping in a distributed organ system","elife",NA,"J","ar",12,"Deposited"
"10.1101/125047","10.1083/jcb.201704045",2017-10-02,"FiloQuant reveals increased filopodia density during breast cancer progression","journal of cell biology",17,"J","ar",7,"Deposited"
"10.1101/156554","10.1534/genetics.117.300146",2017-08-16,"Selection constrains high rates of tandem repetitive DNA mutation in Daphnia pulex","genetics",14,"J","ar",4,"Deposited"
"10.1101/128736","10.1371/journal.pone.0184507",2017-09-11,"Improved DOP-PCR (iDOP-PCR): A robust and simple WGA method for efficient amplification of low copy number genomic DNA","plos one",NA,"J","ar",11,"Deposited"
"10.1101/032144","10.1093/database/baw015",2016-03-18,"Wikidata as a semantic framework for the gene Wiki initiative","database",NA,"J","ar",11,"Deposited"
"10.1101/015776","10.1186/1471-2164-15-s12-s6",2015-06-18,"Sequence-based model of gap gene regulatory network","bmc genomics",NA,"J","ar",4,"Deposited"
"10.1101/017855","10.1371/journal.pgen.1005616",2016-01-11,"Genome-Wide Analysis Reveals Novel Regulators of Growth in Drosophila melanogaster","plos genetics",29,"J","ar",5,"Deposited"
"10.1101/037267","10.1099/mgen.0.000074",2016-06-27,"Nasp: An accurate, rapid method for the identification of snps in wgs datasets that supports flexible input and output formats","microbial genomics",12,"J","ar",16,"Deposited"
"10.1101/062323","10.1186/s12862-017-0983-2",2017-06-17,"With a little help from my friends: Cooperation can accelerate the rate of adaptive valley crossing","bmc evolutionary biology",NA,"J","ar",5,"Deposited"
"10.1101/056762","10.1109/tbme.2016.2607183",2016-09-08,"Stem Cell Plasticity and Niche Dynamics in Cancer Progression","ieee transactions on biomedical engineering",10,"J","ar",3,"Deposited"
"10.1101/023051","10.1111/mec.13705",2016-05-25,"Genomic and phenotypic differentiation of Arabidopsis thaliana along altitudinal gradients in the North Italian Alps","molecular ecology",19,"J","ar",4,"Deposited"
"10.1101/052050","10.1111/mec.13729",2016-06-14,"Adaptation in isolated populations: when does it happen and when can we tell?","molecular ecology",11,"J","ar",3,"Deposited"
"10.1101/154674","10.1039/c7sc00997f",2017-07-05,"Computational investigation of O2 diffusion through an intra-molecular tunnel in AlkB; Influence of polarization on O2 transport","chemical science",9,"J","ar",2,"Deposited"
"10.1101/132902","10.1038/s41598-017-03295-7",2017-06-09,"High-Risk Human Papillomavirus E7 Alters Host DNA Methylome and Represses HLA-E Expression in Human Keratinocytes","scientific reports",NA,"J","ar",9,"Deposited"
"10.1101/109595","10.1038/ncomms15817",2017-06-12,"Optogenetic control of RhoA reveals zyxin-mediated elasticity of stress fibres","nature communications",NA,"J","ar",8,"Deposited"
"10.1101/071340","10.1038/s41598-017-01859-1",2017-05-08,"Metazoan Ribosome Inactivating Protein encoding genes acquired by Horizontal Gene Transfer","scientific reports",NA,"J","ar",5,"Deposited"
"10.1101/066639","10.1523/jneurosci.0105-17.2017",2017-04-14,"Posterior parietal cortex guides visual decisions in rats","journal of neuroscience",13,"J","ar",6,"Deposited"
"10.1101/098947","10.1093/molbev/msx056",2017-01-30,"The Demographic and Adaptive History of the African Green Monkey","molecular biology and evolution",11,"J","ar",1,"Deposited"
"10.1101/079251","10.1371/journal.pone.0164919",2017-03-20,"Growth-altering microbial interactions are responsive to chemical context","plos one",NA,"J","ar",4,"Deposited"
"10.1101/026401","10.1016/j.jneumeth.2015.09.022",2015-10-02,"Growing neuronal islands on multi-electrode arrays using an accurate positioning-?CP device","journal of neuroscience methods",10,"J","ar",8,"Deposited"
"10.1101/022178","10.1111/mec.13383",2015-09-12,"Low but significant genetic differentiation underlies biologically meaningful phenotypic divergence in a large Atlantic salmon population","molecular ecology",17,"J","ar",6,"Deposited"
"10.1101/088484","10.1101/gr.214205.116",2016-12-08,"Chromatin environment, transcriptional regulation, and splicing distinguish lincRNAs and mRNAs","genome research",11,"J","ar",6,"Deposited"
"10.1101/067124","10.1038/srep39642",2017-01-04,"Population cycles and species diversity in dynamic Kill-the-Winner model of microbial ecosystems","scientific reports",NA,"J","ar",2,"Deposited"
"10.1101/043059","10.1038/ismej.2016.146",2017-01-03,"Redox potential as a master variable controlling pathways of metal reduction by Geobacter sulfurreducens","isme journal",12,"J","ar",5,"Deposited"
"10.1101/060350","10.1080/15384101.2016.1261765",2016-12-08,"Genome-wide screen of cell-cycle regulators in normal and tumor cells identifies a differential response to nucleosome depletion","cell cycle",11,"J","ar",10,"Deposited"
"10.1101/069427","10.1371/journal.pone.0167980",2016-12-14,"Climwin: An R Toolbox for Climate Window Analysis","plos one",NA,"J","ar",2,"Deposited"
"10.1101/013987","10.1111/evo.12633",2015-03-10,"Rates of karyotypic evolution in Estrildid finches differ between island and continental clades","evolution",14,"J","ar",2,"Deposited"
"10.1101/169813","10.1093/infdis/jix604",2017-11-19,"Protection of the human gut microbiome from antibiotics","journal of infectious diseases",9,"J","ar",18,"Deposited"
"10.1101/146613","10.1016/j.jpain.2017.11.008",2017-12-09,"Altered Neurocognitive Processing of Tactile Stimuli in Patients with Complex Regional Pain Syndrome","journal of pain",15,"J","ar",6,"Deposited"
"10.1101/099895","10.1093/bioinformatics/btx580",2017-09-13,"CRISPR-RT: A web application for designing CRISPR-C2c2 crRNA with improved target specificity","bioinformatics",3,"J","ar",3,"Deposited"
"10.1101/034975","10.1534/g3.116.031096",2016-08-12,"MeSH-informed enrichment analysis and MeSH-guided semantic similarity among functional terms and gene products in chicken","g3: genes, genomes, genetics",7,"J","ar",3,"Deposited"
"10.1101/060046","10.1038/nature18961",2016-07-01,"Architecture of fully occupied GluA2 AMPA receptor-TARP complex elucidated by cryo-EM","nature",4,"J","ar",5,"Deposited"
"10.1101/116566","10.1371/journal.pcbi.1005875",2017-12-27,"Scalable multi-sample single-cell data analysis by Partition-Assisted Clustering and Multiple Alignments of Networks","plos computational biology",NA,"J","ar",7,"Deposited"
"10.1101/148809","10.1128/aac.01235-17",2017-10-17,"Reduced chlorhexidine and daptomycin susceptibility in vancomycin-resistant Enterococcus faecium after serial chlorhexidine exposure","antimicrobial agents and chemotherapy",NA,"J","ar",5,"Deposited"
"10.1101/197830","10.1038/s41598-017-17484-x",2017-12-08,"Comparative analysis of the genomes of Stylophora pistillata and Acropora digitifera provides evidence for extensive differences between species of corals","scientific reports",NA,"J","ar",9,"Deposited"
"10.1101/142976","10.1016/j.bpj.2017.10.045",2017-12-19,"Physical Mechanisms Driving Cell Sorting in Hydra","biophysical journal",15,"J","ar",5,"Deposited"
"10.1101/046151","10.1371/journal.pcbi.1005799",2017-11-20,"Multivariate pattern dependence","plos computational biology",NA,"J","ar",3,"Deposited"
"10.1101/136572","10.7554/elife.28507",2017-09-14,"The AAA protein Msp1 mediates clearance of excess tail-anchored proteins from the peroxisomal membrane","elife",NA,"J","ar",4,"Deposited"
"10.1101/144774","10.1158/0008-5472.can-17-0344",2017-11-01,"Software for the integration of multiomics experiments in bioconductor","cancer research",4,"J","ar",20,"Deposited"
"10.1101/125203","10.1186/s12864-017-4196-2",2017-10-18,"Candidate lethal haplotypes and causal mutations in Angus cattle","bmc genomics",NA,"J","ar",4,"Deposited"
"10.1101/125799","10.1371/journal.pone.0185306",2017-10-18,"Self-domestication in Homo sapiens: Insights from comparative genomics","plos one",NA,"J","ar",9,"Deposited"
"10.1101/130708","10.1111/ele.12858",2017-10-13,"Ecological plant epigenetics: Evidence from model and non-model species, and the way forward","ecology letters",15,"J","re",25,"Deposited"
"10.1101/030361","10.3389/fmicb.2016.00051",2016-02-01,"Human microbiota of the argentine population- A pilot study","frontiers in microbiology",NA,"J","ar",11,"Deposited"
"10.1101/110833","10.1161/hypertensionaha.117.09438",2017-07-25,"Novel Blood Pressure Locus and Gene Discovery Using Genome-Wide Association Study and Expression Data Sets from Blood and the Kidney","hypertension",16,"J","ar",243,"Deposited"
"10.1101/162800","10.1016/j.virol.2017.07.032",2017-08-08,"Polioviruses that bind a chimeric Pvr?nectin-2 protein identify capsid residues involved in receptor interaction","virology",11,"J","ar",2,"Deposited"
"10.1101/136507","10.1016/j.jhevol.2017.06.004",2017-07-27,"Evolutionary processes shaping diversity across the Homo lineage","journal of human evolution",17,"J","ar",2,"Deposited"
"10.1101/099853","10.1101/gr.220517.117",2017-05-17,"Ancient antagonism between CELF and RBFOX families tunes mRNA splicing outcomes","genome research",11,"J","ar",7,"Deposited"
"10.1101/028688","10.1038/nature22969",2017-06-28,"Fine-mapping inflammatory bowel disease loci to single-variant resolution","nature",6,"J","ar",46,"Deposited"
"10.1101/068056","10.1534/genetics.116.194555",2017-04-29,"The nucleoporin Nup2 contains a meiotic-autonomous region that promotes the dynamic chromosome events of meiosis","genetics",19,"J","ar",4,"Deposited"
"10.1101/100982","10.1021/acssynbio.7b00019",2017-02-23,"Tuning of Recombinant Protein Expression in Escherichia coli by Manipulating Transcription, Translation Initiation Rates, and Incorporation of Noncanonical Amino Acids","acs synthetic biology",10,"J","ar",8,"Deposited"
"10.1101/098582","10.1186/s13059-017-1241-z",2017-06-14,"Lineage-specific rediploidization is a mechanism to explain time-lags between genome duplication and evolutionary diversification","genome biology",NA,"J","ar",10,"Deposited"
"10.1101/049171","10.1093/gbe/evw175",2016-08-07,"Did viruses evolve as a distinct supergroup from common ancestors of cells?","genome biology and evolution",8,"J","ar",4,"Deposited"
"10.1101/051755","10.1101/gr.209601.116",2017-01-19,"UMI-tools: Modeling sequencing errors in Unique Molecular Identifiers to improve quantification accuracy","genome research",9,"J","ar",3,"Deposited"
"10.1101/017939","10.1186/s13059-015-0865-0",2016-01-29,"CIDANE: Comprehensive isoform discovery and abundance estimation","genome biology",NA,"J","ar",5,"Deposited"
"10.1101/070409","10.1111/gbb.12368",2017-01-09,"Association of AKAP6 and MIR2113 with cognitive performance in a population-based sample of older adults","genes, brain and behavior",7,"J","ar",4,"Deposited"
"10.1101/083774","10.1038/nmeth.4177",2017-01-18,"Pooled CRISPR screening with single-cell transcriptome readout","nature methods",5,"J","ar",10,"Deposited"
"10.1101/045831","10.1038/ng.3766",2017-01-16,"Case-control association mapping by proxy using family history of disease","nature genetics",7,"J","ar",3,"Deposited"
"10.1101/043976","10.1007/s00285-016-1070-9",2017-02-01,"Macroscopic coherent structures in a stochastic neural network: from interface dynamics to coarse-grained bifurcation analysis","journal of mathematical biology",44,"J","ar",2,"Deposited"
"10.1101/081737","10.1038/srep39332",2016-12-24,"Self assembly of HIV-1 Gag protein on lipid membranes generates PI(4,5)P2/Cholesterol nanoclusters","scientific reports",NA,"J","ar",7,"Deposited"
"10.1101/091785","10.1371/journal.pgen.1006499",2016-12-20,"Cell Cycle Constraints and Environmental Control of Local DNA Hypomethylation in ?-Proteobacteria","plos genetics",NA,"J","ar",9,"Deposited"
"10.1101/046748","10.1534/genetics.116.189985",2016-11-08,"Inferring heterozygosity from ancient and low coverage genomes","genetics",16,"J","ar",6,"Deposited"
"10.1101/013003","10.1073/pnas.1424184112",2015-05-19,"Imperfect drug penetration leads to spatial monotherapy and rapid evolution of multidrug resistance","proceedings of the national academy of sciences of the united states of america",10,"J","ar",6,"Deposited"
"10.1101/139287","10.1093/bioinformatics/btx682",2017-10-24,"Unsupervised multiple kernel learning for heterogeneous data integration","bioinformatics",7,"J","ar",2,"Deposited"
"10.1101/114116","10.1093/jac/dkx316",2017-08-03,"Identification of novel mutations associated with cycloserine resistance in Mycobacterium tuberculosis","journal of antimicrobial chemotherapy",5,"J","ar",6,"Deposited"
"10.1101/157867","10.1534/g3.117.1134",2017-12-13,"Highly efficient site-specific mutagenesis in malaria mosquitoes using CRISPR","g3: genes, genomes, genetics",6,"J","ar",3,"Deposited"
"10.1101/004648","10.3389/fimmu.2014.00326",2014-07-28,"Ontogenic, phenotypic, and functional characterization of XCR1+ dendritic cells leads to a consistent classification of intestinal dendritic cells based on the expression of XCR1 and SIRP?","frontiers in immunology",NA,"J","ar",11,"Deposited"
"10.1101/015404","10.1242/dev.127530",2015-10-29,"FGF/MAPK signaling sets the switching threshold of a bistable circuit controlling cell fate decisions in embryonic stem cells","development (cambridge)",12,"J","ar",4,"Deposited"
"10.1101/040907","10.1126/science.aaf5023",2016-06-24,"Atomic structure of Hsp90-Cdc37-Cdk4 reveals that Hsp90 traps and stabilizes an unfolded kinase","science",6,"J","ar",7,"Deposited"
"10.1101/055038","10.1534/g3.116.031443",2016-08-12,"Prospects of genomic prediction in the USDA Soybean Germplasm Collection: Historical data creates robust models for enhancing selection of accessions","g3: genes, genomes, genetics",13,"J","ar",3,"Deposited"
"10.1101/041475","10.1186/s12864-016-2754-7",2016-06-08,"Copy number variants in the sheep genome detected using multiple approaches","bmc genomics",NA,"J","ar",9,"Deposited"
"10.1101/030700","10.1038/srep26029",2016-05-24,"Dynamical state of the network determines the efficacy of single neuron properties in shaping the network activity","scientific reports",NA,"J","ar",4,"Deposited"
"10.1101/167999","10.4049/jimmunol.1701214",2017-11-27,"The IFN response in bats displays distinctive ifn-stimulated gene expression kinetics with atypical RNASEL induction","journal of immunology",9,"J","ar",7,"Deposited"
"10.1101/180885","10.1523/jneurosci.2344-17.2017",2017-10-27,"Optogenetic inhibition reveals distinct roles for basolateral amygdala activity at discrete time points during risky decision making","journal of neuroscience",12,"J","ar",7,"Deposited"
"10.1101/117184","10.1093/nar/gkx794",2017-08-30,"Catalytic properties of RNA polymerases IV and V: Accuracy, nucleotide incorporation and rNTP/dNTP discrimination","nucleic acids research",12,"J","ar",4,"Deposited"
"10.1101/142513","10.1523/jneurosci.1436-17.2017",2017-12-13,"Extensive tonotopic mapping across auditory cortex is recapitulated by spectrally directed attention and systematically related to cortical myeloarchitecture","journal of neuroscience",15,"J","ar",6,"Deposited"
"10.1101/108431","10.1038/s41467-017-01109-y",2017-10-18,"Sparse synaptic connectivity is required for decorrelation and pattern separation in feedforward networks","nature communications",NA,"J","ar",3,"Deposited"
"10.1101/086934","10.1016/j.cub.2017.09.044",2017-10-19,"Spike Burst Coding of Translatory Optic Flow and Depth from Motion in the Fly Visual System","current biology",3232776,"J","ar",5,"Deposited"
"10.1101/156547","10.1158/0008-5472.can-17-0835",2017-07-29,"Integrating models to quantify environment-mediated drug resistance","cancer research",10,"J","ar",4,"Deposited"
"10.1101/163048","10.1186/s12862-017-1060-6",2017-09-11,"The path to re-evolve cooperation is constrained in Pseudomonas aeruginosa","bmc evolutionary biology",NA,"J","ar",2,"Deposited"
"10.1101/111542","10.1083/jcb.201703103",2017-07-12,"Dynamics of in vivo ASC speck formation","journal of cell biology",19,"J","ar",6,"Deposited"
"10.1101/112060","10.7717/peerj.3530",2017-07-18,"Demographic inference through approximate-Bayesian-computation skyline plots","peerj",NA,"J","ar",3,"Deposited"
"10.1101/082602","10.7554/elife.23382",2017-06-06,"Mice deficient of Myc super-enhancer region reveal differential control mechanism between normal and pathological growth","elife",25,"J","ar",13,"Deposited"
"10.1101/087890","10.1038/s41598-017-02547-w",2017-05-22,"Reducing mitochondrial reads in ATAC-seq using CRISPR/Cas9","scientific reports",NA,"J","ar",8,"Deposited"
"10.1101/004036","10.1111/bij.12701",2015-12-01,"A cautionary note on the use of Ornstein Uhlenbeck models in macroevolutionary studies","biological journal of the linnean society",14,"J","ar",5,"Deposited"
"10.1101/086579","10.1186/s12859-017-1541-z",2017-02-20,"Computing structure-based lipid accessibility of membrane proteins with mp_lipid_acc in RosettaMP","bmc bioinformatics",NA,"J","ar",3,"Deposited"
"10.1101/030916","10.3389/fmars.2016.00006",2016-02-08,"Evidence for the priming effect in a planktonic estuarine microbial community","frontiers in marine science",NA,"J","ar",3,"Deposited"
"10.1101/005850","10.1371/journal.pgen.1005068",2015-04-21,"The Genetic Legacy of the Expansion of Turkic-Speaking Nomads across Eurasia","plos genetics",24,"J","ar",29,"Deposited"
"10.1101/030973","10.1093/sysbio/syw041",2016-05-10,"Exploring Phylogenetic Relationships within Myriapoda and the Effects of Matrix Composition and Occupancy on Phylogenomic Reconstruction","systematic biology",19,"J","ar",3,"Deposited"
"10.1101/042499","10.3390/s16111879",2016-11-09,"Fast and inexpensive detection of bacterial viability and drug effectiveness through metabolic monitoring","sensors (switzerland)",NA,"J","ar",3,"Deposited"
"10.1101/058859","10.1186/s12936-016-1537-6",2016-09-22,"Quantitative, model-based estimates of variability in the generation and serial intervals of Plasmodium falciparum malaria","malaria journal",12,"J","ar",5,"Deposited"
"10.1101/183459","10.3791/56803",2017-12-26,"Swarmsight: Real-time tracking of insect antenna movements and proboscis extension reflex using a common preparation and conventional hardware","journal of visualized experiments",NA,"J","ar",5,"Deposited"
"10.1101/006221","10.1101/gr.175893.114",2014-10-08,"Accounting for biases in riboprofiling data indicates a major role for proline in stalling translation","genome research",11,"J","ar",2,"Deposited"
"10.1101/052746","10.1242/dev.139634",2016-08-30,"Splice variants of the SWR1-type nucleosome remodeling factor Domino have distinct functions during Drosophila melanogaster oogenesis","development (cambridge)",14,"J","ar",2,"Deposited"
"10.1101/037226","10.1101/gr.200931.115",2016-05-07,"A novel nuclear genetic code alteration in yeasts and the evolution of codon reassignment in eukaryotes","genome research",11,"J","ar",5,"Deposited"
"10.1101/038588","10.1371/journal.pntd.0004726",2016-05-17,"Transmission Dynamics of Zika Virus in Island Populations: A Modelling Analysis of the 2013?14 French Polynesia Outbreak","plos neglected tropical diseases",NA,"J","ar",6,"Deposited"
"10.1101/188169","10.1021/acs.analchem.7b04335",2017-11-27,"Endogenous Alpha-Synuclein Protein Analysis from Human Brain Tissues Using Single-Molecule Pull-Down Assay","analytical chemistry",5,"J","ar",6,"Deposited"
"10.1101/153932","10.18632/oncotarget.21879",2017-10-19,"PARP inhibition causes premature loss of cohesion in cancer cells","oncotarget",21,"J","ar",6,"Deposited"
"10.1101/132696","10.1371/journal.pgen.1006997",2017-09-15,"A high resolution atlas of gene expression in the domestic sheep (Ovis aries)","plos genetics",NA,"J","ar",16,"Deposited"
"10.1101/034652","10.1534/g3.115.025585",2016-06-17,"The Arabidopsis auxin receptor F-box proteins AFB4 and AFB5 are required for response to the synthetic auxin picloram","g3: genes, genomes, genetics",8,"J","ar",10,"Deposited"
"10.1101/025940","10.1098/rstb.2015.0219",2016-03-15,"How many dinosaur species were there? Fossil bias and true richness estimated using a poisson sampling model","philosophical transactions of the royal society b: biological sciences",10,"J","ar",2,"Deposited"
"10.1101/100933","10.1103/physreve.96.022303",2017-08-04,"Emergence of localized patterns in globally coupled networks of relaxation oscillators with heterogeneous connectivity","physical review e",NA,"J","ar",2,"Deposited"
"10.1101/058693","10.1152/jn.00183.2017",2017-06-29,"Task-specific, dimension-based attentional shaping of motion processing in monkey area MT","journal of neurophysiology",14,"J","ar",5,"Deposited"
"10.1101/067512","10.1093/gigascience/giw008",2017-02-08,"Morphometric analysis of Passiflora leaves: The relationship between landmarks of the vasculature and elliptical Fourier descriptors of the blade","gigascience",NA,"J","ar",2,"Deposited"
"10.1101/052076","10.1016/j.ccell.2017.06.003",2017-07-10,"Tumor Evolution of Glioma-Intrinsic Gene Expression Subtypes Associates with Immunological Changes in the Microenvironment","cancer cell",55999959,"J","ar",34,"Deposited"
"10.1101/095372","10.1534/g3.117.043893",2017-06-22,"McClintock: An integrated pipeline for detecting transposable element insertions in whole-genome shotgun sequencing data","g3: genes, genomes, genetics",16,"J","ar",3,"Deposited"
"10.1101/094177","10.1186/s12859-017-1774-x",2017-08-07,"Repliscan: A tool for classifying replication timing regions","bmc bioinformatics",NA,"J","ar",7,"Deposited"
"10.1101/103077","10.1152/ajprenal.00067.2017",2017-04-06,"Severe acute dehydration in a desert rodent elicits a transcriptional response that effectively prevents kidney injury","american journal of physiology - renal physiology",11,"J","ar",1,"Deposited"
"10.1101/051953","10.1093/molbev/msw227",2016-10-14,"CTDGFinder: A novel homology-based algorithm for identifying closely spaced clusters of tandemly duplicated genes","molecular biology and evolution",15,"J","ar",2,"Deposited"
"10.1101/052068","10.1093/bioinformatics/btw577",2016-09-05,"Gene- and pathway-based association tests for multiple traits with GWAS summary statistics","bioinformatics",8,"J","ar",2,"Deposited"
"10.1101/020842","10.1186/s13059-015-0844-5",2015-12-10,"MAST: A flexible statistical framework for assessing transcriptional changes and characterizing heterogeneity in single-cell RNA sequencing data","genome biology",NA,"J","ar",12,"Deposited"
"10.1101/069070","10.1371/journal.pgen.1006546",2017-02-23,"Rapid evolution of distinct Helicobacter pylori subpopulations in the Americas","plos genetics",NA,"J","ar",14,"Deposited"
"10.1101/008755","10.1016/j.ajhg.2015.03.004",2015-04-17,"Mixed model with correction for case-control ascertainment increases association power","american journal of human genetics",11,"J","ar",12,"Deposited"
"10.1101/036434","10.1073/pnas.1600374113",2016-09-07,"Variation in the molecular clock of primates","proceedings of the national academy of sciences of the united states of america",6,"J","ar",4,"Deposited"
"10.1101/136556","10.1128/msphere.00511-17",2017-12-13,"Adaptation in a fibronectin binding autolysin of Staphylococcus saprophyticus","msphere",NA,"J","ar",8,"Deposited"
