PREPRINT_DOI,ARTICLE_DOI,SOURCETITLE,ARTICLE_CREATED_DATE,AUTHOR_CNT,TYPE,FIRST_AUTHOR_AGE,LAST_AUTHOR_AGE,FIRST_AUTHOR_IS_FEMALE,LAST_AUTHOR_IS_FEMALE,FIRST_AUTHOR_IS_US,LAST_AUTHOR_IS_US,FIRST_AUTHOR_TOP100_INSTITUTE,LAST_AUTHOR_TOP100_INSTITUTE,IS_OA,IF
10.1101/036194,10.1093/bioinformatics/btw163,bioinformatics,2016-03-26,5,Deposited,0,3,0,0,1,1,0,0,0,7.08
10.1101/016378,10.1016/j.revpalbo.2016.07.001,review of palaeobotany and palynology,2016-07-03,4,Deposited,2,7,0,0,0,0,0,0,1,1.98
10.1101/138982,10.1093/jhered/esx104,journal of heredity,2017-11-13,3,Deposited,8,16,0,1,1,1,1,1,1,2.13
10.1101/034843,10.1093/gbe/evx255,genome biology and evolution,2017-12-02,15,Deposited,6,21,0,0,0,0,0,0,1,4.24
10.1101/004424,10.1534/genetics.114.165571,genetics,2014-07-25,3,Deposited,3,9,0,0,1,1,1,1,1,5.84
10.1101/041368,10.1016/j.neuropsychologia.2016.08.008,neuropsychologia,2016-08-10,5,Deposited,7,1,0,NA,0,0,0,1,1,3.33
10.1101/044909,10.1186/s12864-016-2919-4,bmc genomics,2016-07-29,4,Deposited,1,19,0,0,0,0,0,0,1,3.88
10.1101/015065,10.3389/fninf.2016.00014,frontiers in neuroinformatics,2016-04-07,4,Deposited,1,13,1,0,0,0,1,1,1,4.3
10.1101/088195,10.1016/j.envexpbot.2017.12.012,environmental and experimental botany,2017-12-15,3,Deposited,0,22,NA,NA,1,1,0,0,0,4.03
10.1101/223529,10.1038/s41598-017-17070-1,scientific reports,2017-11-27,5,Deposited,21,21,0,0,1,0,0,0,1,4.28
10.1101/105569,10.7554/elife.26014,elife,2017-09-07,12,Deposited,0,13,0,0,1,1,0,0,1,7.01
10.1101/125047,10.1083/jcb.201704045,journal of cell biology,2017-10-02,7,Deposited,4,19,0,1,0,0,0,0,1,7.6
10.1101/156554,10.1534/genetics.117.300146,genetics,2017-08-16,4,Deposited,2,21,0,0,1,1,1,1,1,3.85
10.1101/128736,10.1371/journal.pone.0184507,plos one,2017-09-11,11,Deposited,7,20,0,0,0,0,0,0,1,2.88
10.1101/032144,10.1093/database/baw015,database,2016-03-18,11,Deposited,6,15,0,0,1,1,0,0,1,2.59
10.1101/015776,10.1186/1471-2164-15-s12-s6,bmc genomics,2015-06-18,4,Deposited,14,17,0,1,0,0,0,0,1,4.25
10.1101/017855,10.1371/journal.pgen.1005616,plos genetics,2016-01-11,5,Deposited,1,20,1,0,0,0,0,0,1,6.02
10.1101/037267,10.1099/mgen.0.000074,microbial genomics,2016-06-27,16,Deposited,10,20,0,0,1,1,0,0,1,NA
10.1101/062323,10.1186/s12862-017-0983-2,bmc evolutionary biology,2017-06-17,5,Deposited,6,16,0,1,0,0,1,0,1,2.87
10.1101/056762,10.1109/tbme.2016.2607183,ieee transactions on biomedical engineering,2016-09-08,3,Deposited,0,21,1,0,1,1,0,0,1,4.5
10.1101/023051,10.1111/mec.13705,molecular ecology,2016-05-25,4,Deposited,19,19,0,0,0,0,0,0,0,5.4
10.1101/052050,10.1111/mec.13729,molecular ecology,2016-06-14,3,Deposited,5,6,1,0,0,0,0,0,0,5.4
10.1101/154674,10.1039/c7sc00997f,chemical science,2017-07-05,2,Deposited,5,18,1,0,1,1,0,0,1,8.83
10.1101/132902,10.1038/s41598-017-03295-7,scientific reports,2017-06-09,9,Deposited,4,21,0,0,1,1,0,0,1,4.28
10.1101/109595,10.1038/ncomms15817,nature communications,2017-06-12,8,Deposited,11,19,0,1,1,1,1,1,1,12.26
10.1101/071340,10.1038/s41598-017-01859-1,scientific reports,2017-05-08,5,Deposited,5,16,0,0,0,0,0,0,1,4.28
10.1101/066639,10.1523/jneurosci.0105-17.2017,journal of neuroscience,2017-04-14,6,Deposited,0,15,1,1,1,1,0,0,1,5.87
10.1101/098947,10.1093/molbev/msx056,molecular biology and evolution,2017-01-30,1,Deposited,8,8,1,1,1,1,0,0,1,6.18
10.1101/079251,10.1371/journal.pone.0164919,plos one,2017-03-20,4,Deposited,0,15,1,0,1,1,1,1,1,2.88
10.1101/026401,10.1016/j.jneumeth.2015.09.022,journal of neuroscience methods,2015-10-02,8,Deposited,0,20,0,0,0,0,0,0,0,2.46
10.1101/022178,10.1111/mec.13383,molecular ecology,2015-09-12,6,Deposited,8,19,1,0,0,0,0,0,0,5.69
10.1101/088484,10.1101/gr.214205.116,genome research,2016-12-08,6,Deposited,9,14,1,0,1,1,1,1,1,12.66
10.1101/067124,10.1038/srep39642,scientific reports,2017-01-04,2,Deposited,21,21,0,0,1,0,0,0,1,4.28
10.1101/043059,10.1038/ismej.2016.146,isme journal,2017-01-03,5,Deposited,8,21,0,0,1,1,0,0,1,9.39
10.1101/060350,10.1080/15384101.2016.1261765,cell cycle,2016-12-08,10,Deposited,4,21,1,0,0,0,0,0,1,3.07
10.1101/069427,10.1371/journal.pone.0167980,plos one,2016-12-14,2,Deposited,1,0,0,0,0,0,0,0,1,3.02
10.1101/013987,10.1111/evo.12633,evolution,2015-03-10,2,Deposited,4,19,0,0,1,1,1,1,0,4.24
10.1101/169813,10.1093/infdis/jix604,journal of infectious diseases,2017-11-19,18,Deposited,6,22,0,0,0,0,0,0,1,4.95
10.1101/146613,10.1016/j.jpain.2017.11.008,journal of pain,2017-12-09,6,Deposited,14,8,0,0,0,0,0,1,1,4.67
10.1101/099895,10.1093/bioinformatics/btx580,bioinformatics,2017-09-13,3,Deposited,2,14,NA,0,1,1,0,0,1,5.88
10.1101/034975,10.1534/g3.116.031096,"g3: genes, genomes, genetics",2016-08-12,3,Deposited,4,5,0,0,1,1,0,0,1,2.67
10.1101/060046,10.1038/nature18961,nature,2016-07-01,5,Deposited,0,20,0,0,1,1,0,0,1,35.09
10.1101/116566,10.1371/journal.pcbi.1005875,plos computational biology,2017-12-27,7,Deposited,0,21,0,0,1,1,1,1,1,4.02
10.1101/148809,10.1128/aac.01235-17,antimicrobial agents and chemotherapy,2017-10-17,5,Deposited,9,13,1,1,1,1,0,0,1,4.06
10.1101/197830,10.1038/s41598-017-17484-x,scientific reports,2017-12-08,9,Deposited,15,16,0,0,0,0,0,0,1,4.28
10.1101/142976,10.1016/j.bpj.2017.10.045,biophysical journal,2017-12-19,5,Deposited,3,3,0,1,1,1,0,0,1,3.31
10.1101/046151,10.1371/journal.pcbi.1005799,plos computational biology,2017-11-20,3,Deposited,8,14,0,1,1,1,0,0,1,4.02
10.1101/136572,10.7554/elife.28507,elife,2017-09-14,4,Deposited,3,12,0,0,1,1,1,1,1,7.01
10.1101/144774,10.1158/0008-5472.can-17-0344,cancer research,2017-11-01,20,Deposited,1,2,0,0,1,1,0,0,1,7.76
10.1101/125203,10.1186/s12864-017-4196-2,bmc genomics,2017-10-18,4,Deposited,3,21,0,0,1,1,0,0,1,3.82
10.1101/125799,10.1371/journal.pone.0185306,plos one,2017-10-18,9,Deposited,2,18,1,0,0,0,0,0,1,2.88
10.1101/030361,10.3389/fmicb.2016.00051,frontiers in microbiology,2016-02-01,11,Deposited,3,20,1,0,0,0,0,0,1,4.17
10.1101/110833,10.1161/hypertensionaha.117.09438,hypertension,2017-07-25,243,Deposited,9,2,1,0,0,1,1,1,1,6.62
10.1101/162800,10.1016/j.virol.2017.07.032,virology,2017-08-08,2,Deposited,0,21,0,0,1,1,1,1,1,3.46
10.1101/136507,10.1016/j.jhevol.2017.06.004,journal of human evolution,2017-07-27,2,Deposited,5,17,1,1,1,0,0,0,0,3.83
10.1101/099853,10.1101/gr.220517.117,genome research,2017-05-17,7,Deposited,6,16,0,0,1,1,1,1,1,10.31
10.1101/028688,10.1038/nature22969,nature,2017-06-28,46,Deposited,10,10,0,0,1,0,0,0,1,35.52
10.1101/068056,10.1534/genetics.116.194555,genetics,2017-04-29,4,Deposited,1,18,0,0,1,1,0,0,1,3.85
10.1101/100982,10.1021/acssynbio.7b00019,acs synthetic biology,2017-02-23,8,Deposited,4,17,0,1,0,0,0,0,0,5.46
10.1101/098582,10.1186/s13059-017-1241-z,genome biology,2017-06-14,10,Deposited,0,11,1,0,0,0,1,1,1,11.44
10.1101/049171,10.1093/gbe/evw175,genome biology and evolution,2016-08-07,4,Deposited,8,20,0,0,0,0,0,0,1,4.03
10.1101/051755,10.1101/gr.209601.116,genome research,2017-01-19,3,Deposited,0,14,0,0,0,0,1,0,1,10.31
10.1101/017939,10.1186/s13059-015-0865-0,genome biology,2016-01-29,5,Deposited,10,17,0,0,1,0,1,0,1,12.8
10.1101/070409,10.1111/gbb.12368,"genes, brain and behavior",2017-01-09,4,Deposited,1,21,NA,NA,0,0,0,0,0,3.25
10.1101/083774,10.1038/nmeth.4177,nature methods,2017-01-18,10,Deposited,2,13,0,0,0,0,0,0,1,20.8
10.1101/045831,10.1038/ng.3766,nature genetics,2017-01-16,3,Deposited,7,14,0,0,1,1,0,1,0,25.72
10.1101/043976,10.1007/s00285-016-1070-9,journal of mathematical biology,2017-02-01,2,Deposited,7,5,0,0,0,0,1,1,1,1.73
10.1101/081737,10.1038/srep39332,scientific reports,2016-12-24,7,Deposited,4,19,0,0,0,0,0,0,1,4.53
10.1101/091785,10.1371/journal.pgen.1006499,plos genetics,2016-12-20,9,Deposited,13,16,1,0,0,0,0,0,1,6.02
10.1101/046748,10.1534/genetics.116.189985,genetics,2016-11-08,6,Deposited,6,11,0,0,0,0,0,0,1,4.49
10.1101/013003,10.1073/pnas.1424184112,proceedings of the national academy of sciences of the united states of america,2015-05-19,6,Deposited,2,14,1,1,1,1,1,1,1,10.35
10.1101/139287,10.1093/bioinformatics/btx682,bioinformatics,2017-10-24,2,Deposited,7,8,0,1,0,0,0,0,1,5.88
10.1101/114116,10.1093/jac/dkx316,journal of antimicrobial chemotherapy,2017-08-03,6,Deposited,11,0,0,1,0,1,0,1,1,4.87
10.1101/157867,10.1534/g3.117.1134,"g3: genes, genomes, genetics",2017-12-13,3,Deposited,2,12,0,0,1,1,0,0,1,2.7
10.1101/004648,10.3389/fimmu.2014.00326,frontiers in immunology,2014-07-28,11,Deposited,0,18,1,0,0,0,0,0,1,4.94
10.1101/015404,10.1242/dev.127530,development (cambridge),2015-10-29,4,Deposited,8,18,0,0,0,0,1,1,1,6.63
10.1101/040907,10.1126/science.aaf5023,science,2016-06-24,7,Deposited,4,20,0,0,1,1,0,0,1,29.57
10.1101/055038,10.1534/g3.116.031443,"g3: genes, genomes, genetics",2016-08-12,3,Deposited,5,9,0,0,1,1,0,0,1,2.67
10.1101/041475,10.1186/s12864-016-2754-7,bmc genomics,2016-06-08,9,Deposited,2,20,1,0,0,0,0,0,1,3.88
10.1101/030700,10.1038/srep26029,scientific reports,2016-05-24,4,Deposited,0,14,0,0,0,0,0,0,1,4.53
10.1101/167999,10.4049/jimmunol.1701214,journal of immunology,2017-11-27,7,Deposited,0,19,1,0,1,1,0,0,1,4.49
10.1101/180885,10.1523/jneurosci.2344-17.2017,journal of neuroscience,2017-10-27,7,Deposited,9,21,1,0,1,1,0,0,1,5.87
10.1101/117184,10.1093/nar/gkx794,nucleic acids research,2017-08-30,4,Deposited,5,21,1,0,1,1,0,0,1,11.4
10.1101/142513,10.1523/jneurosci.1436-17.2017,journal of neuroscience,2017-12-13,6,Deposited,18,20,0,1,0,1,1,0,1,5.87
10.1101/108431,10.1038/s41467-017-01109-y,nature communications,2017-10-18,3,Deposited,4,21,0,0,0,0,1,1,1,12.26
10.1101/086934,10.1016/j.cub.2017.09.044,current biology,2017-10-19,5,Deposited,15,21,NA,0,1,0,1,1,1,6.33
10.1101/156547,10.1158/0008-5472.can-17-0835,cancer research,2017-07-29,4,Deposited,0,21,1,0,1,1,1,0,1,7.76
10.1101/163048,10.1186/s12862-017-1060-6,bmc evolutionary biology,2017-09-11,2,Deposited,2,12,1,0,0,0,1,1,1,2.87
10.1101/111542,10.1083/jcb.201703103,journal of cell biology,2017-07-12,6,Deposited,2,21,1,1,0,0,0,0,1,7.6
10.1101/112060,10.7717/peerj.3530,peerj,2017-07-18,3,Deposited,12,17,0,1,0,0,0,0,1,2.18
10.1101/082602,10.7554/elife.23382,elife,2017-06-06,13,Deposited,4,21,0,0,0,0,0,0,1,7.01
10.1101/087890,10.1038/s41598-017-02547-w,scientific reports,2017-05-22,8,Deposited,2,14,1,0,1,1,1,1,1,4.28
10.1101/004036,10.1111/bij.12701,biological journal of the linnean society,2015-12-01,5,Deposited,8,19,1,0,0,0,0,0,1,2.16
10.1101/086579,10.1186/s12859-017-1541-z,bmc bioinformatics,2017-02-20,3,Deposited,2,18,1,0,1,1,1,1,1,2.26
10.1101/030916,10.3389/fmars.2016.00006,frontiers in marine science,2016-02-08,3,Deposited,10,16,0,1,1,1,0,0,1,3.1
10.1101/005850,10.1371/journal.pgen.1005068,plos genetics,2015-04-21,29,Deposited,9,16,0,0,0,0,0,0,1,7.18
10.1101/030973,10.1093/sysbio/syw041,systematic biology,2016-05-10,3,Deposited,9,20,1,0,1,1,1,1,1,8.26
10.1101/042499,10.3390/s16111879,sensors (switzerland),2016-11-09,3,Deposited,2,15,1,0,0,0,1,1,1,3.27
10.1101/058859,10.1186/s12936-016-1537-6,malaria journal,2016-09-22,5,Deposited,0,9,0,0,1,1,0,0,1,2.86
10.1101/183459,10.3791/56803,journal of visualized experiments,2017-12-26,5,Deposited,2,20,0,1,1,1,0,0,1,1.2
10.1101/006221,10.1101/gr.175893.114,genome research,2014-10-08,2,Deposited,9,13,0,0,1,1,1,1,1,16
10.1101/052746,10.1242/dev.139634,development (cambridge),2016-08-30,2,Deposited,0,20,0,0,0,0,0,0,1,5.92
10.1101/037226,10.1101/gr.200931.115,genome research,2016-05-07,5,Deposited,6,15,1,0,0,0,0,0,1,12.66
10.1101/038588,10.1371/journal.pntd.0004726,plos neglected tropical diseases,2016-05-17,6,Deposited,4,9,0,0,0,0,0,0,1,4.15
10.1101/188169,10.1021/acs.analchem.7b04335,analytical chemistry,2017-11-27,6,Deposited,5,18,1,0,1,1,0,0,0,6.08
10.1101/153932,10.18632/oncotarget.21879,oncotarget,2017-10-19,6,Deposited,1,11,1,1,0,0,0,0,1,4.72
10.1101/132696,10.1371/journal.pgen.1006997,plos genetics,2017-09-15,16,Deposited,0,21,1,0,0,0,0,0,1,5.31
10.1101/034652,10.1534/g3.115.025585,"g3: genes, genomes, genetics",2016-06-17,10,Deposited,20,20,0,0,1,1,0,0,1,2.67
10.1101/025940,10.1098/rstb.2015.0219,philosophical transactions of the royal society b: biological sciences,2016-03-15,2,Deposited,8,17,0,0,0,0,0,0,1,5.58
10.1101/100933,10.1103/physreve.96.022303,physical review e,2017-08-04,2,Deposited,0,19,0,0,1,1,0,0,1,1.91
10.1101/058693,10.1152/jn.00183.2017,journal of neurophysiology,2017-06-29,5,Deposited,0,13,0,0,0,0,0,0,1,2.5
10.1101/067512,10.1093/gigascience/giw008,gigascience,2017-02-08,2,Deposited,12,18,0,0,1,0,0,0,1,7.25
10.1101/052076,10.1016/j.ccell.2017.06.003,cancer cell,2017-07-10,34,Deposited,1,6,NA,0,1,1,0,0,1,21.35
10.1101/095372,10.1534/g3.117.043893,"g3: genes, genomes, genetics",2017-06-22,3,Deposited,0,17,0,1,0,0,0,0,1,2.7
10.1101/094177,10.1186/s12859-017-1774-x,bmc bioinformatics,2017-08-07,7,Deposited,6,15,0,0,1,1,0,0,1,2.26
10.1101/103077,10.1152/ajprenal.00067.2017,american journal of physiology - renal physiology,2017-04-06,1,Deposited,8,8,0,0,1,1,0,0,0,3.07
10.1101/051953,10.1093/molbev/msw227,molecular biology and evolution,2016-10-14,2,Deposited,4,18,0,0,1,1,1,1,1,6.14
10.1101/052068,10.1093/bioinformatics/btw577,bioinformatics,2016-09-05,2,Deposited,7,19,0,0,1,1,0,0,1,7.08
10.1101/020842,10.1186/s13059-015-0844-5,genome biology,2015-12-10,12,Deposited,10,12,0,0,1,1,0,0,1,13.5
10.1101/069070,10.1371/journal.pgen.1006546,plos genetics,2017-02-23,14,Deposited,11,19,1,0,0,0,0,0,1,5.31
10.1101/008755,10.1016/j.ajhg.2015.03.004,american journal of human genetics,2015-04-17,12,Deposited,5,12,0,0,1,1,1,1,1,11.88
10.1101/036434,10.1073/pnas.1600374113,proceedings of the national academy of sciences of the united states of america,2016-09-07,4,Deposited,10,18,1,1,1,1,1,1,1,10.11
10.1101/136556,10.1128/msphere.00511-17,msphere,2017-12-13,8,Deposited,4,21,1,1,1,1,0,0,1,3.42
10.1101/193326,10.1093/nar/gkx1042,nucleic acids research,2017-10-18,12,Deposited,9,17,0,0,0,0,1,1,1,11.4
10.1101/080168,10.1038/s41396-017-0001-0,isme journal,2017-12-04,11,Deposited,7,20,1,1,1,1,0,0,1,9.39
10.1101/152736,10.1126/scisignal.aan4893,science signaling,2017-10-17,2,Deposited,2,19,1,1,1,1,0,0,1,5.02
10.1101/115410,10.1186/s13059-017-1341-9,genome biology,2017-10-31,40,Deposited,9,3,0,0,0,0,0,0,1,11.44
10.1101/108894,10.1371/journal.pone.0185146,plos one,2017-10-18,5,Deposited,14,18,0,0,0,0,0,0,1,2.88
10.1101/117093,10.1371/journal.pcbi.1005731,plos computational biology,2017-09-18,10,Deposited,11,21,0,0,0,0,1,1,1,4.02
10.1101/154997,10.1091/mbc.e17-06-0423,molecular biology of the cell,2017-08-03,3,Deposited,9,21,0,0,1,1,0,0,1,3.63
10.1101/036798,10.1038/srep25474,scientific reports,2016-05-05,10,Deposited,5,18,1,0,1,1,1,1,1,4.53
10.1101/036178,10.1371/journal.pgen.1005877,plos genetics,2016-03-04,5,Deposited,10,19,0,0,0,0,0,0,1,6.02
10.1101/027581,10.1016/j.jtbi.2016.02.019,journal of theoretical biology,2016-02-23,13,Deposited,3,14,1,0,0,0,0,0,1,2.27
10.1101/112979,10.1186/s12864-017-3943-8,bmc genomics,2017-07-27,35,Deposited,5,14,0,1,1,1,0,0,1,3.82
10.1101/069708,10.1534/genetics.116.195784,genetics,2017-03-10,4,Deposited,2,21,0,0,0,0,0,0,1,3.85
10.1101/080465,10.1016/j.bpj.2017.04.050,biophysical journal,2017-06-11,4,Deposited,0,13,0,0,1,1,0,0,1,3.31
10.1101/058214,10.1002/gepi.22050,genetic epidemiology,2017-05-08,5,Deposited,10,21,0,0,0,0,0,0,0,2.57
10.1101/105999,10.1186/s13148-017-0334-6,clinical epigenetics,2017-04-08,4,Deposited,0,21,0,0,0,0,0,0,1,5.92
10.1101/076315,10.1016/j.cub.2017.02.030,current biology,2017-03-09,2,Deposited,17,11,0,0,0,1,0,1,1,6.33
10.1101/011379,10.3897/dez.62.9000,mitteilungen aus dem museum fur naturkunde in berlin - deutsche entomologische zeitschrift,2015-02-25,1,Deposited,1,1,0,0,0,0,0,0,1,0.45
10.1101/026823,10.1186/s12864-015-2239-0,bmc genomics,2016-01-06,5,Deposited,10,20,0,1,1,1,0,0,1,3.88
10.1101/018333,10.1093/bioinformatics/btv383,bioinformatics,2015-06-23,4,Deposited,0,10,0,1,0,0,0,0,1,6.73
10.1101/023259,10.1371/journal.pone.0137765,plos one,2015-09-22,4,Deposited,11,12,0,0,1,1,0,0,1,3.45
10.1101/026229,10.1371/journal.pone.0138894,plos one,2015-09-25,4,Deposited,12,12,0,1,0,0,0,1,1,3.45
10.1101/017368,10.1111/ddi.12369,diversity and distributions,2015-08-21,2,Deposited,10,17,NA,0,0,0,0,0,1,4.59
10.1101/046359,10.1016/j.neuroimage.2017.02.008,neuroimage,2017-02-05,8,Deposited,6,20,0,0,0,0,0,0,1,5.35
10.1101/067116,10.3389/fnins.2016.00616,frontiers in neuroscience,2017-01-10,5,Deposited,4,15,1,0,0,0,0,0,1,3.92
10.1101/012740,10.1111/evo.12646,evolution,2015-03-24,1,Deposited,8,8,1,1,0,0,1,1,0,4.24
10.1101/036582,10.1016/j.ajpath.2016.04.016,american journal of pathology,2016-07-17,10,Deposited,12,20,0,0,0,0,0,0,1,4.18
10.1101/004895,10.1371/journal.pgen.1004913,plos genetics,2015-01-08,5,Deposited,11,19,0,0,1,1,1,1,1,7.18
10.1101/156596,10.7554/elife.29005,elife,2017-12-20,2,Deposited,6,7,0,0,1,1,1,0,1,7.01
10.1101/063396,10.1038/srep31561,scientific reports,2016-08-16,1,Deposited,20,20,1,1,0,0,0,0,1,4.53
10.1101/027359,10.1073/pnas.1520213113,proceedings of the national academy of sciences of the united states of america,2016-06-30,9,Deposited,8,20,0,0,0,1,0,1,1,10.11
10.1101/004614,10.1186/1471-2164-15-494,bmc genomics,2014-06-19,3,Deposited,8,14,0,0,1,1,1,1,1,4.71
10.1101/181982,10.1371/journal.pone.0190075,plos one,2017-12-27,6,Deposited,7,21,1,1,0,0,0,0,1,2.88
10.1101/148577,10.1073/pnas.1711229114,proceedings of the national academy of sciences of the united states of america,2017-11-21,9,Deposited,3,21,0,0,0,0,0,0,1,9.69
10.1101/133843,10.1371/journal.pone.0188181,plos one,2017-12-18,20,Deposited,4,8,0,NA,0,0,0,0,1,2.88
10.1101/075341,10.3389/fncel.2017.00289,frontiers in cellular neuroscience,2017-09-20,3,Deposited,17,15,0,0,1,1,0,0,1,4.31
10.1101/091967,10.1002/ecs2.1948,ecosphere,2017-10-05,2,Deposited,7,19,1,1,1,1,1,0,1,2.62
10.1101/150862,10.1534/genetics.117.300179,genetics,2017-08-22,15,Deposited,12,21,0,0,1,1,0,0,1,3.85
10.1101/031229,10.1038/ncomms11257,nature communications,2016-04-13,3,Deposited,9,20,0,0,0,0,0,0,1,12.03
10.1101/072710,10.1038/s41598-017-08155-y,scientific reports,2017-08-03,3,Deposited,17,21,0,0,0,0,0,0,1,4.28
10.1101/077545,10.1109/tbme.2016.2627402,ieee transactions on biomedical engineering,2016-12-17,3,Deposited,0,21,0,0,1,1,0,0,0,4.5
10.1101/082420,10.1152/jn.00834.2016,journal of neurophysiology,2017-03-30,4,Deposited,5,19,1,0,0,0,0,0,1,2.5
10.1101/095877,10.1016/j.ympev.2017.08.003,molecular phylogenetics and evolution,2017-08-07,5,Deposited,12,6,0,0,0,0,0,0,0,4.37
10.1101/061911,10.1534/g3.117.041038,"g3: genes, genomes, genetics",2017-05-13,3,Deposited,0,0,0,0,0,0,1,1,1,2.7
10.1101/120154,10.1186/s12864-017-3918-9,bmc genomics,2017-07-10,6,Deposited,4,21,0,0,0,0,0,0,1,3.82
10.1101/101097,10.1016/j.clinph.2017.04.005,clinical neurophysiology,2017-04-24,8,Deposited,1,20,0,0,0,0,0,0,0,3.67
10.1101/078675,10.1002/ece3.3012,ecology and evolution,2017-05-11,4,Deposited,2,15,1,0,0,0,1,1,1,2.4
10.1101/074872,10.7554/elife.21476,elife,2017-04-25,17,Deposited,6,14,1,0,0,1,0,0,1,7.01
10.1101/101444,10.1016/j.bpj.2017.01.032,biophysical journal,2017-03-28,5,Deposited,1,15,0,0,1,1,0,0,1,3.31
10.1101/020529,10.1534/g3.115.021659,"g3: genes, genomes, genetics",2015-09-16,4,Deposited,0,18,0,0,1,1,0,0,1,3.01
10.1101/014027,10.1534/g3.114.015073,"g3: genes, genomes, genetics",2015-08-06,2,Deposited,1,19,0,0,1,1,0,0,1,3.01
10.1101/097303,10.1371/journal.pgen.1006582,plos genetics,2017-01-23,4,Deposited,0,17,1,0,1,1,0,0,1,5.31
10.1101/045963,10.7554/elife.20515,elife,2016-12-07,2,Deposited,6,16,0,0,0,0,0,0,1,6.55
10.1101/055863,10.1038/nmeth.4108,nature methods,2016-12-05,3,Deposited,11,21,0,0,1,1,0,1,1,19.88
10.1101/013623,10.1186/s12859-015-0590-4,bmc bioinformatics,2015-05-19,1,Deposited,18,18,0,0,1,1,0,0,1,2.95
10.1101/036400,10.1371/journal.pone.0162098,plos one,2016-09-08,7,Deposited,3,11,0,0,1,1,0,0,1,3.02
10.1101/050229,10.1038/srep33101,scientific reports,2016-09-12,12,Deposited,0,20,NA,NA,0,0,1,1,1,4.53
10.1101/036947,10.1186/s13073-016-0339-3,genome medicine,2016-08-17,4,Deposited,1,19,0,NA,0,0,0,0,1,6.04
