"PREPRINT_DOI","ARTICLE_DOI","COUNTRYCODE","INSTITUTION_FULL"
"10.1101/079061","10.1371/journal.pone.0164905","USA","University of Texas at Austin, Department of Integrative Biology"
"10.1101/068064","10.1371/journal.pcbi.1005285","AUT","KLI Klosterneuburg"
"10.1101/068064","10.1371/journal.pcbi.1005285","ESP","Universitat Pompeu Fabra (UPF)"
"10.1101/068064","10.1371/journal.pcbi.1005285","ESP","The Barcelona Institute of Science and Technology, Centre for Genomic Regulation (CRG), EMBL/CRG Systems Biology Research Unit"
"10.1101/077354","10.7554/elife.21855","DEU","Max Planck Institute for Terrestrial Microbiology"
"10.1101/064949","10.7554/elife.19874","FRA","ENS Ecole Normale Supi??rieure, UMR 8197 CNRS, IBENS"
"10.1101/064949","10.7554/elife.19874","FRA","Universiti?? Paris Saclay, ENSAE, CREST"
"10.1101/025866","10.1111/mec.13974","DEU","University of Hohenheim, Seed Science and Population Genetics, Institute of Plant Breeding"
"10.1101/044586","10.1093/molbev/msw188","USA","Rice University, Center for Theoretical Biological Physics"
"10.1101/067389","10.1002/hipo.22675","GRC","Hellas (FORTH), Foundation for Research and Technology, Institute of Molecular Biology and Biotechnology (IMBB)"
"10.1101/067389","10.1002/hipo.22675","GRC","University of Crete, School of Sciences and Engineering, Department of Biology"
"10.1101/036194","10.1093/bioinformatics/btw163","USA","Illumina Inc"
"10.1101/016378","10.1016/j.revpalbo.2016.07.001","AUT","Department of Palaeontology, University of Vienna"
"10.1101/138982","10.1093/jhered/esx104","USA","University of Michigan, Department of Ecology and Evolutionary Biology"
"10.1101/034843","10.1093/gbe/evx255","FRA","Universite de Lyon, UCBL, VetAgro Sup"
"10.1101/034843","10.1093/gbe/evx255","FRA","Ecole Normale Superieure de Lyon"
"10.1101/034843","10.1093/gbe/evx255","FRA","Universite de Lyon, UCBL, CNRS"
"10.1101/004424","10.1534/genetics.114.165571","USA","Department of Biology, Stanford University"
"10.1101/041368","10.1016/j.neuropsychologia.2016.08.008","GBR","MRC Cognition and Brain Sciences Unit"
"10.1101/044909","10.1186/s12864-016-2919-4","SWE","Computational Biology and Bioinformatics, Department of Cell and Molecular Biology, Uppsala University"
"10.1101/015065","10.3389/fninf.2016.00014","CAN","University of Toronto, Faculty of Medicine, Institute of Medical Science"
"10.1101/015065","10.3389/fninf.2016.00014","CAN","Centre for Addiction and Mental Health, Campbell Family Mental Health Research Institute"
"10.1101/088195","10.1016/j.envexpbot.2017.12.012","USA","University of North Carolina Wilmington, Department of Biology and Marine Biology and Department of Mathematics and Statistics"
"10.1101/088195","10.1016/j.envexpbot.2017.12.012","USA","University of Florida, Plant Molecular and Cellular Biology Program"
"10.1101/223529","10.1038/s41598-017-17070-1","USA","Santa Fe Institute"
"10.1101/223529","10.1038/s41598-017-17070-1","CHL","Pontificia Universidad Catolica de Chile, Facultad de Ciencias Biologicas, Departamento de Ecologia"
"10.1101/223529","10.1038/s41598-017-17070-1","CHL","Instituto de Sistemas Complejos de Valparaiso (ISCV)"
"10.1101/223529","10.1038/s41598-017-17070-1","CHL","Instituto de Ecologia y Biodiversidad (IEB)"
"10.1101/223529","10.1038/s41598-017-17070-1","CHL","Pontificia Universidad Catolica de Chile, Laboratorio Internacional en Cambio Global (LINCGlobal) and Centro de Cambio Global (PUCGlobal)"
"10.1101/105569","10.7554/elife.26014","USA","University of Washington, Department of Orthopaedics and Sports Medicine"
"10.1101/125047","10.1083/jcb.201704045","FIN","?bo Akademi University, University of Turku, Turku Centre for Biotechnology"
"10.1101/156554","10.1534/genetics.117.300146","USA","Cornell University, Department of Molecular Biology and Genetics"
"10.1101/128736","10.1371/journal.pone.0184507","RUS","Russian Academy of Sciences, All-Russia Institute of Agricultural Biotechnology"
"10.1101/032144","10.1093/database/baw015","USA","Scripps Research Institute"
"10.1101/015776","10.1186/1471-2164-15-s12-s6","RUS","St.Petersburg State Polytechnical University"
"10.1101/017855","10.1371/journal.pgen.1005616","CHE","ETH Zurich, Institute of Molecular Systems Biology"
"10.1101/037267","10.1099/mgen.0.000074","USA","Translational Genomics Research Institute"
"10.1101/037267","10.1099/mgen.0.000074","USA","Northern Arizona University"
"10.1101/062323","10.1186/s12862-017-0983-2","GBR","University of Oxford, Department of Zoology"
"10.1101/062323","10.1186/s12862-017-0983-2","ISR","Tel-Aviv University, Department of Molecular Biology and Ecology of Plants"
"10.1101/056762","10.1109/tbme.2016.2607183","USA","H. Lee Moffitt Cancer Center and Res. Inst., Integrated Math. Oncology Dept."
"10.1101/023051","10.1111/mec.13705",NA,"Department of Evolutionary Biology, EBC, Uppsala University, Uppsala, Sweden"
"10.1101/023051","10.1111/mec.13705",NA,"Institute of Plant Breeding, Seed Science and Population Genetics, University of Hohenheim, Stuttgart, Germany"
"10.1101/052050","10.1111/mec.13729",NA,"Molecular and Computational Biology, Department of Biological Sciences, University of Southern California, 1050 Childs Way, Los Angeles, CA, 90089, USA"
"10.1101/154674","10.1039/c7sc00997f","USA","Wayne State University, Department of Chemistry"
"10.1101/132902","10.1038/s41598-017-03295-7","USA","University of Colorado School of Medicine, Department of Immunology and Microbiology"
"10.1101/109595","10.1038/ncomms15817","USA","University of Chicago, Department of Physics"
"10.1101/109595","10.1038/ncomms15817","USA","University of Chicago, James Franck Institute"
"10.1101/109595","10.1038/ncomms15817","USA","University of Rochester, Department of Biology"
"10.1101/109595","10.1038/ncomms15817","USA","University of Chicago, Institute for Biophysical Dynamics"
"10.1101/109595","10.1038/ncomms15817","USA","University of Rochester, Department of Physics and Astronomy"
"10.1101/071340","10.1038/s41598-017-01859-1","ARG","Universidad Nacional de San Luis, Bioquimica y Farmacia, Facultad de Quimica"
"10.1101/066639","10.1523/jneurosci.0105-17.2017","USA","Cold Spring Harbor Laboratory"
"10.1101/098947","10.1093/molbev/msx056","USA","Arizona State University, School of Life Sciences"
"10.1101/098947","10.1093/molbev/msx056","CHE","Ecole Polytechnique Fedesignerale de Lausanne, School of Life Sciences"
"10.1101/098947","10.1093/molbev/msx056","CHE","Swiss Institute of Bioinformatics"
"10.1101/079251","10.1371/journal.pone.0164919","USA","University of Virginia, Department of Biomedical Engineering"
"10.1101/026401","10.1016/j.jneumeth.2015.09.022","DEU","Dept. Molecular Biology of Neuronal Signals, Max-Planck-Institute for Experimental Medicine"
"10.1101/026401","10.1016/j.jneumeth.2015.09.022","DEU","Bernstein Focus Neurotechnology"
"10.1101/026401","10.1016/j.jneumeth.2015.09.022","DEU","SFB-889 Cellular Mechanisms of Sensory Processing"
"10.1101/026401","10.1016/j.jneumeth.2015.09.022","DEU","Dept. Nonlinear Dynamics, Max Planck Institute for Dynamics and Self-Organization"
"10.1101/026401","10.1016/j.jneumeth.2015.09.022","DEU","Bernstein Center for Computational Neuroscience"
"10.1101/022178","10.1111/mec.13383","FIN","Division of Genetics and Physiology, Department of Biology, University of Turku"
"10.1101/088484","10.1101/gr.214205.116","USA","Harvard University, Department of Stem Cell and Regenerative Biology"
"10.1101/088484","10.1101/gr.214205.116","USA","Broad Institute of Massachusetts Institute of Technology and Harvard"
"10.1101/067124","10.1038/srep39642","USA","University of Illinois, Carl R. Woese Institute for Genomic Biology, Department of Bioengineering"
"10.1101/043059","10.1038/ismej.2016.146","USA","University of Minnesota-Twin Cities, BioTechnology Institute, Department of Microbiology"
"10.1101/060350","10.1080/15384101.2016.1261765","FIN","University of Helsinki, Genome-Scale Biology Program"
"10.1101/069427","10.1371/journal.pone.0167980","AUS","Australian National University, Research School of Biology, Ecology and Genetics"
"10.1101/013987","10.1111/evo.12633","USA","Commitee on Evolutionary Biology, University of Chicago"
"10.1101/169813","10.1093/infdis/jix604","FRA","Da Volterra"
"10.1101/146613","10.1016/j.jpain.2017.11.008","GBR","Cambridge University Hospitals NHS Foundation Trust, Addenbrooke's Hospital, Department of Rheumatology"
"10.1101/099895","10.1093/bioinformatics/btx580","USA","Miami University, Department of Biology"
"10.1101/034975","10.1534/g3.116.031096","USA","University of Nebraska, Department of Animal Science"
"10.1101/060046","10.1038/nature18961","USA","Oregon Health and Science University, Vollum Institute"
"10.1101/116566","10.1371/journal.pcbi.1005875","USA","Stanford University, Structural Biology Department and Public Policy Program"
"10.1101/148809","10.1128/aac.01235-17","USA","University of Texas at Dallas, Department of Biological Sciences"
"10.1101/197830","10.1038/s41598-017-17484-x","SAU","King Abdullah University of Science and Technology (KAUST), Division of Biological and Environmental Science and Engineering (BESE), Red Sea Research Center"
"10.1101/142976","10.1016/j.bpj.2017.10.045","USA","University of California, Department of Physics"
"10.1101/046151","10.1371/journal.pcbi.1005799","USA","MIT, Brain and Cognitive Sciences Department"
"10.1101/136572","10.7554/elife.28507","USA","Harvard University, Department of Molecular and Cellular Biology"
"10.1101/144774","10.1158/0008-5472.can-17-0344","USA","City University of New York, Institute for Implementation Science in Population Health"
"10.1101/144774","10.1158/0008-5472.can-17-0344","USA","City University of New York, Graduate School of Public Health and Health Policy"
"10.1101/144774","10.1158/0008-5472.can-17-0344","USA","University of Buffalo, Roswell Park Cancer Institute"
"10.1101/125203","10.1186/s12864-017-4196-2","USA","Division of Animal Sciences, University of Missouri"
"10.1101/125799","10.1371/journal.pone.0185306","ESP","Universitat de Barcelona, Section of General Linguistics"
"10.1101/125799","10.1371/journal.pone.0185306","ESP","Universitat de Barcelona Institute for Complex Systems"
"10.1101/030361","10.3389/fmicb.2016.00051","ARG","Instituto de Agrobiotecnologia de Rosario - CONICET, Genomics and Bioinformatics"
"10.1101/110833","10.1161/hypertensionaha.117.09438","GBR","University of Leicester, Department of Health Sciences"
"10.1101/162800","10.1016/j.virol.2017.07.032","USA","Columbia University College of Physicians&Surgeons, Department of Microbiology&Immunology"
"10.1101/136507","10.1016/j.jhevol.2017.06.004","ZAF","University of Cape Town, Department of Archaeology"
"10.1101/136507","10.1016/j.jhevol.2017.06.004","ZAF","University of Cape Town, Human Evolution Research Institute"
"10.1101/136507","10.1016/j.jhevol.2017.06.004","USA","SUNY, University at Buffalo, Department of Anthropology"
"10.1101/099853","10.1101/gr.220517.117","USA","University of Pennsylvania, Perelman School of Medicine, Department of Biochemistry and Biophysics"
"10.1101/099853","10.1101/gr.220517.117","USA","University of Pennsylvania, Perelman School of Medicine, Department of Genetics"
"10.1101/028688","10.1038/nature22969","USA","Broad Institute of mit and Harvard"
"10.1101/028688","10.1038/nature22969","USA","Harvard Medical School, Massachusetts General Hospital, Analytic and Translational Genetics Unit"
"10.1101/068056","10.1534/genetics.116.194555","USA","University of California, Department of Molecular and Cellular Biology"
"10.1101/068056","10.1534/genetics.116.194555","USA","School of Medicine University of California, Department of Orthopedic Surgery"
"10.1101/100982","10.1021/acssynbio.7b00019","ISR","Ben-Gurion University of the Negev, Ilse Katz Institute for Nanoscale Science and Technology, Department of Life Sciences"
"10.1101/098582","10.1186/s13059-017-1241-z","GBR","Institute of Biological and Environmental Sciences, University of Aberdeen"
"10.1101/049171","10.1093/gbe/evw175","SWE","Uppsala University, Biomedical Center, Department of Cell and Molecular Biology"
"10.1101/051755","10.1101/gr.209601.116","GBR","University of Oxford, MRC WIMM Centre for Computational Biology, Computational Genomics Analysis and Training Programme"
"10.1101/017939","10.1186/s13059-015-0865-0","USA","Center for Computational Biology, Johns Hopkins University School of Medicine, McKusick-Nathans Institute of Genetic Medicine"
"10.1101/017939","10.1186/s13059-015-0865-0","USA","Toyota Technological Institute at Chicago"
"10.1101/070409","10.1111/gbb.12368","AUS","Australian National University, John Curtin School of Medical Research"
"10.1101/083774","10.1038/nmeth.4177","AUT","Austrian Academy of Sciences, CeMM Research Center for Molecular Medicine"
"10.1101/045831","10.1038/ng.3766","USA","New York Genome Center"
"10.1101/043976","10.1007/s00285-016-1070-9","GBR","University of Nottingham, School of Mathematical Sciences, Centre for Mathematical Medicine and Biology"
"10.1101/081737","10.1038/srep39332","FRA","Centre d'Etudes d'Agents Pathogenes et de Biotechnologies Pour la Sante, Universite Montpellier, CNRS"
"10.1101/091785","10.1371/journal.pgen.1006499","CHE","University of Geneva, Faculty of Medicine, Institute of Genetics & Genomics in Geneva (iGE3)"
"10.1101/046748","10.1534/genetics.116.189985","CHE","University of Fribourg, Department of Biology and Biochemistry"
"10.1101/046748","10.1534/genetics.116.189985","CHE","Swiss Institute of Bioinformatics, Statistical and Computational Evolutionary Biology Group"
"10.1101/013003","10.1073/pnas.1424184112","USA","Harvard University, Department of Organismic and Evolutionary Biology, Department of Mathematics"
"10.1101/013003","10.1073/pnas.1424184112","NLD","University of Groningen, Groningen Institute for Evolutionary Life Sciences, Theoretical Biology Group"
"10.1101/139287","10.1093/bioinformatics/btx682","FRA","INRA, Universite de Toulouse, MIAT"
"10.1101/114116","10.1093/jac/dkx316","CHN","Fudan University, Huashan Hospital, Department of Infectious Diseases"
"10.1101/157867","10.1534/g3.117.1134","USA","University of California, Department of Entomology"
"10.1101/004648","10.3389/fimmu.2014.00326","DEU","Molecular Immunology, Robert Koch-Institute"
"10.1101/015404","10.1242/dev.127530","GBR","University of Cambridge, Department of Genetics"
"10.1101/040907","10.1126/science.aaf5023","USA","University of California San Francisco, Department of Biochemistry and Biophysics, Howard Hughes Medical Institute (HHMI)"
"10.1101/055038","10.1534/g3.116.031443","USA","University of Nebraska, Department of Agronomy and Horticulture"
"10.1101/041475","10.1186/s12864-016-2754-7","NZL","AbacusBio Limited"
"10.1101/030700","10.1038/srep26029","DEU","University of Freiburg, Bernstein Center Freiburg"
"10.1101/030700","10.1038/srep26029","DEU","University of Freiburg, Faculty of Biology"
"10.1101/167999","10.4049/jimmunol.1701214","USA","University of Texas Southwestern Medical Center, Department of Microbiology"
"10.1101/180885","10.1523/jneurosci.2344-17.2017","USA","University of Florida, Department of Psychiatry"
"10.1101/117184","10.1093/nar/gkx794","USA","Indiana University, Department of Biology"
"10.1101/142513","10.1523/jneurosci.1436-17.2017","GBR","Birkbeck/University of London Centre for Neuroimaging"
"10.1101/142513","10.1523/jneurosci.1436-17.2017","GBR","University of London, Birkbeck College, Department of Psychological Sciences"
"10.1101/142513","10.1523/jneurosci.1436-17.2017","GBR","University College London, Department of Experimental Psychology"
"10.1101/108431","10.1038/s41467-017-01109-y","GBR","University College London, Physiology and Pharmacology, Department of Neuroscience"
"10.1101/086934","10.1016/j.cub.2017.09.044","USA","HHMI Janelia Research Campus, Reiser Lab"
"10.1101/086934","10.1016/j.cub.2017.09.044","GBR","Imperial College London, Department of Bioengineering"
"10.1101/156547","10.1158/0008-5472.can-17-0835","USA","H. Lee Moffitt Cancer Center and Research Institute, Integrated Mathematical Oncology Department"
"10.1101/156547","10.1158/0008-5472.can-17-0835","GBR","University of Oxford, Mathematical Institute, Wolfson Centre for Mathematical Biology"
"10.1101/163048","10.1186/s12862-017-1060-6","CHE","University of Zurich, Department of Plant and Microbial Biology"
"10.1101/111542","10.1083/jcb.201703103","DEU","European Molecular Biology Laboratory, Directors' Research Unit"
"10.1101/112060","10.7717/peerj.3530","FRA","Institut de Biologie Computationnelle"
"10.1101/112060","10.7717/peerj.3530","FRA","University of Montpellier, Montpellier SupAgro, IRD"
"10.1101/082602","10.7554/elife.23382","SWE","Karolinska Institutet, Department of Medical Biochemistry and Biophysics, Division of Functional Genomics and Systems Biology"
"10.1101/087890","10.1038/s41598-017-02547-w","USA","University of Chicago, Department of Human Genetics"
"10.1101/004036","10.1111/bij.12701","IRL","Trinity College Dublin, Trinity Centre for Biodiversity Research"
"10.1101/004036","10.1111/bij.12701","IRL","Trinity College Dublin, School of Natural Sciences"
"10.1101/004036","10.1111/bij.12701","GBR","Natural History Museum, Department of Life Sciences"
"10.1101/086579","10.1186/s12859-017-1541-z","USA","Center for Genomics and Systems Biology, Departments of Biology and Computer Science, New York University"
"10.1101/086579","10.1186/s12859-017-1541-z","USA","Flatiron Institute, Center for Computational Biology"
"10.1101/030916","10.3389/fmars.2016.00006","USA","University of Tennessee, Department of Earth and Planetary Sciences"
"10.1101/005850","10.1371/journal.pgen.1005068","EST","Evolutionary Biology groupn Biocentre"
"10.1101/005850","10.1371/journal.pgen.1005068","RUS","Institute of Biochemistry and Genetics, Ufa Research Centre, RAS"
"10.1101/030973","10.1093/sysbio/syw041","USA","Harvard University, Department of Organismic and Evolutionary Biology, Museum of Comparative Zoology"
"10.1101/042499","10.3390/s16111879","CAN","McMaster University, School of Biomedical Engineering"
"10.1101/058859","10.1186/s12936-016-1537-6","USA","University of Notre Dame, Department of Applied and Computational Mathematics and Statistics"
"10.1101/183459","10.3791/56803","USA","Arizona State University, School of Life Sciences"
"10.1101/006221","10.1101/gr.175893.114","USA","Department of Biology, Stanford University"
"10.1101/052746","10.1242/dev.139634","DEU","Ludwig-Maximilians-University, Biomedical Center and Center for Integrated Protein Science Munich"
"10.1101/037226","10.1101/gr.200931.115","DEU","Max-Planck-Institute for Biophysical Chemistry, Department of NMR-Based Structural Biology, Group Systems Biology of Motor Proteins"
"10.1101/038588","10.1371/journal.pntd.0004726","GBR","London School of Hygiene and Tropical Medicine, Centre for the Mathematical Modelling of Infectious Diseases"
"10.1101/188169","10.1021/acs.analchem.7b04335","USA","University of Central Florida, College of Medicine, Burnett School of Biomedical Sciences"
"10.1101/153932","10.18632/oncotarget.21879","AUT","Vienna Biocenter (VBC), University of Vienna, Max F. Perutz Laboratories"
"10.1101/132696","10.1371/journal.pgen.1006997","GBR","University of Edinburgh, The Roslin Institute and Royal (Dick) School of Veterinary Studies"
"10.1101/034652","10.1534/g3.115.025585","USA","University of California San Diego, Section of Cell and Developmental Biology and Howard Hughes Medical Institute"
"10.1101/025940","10.1098/rstb.2015.0219","NOR","University of Oslo, Department of Biosciences, Centre for Ecological and Evolutionary Synthesis"
"10.1101/100933","10.1103/physreve.96.022303","USA","New Jersey Institute of Technology, Department of Mathematical Sciences"
"10.1101/058693","10.1152/jn.00183.2017","DEU","University of Bremen, Center for Cognitive Sciences, Brain Research Institute"
"10.1101/067512","10.1093/gigascience/giw008","USA","Donald Danforth Plant Science Center"
"10.1101/052076","10.1016/j.ccell.2017.06.003","USA","The University of Texas MD Anderson Cancer Center, Department of Genomic Medicine"
"10.1101/052076","10.1016/j.ccell.2017.06.003","USA","The University of Texas MD Anderson Cancer Center, Department of Bioinformatics and Computational Biology"
"10.1101/052076","10.1016/j.ccell.2017.06.003","USA","The University of Texas MD Anderson Cancer Center, Department of Radiation Oncology"
"10.1101/095372","10.1534/g3.117.043893","GBR","University of Manchester, Faculty of Life Sciences"
"10.1101/094177","10.1186/s12859-017-1774-x","USA","Texas Advanced Computing Center, University of Texas at Austin"
"10.1101/103077","10.1152/ajprenal.00067.2017","USA","University of New Hampshire, and Biomedical Sciences, Cellular"
"10.1101/051953","10.1093/molbev/msw227","USA","Vanderbilt University, Department of Biological Sciences"
"10.1101/052068","10.1093/bioinformatics/btw577","USA","University of Minnesota, School of Public Health, Division of Biostatistics"
"10.1101/020842","10.1186/s13059-015-0844-5","USA","Vaccine and Infectious Disease Division, Fred Hutchinson Cancer Research Center"
"10.1101/069070","10.1371/journal.pgen.1006546","SWE","Karolinska Institutet, Tumour and Cell Biology, Microbiology"
"10.1101/008755","10.1016/j.ajhg.2015.03.004","USA","Harvard University, Harvard T.H. Chan School of Public Health, Department of Biostatistics"
"10.1101/008755","10.1016/j.ajhg.2015.03.004","USA","Broad Institute of Harvard and MIT, Program in Medical and Population Genetics"
"10.1101/036434","10.1073/pnas.1600374113","USA","Broad Institute of MIT and Harvard, Program in Medical and Population Genetics"
"10.1101/036434","10.1073/pnas.1600374113","USA","Columbia University, Department of Biological Sciences"
"10.1101/136556","10.1128/msphere.00511-17","USA","University of Wisconsin-Madison, Microbiology Doctoral Training Program"
"10.1101/136556","10.1128/msphere.00511-17","USA","University of Wisconsin-Madison, School of Medicine and Public Health, Department of Medical Microbiology and Immunology"
"10.1101/193326","10.1093/nar/gkx1042","ROU","Romanian Academy, Institute of Biochemistry, Computational Biology of Aging Group"
"10.1101/193326","10.1093/nar/gkx1042","GBR","University of Liverpool, Institute of Ageing and Chronic Disease, Integrative Genomics of Ageing Group"
"10.1101/080168","10.1038/s41396-017-0001-0","USA","University of Wisconsin-Madison, Department of Bacteriology"
"10.1101/080168","10.1038/s41396-017-0001-0","SWE","Uppsala University, Limnology and Science for Life Laboratory, Department of Ecology and Genetics"
"10.1101/152736","10.1126/scisignal.aan4893","USA","University of Iowa, 143 Biology Building East, Aging Mind and Brain Initiative"
"10.1101/115410","10.1186/s13059-017-1341-9","KOR","Research Institute for Agriculture and Life Sciences, Plant Genomics and Breeding Institute, Department of Plant Science"
"10.1101/108894","10.1371/journal.pone.0185146","GBR","Whiteknights Campus, Clinical Language Sciences University of Reading, School of Psychology"
"10.1101/117093","10.1371/journal.pcbi.1005731","GBR","Sutton Bonington Campus, University of Nottingham, School of Biosciences"
"10.1101/117093","10.1371/journal.pcbi.1005731","GBR","University of Manchester, Medicine and Health Sciences, Faculty of Biology"
"10.1101/154997","10.1091/mbc.e17-06-0423","USA","Berkeley, University of California, Howard Hughes Medical Institute"
"10.1101/036798","10.1038/srep25474","USA","Massachusetts Institute of Technology, Department of Biological Engineering"
"10.1101/036178","10.1371/journal.pgen.1005877","FRA","Sorbonne Universites, Ecole Pratique des Hautes Etudes, Biodiversite ISYEB - UMR 7205 - CNRS & MNHN & UPMC & EPHE"
"10.1101/036178","10.1371/journal.pgen.1005877","FRA","Universite Paris-Saclay, AgroParisTech, INRA"
"10.1101/027581","10.1016/j.jtbi.2016.02.019","FIN","University of Helsinki, Department of Mathematics and Statistics"
"10.1101/112979","10.1186/s12864-017-3943-8","USA","Department of Veterinary Population Medicine, University of Minnesota, College of Veterinary Medicine"
"10.1101/069708","10.1534/genetics.116.195784","GBR","University of Bath, The Milner Centre for Evolution, Department of Biology and Biochemistry"
"10.1101/080465","10.1016/j.bpj.2017.04.050","USA","University of Delaware, Department of Biomedical Engineering"
"10.1101/058214","10.1002/gepi.22050","HKG","University of Hong Kong, Centre for Genomic Sciences"
"10.1101/105999","10.1186/s13148-017-0334-6","ESP","CIEMAT, Molecular Oncology Unit"
"10.1101/076315","10.1016/j.cub.2017.02.030","JPN","The Kyushu University Museum"
"10.1101/011379","10.3897/dez.62.9000","AUS","Althanstra?e 14,UZA 1, University of Vienna, Department of Integrative Zoology"
"10.1101/026823","10.1186/s12864-015-2239-0","USA","The Rockefeller University, Laboratory of Neurogenetics and Behavior"
"10.1101/018333","10.1093/bioinformatics/btv383","AUS","University of Melbourne, Bio21 Molecular Science and Biotechnology Institute, Department of Biochemistry and Molecular Biology"
"10.1101/023259","10.1371/journal.pone.0137765","USA","Pacific Northwest Research Station, Forest Service, USDA"
"10.1101/026229","10.1371/journal.pone.0138894","AUS","Queensland University of Technology, School of Mathematical Sciences"
"10.1101/017368","10.1111/ddi.12369","DNK","Aarhus University, Department of Bioscience, Section for Ecoinformatics and Biodiversity"
"10.1101/017368","10.1111/ddi.12369","ESP","Museo Nacional de Ciencias Naturales, Department of Biogeography and Global Change"
"10.1101/046359","10.1016/j.neuroimage.2017.02.008","GBR","Wellcome Trust Centre for Neuroimaging at UCL"
"10.1101/046359","10.1016/j.neuroimage.2017.02.008","GBR","UCL, Institute of Cognitive Neuroscience"
"10.1101/067116","10.3389/fnins.2016.00616","CHN","University of Science and Technology of China, CAS Key Laboratory of Brain Function and Diseases and School of Life Sciences"
"10.1101/067116","10.3389/fnins.2016.00616","CHN","University of Science and Technology of China, Centers for Biomedical Engineering"
"10.1101/012740","10.1111/evo.12646","FRA","Center for Interdisciplinary Research in Biology, CNRS UMR 7241, Equipe Stochastic Models for the Inference of Life Evolution, College de France"
"10.1101/012740","10.1111/evo.12646","GBR","Centre for Ecology and Conservation, University of Exeter"
"10.1101/012740","10.1111/evo.12646","CAN","Department of Zoology and Biodiversity Research Centre, University of British Columbia"
"10.1101/036582","10.1016/j.ajpath.2016.04.016","AUS","Australian National University, John Curtin School of Medical Research, Department of Immunology and Infectious Diseases"
"10.1101/004895","10.1371/journal.pgen.1004913","USA","Lewis Sigler Institute for Integrative Genomics, Princeton University"
"10.1101/156596","10.7554/elife.29005","USA","Princeton University, Lewis-Sigler Institute"
"10.1101/156596","10.7554/elife.29005","USA","Cold Spring Harbor Laboratory, Watson School of Biological Sciences"
"10.1101/063396","10.1038/srep31561","DEU","Department of Theory and Bio-Systems, Max Planck Institute of Colloids and Interfaces"
