"PREPRINT_DOI","ARTICLE_DOI","GENDER"
"10.1101/027581","10.1016/j.jtbi.2016.02.019","female"
"10.1101/112979","10.1186/s12864-017-3943-8","male"
"10.1101/069708","10.1534/genetics.116.195784","male"
"10.1101/080465","10.1016/j.bpj.2017.04.050","male"
"10.1101/058214","10.1002/gepi.22050","male"
"10.1101/105999","10.1186/s13148-017-0334-6","male"
"10.1101/076315","10.1016/j.cub.2017.02.030","male"
"10.1101/011379","10.3897/dez.62.9000","male"
"10.1101/026823","10.1186/s12864-015-2239-0","male"
"10.1101/018333","10.1093/bioinformatics/btv383","male"
"10.1101/023259","10.1371/journal.pone.0137765","male"
"10.1101/026229","10.1371/journal.pone.0138894","male"
"10.1101/017368","10.1111/ddi.12369","unknown"
"10.1101/046359","10.1016/j.neuroimage.2017.02.008","male"
"10.1101/067116","10.3389/fnins.2016.00616","female"
"10.1101/012740","10.1111/evo.12646","female"
"10.1101/036582","10.1016/j.ajpath.2016.04.016","male"
"10.1101/004895","10.1371/journal.pgen.1004913","male"
"10.1101/156596","10.7554/elife.29005","male"
"10.1101/063396","10.1038/srep31561","female"
"10.1101/027359","10.1073/pnas.1520213113","male"
"10.1101/004614","10.1186/1471-2164-15-494","male"
"10.1101/181982","10.1371/journal.pone.0190075","female"
"10.1101/148577","10.1073/pnas.1711229114","male"
"10.1101/133843","10.1371/journal.pone.0188181","male"
"10.1101/075341","10.3389/fncel.2017.00289","male"
"10.1101/091967","10.1002/ecs2.1948","female"
"10.1101/150862","10.1534/genetics.117.300179","male"
"10.1101/031229","10.1038/ncomms11257","male"
"10.1101/072710","10.1038/s41598-017-08155-y","male"
"10.1101/077545","10.1109/tbme.2016.2627402","male"
"10.1101/082420","10.1152/jn.00834.2016","female"
"10.1101/095877","10.1016/j.ympev.2017.08.003","male"
"10.1101/061911","10.1534/g3.117.041038","male"
"10.1101/120154","10.1186/s12864-017-3918-9","male"
"10.1101/101097","10.1016/j.clinph.2017.04.005","male"
"10.1101/078675","10.1002/ece3.3012","female"
"10.1101/074872","10.7554/elife.21476","female"
"10.1101/101444","10.1016/j.bpj.2017.01.032","male"
"10.1101/020529","10.1534/g3.115.021659","male"
"10.1101/014027","10.1534/g3.114.015073","male"
"10.1101/097303","10.1371/journal.pgen.1006582","female"
"10.1101/045963","10.7554/elife.20515","male"
"10.1101/055863","10.1038/nmeth.4108","male"
"10.1101/013623","10.1186/s12859-015-0590-4","male"
"10.1101/036400","10.1371/journal.pone.0162098","male"
"10.1101/050229","10.1038/srep33101","unknown"
"10.1101/036947","10.1186/s13073-016-0339-3","male"
"10.1101/028241","10.1038/gim.2015.161","female"
"10.1101/016006","10.1038/nature17961","unknown"
"10.1101/000315","10.1371/journal.pone.0087782","female"
"10.1101/105338","10.1093/ije/dyx207","male"
"10.1101/148346","10.1016/j.bpj.2017.09.024","male"
"10.1101/109108","10.1126/sciadv.1700606","female"
"10.1101/169748","10.1186/s12864-017-4351-9","male"
"10.1101/147975","10.7554/elife.29061","female"
"10.1101/152389","10.1016/j.neuroimage.2017.10.049","male"
"10.1101/095638","10.1093/bioinformatics/btx408","male"
"10.1101/117044","10.1016/j.anbehav.2017.08.029","male"
"10.1101/025551","10.1371/journal.pone.0151651","male"
"10.1101/027771","10.1038/ng.3529","female"
"10.1101/015214","10.1371/journal.pcbi.1004765","male"
"10.1101/099481","10.1007/s10453-017-9497-z","female"
"10.1101/079053","10.1091/mbc.e16-10-0695","unknown"
"10.1101/075820","10.1021/acs.jpcb.6b09402","male"
"10.1101/044602","10.1177/0271678x16661201","male"
"10.1101/103176","10.1371/journal.pgen.1006721","female"
"10.1101/135947","10.1073/pnas.1701884114","male"
"10.1101/051888","10.1038/s41598-017-01005-x","male"
"10.1101/077883","10.1371/journal.pone.0172802","male"
"10.1101/074690","10.1038/srep44374","male"
"10.1101/107888","10.1002/hbm.23574","male"
"10.1101/020214","10.1371/journal.pone.0139047","female"
"10.1101/069880","10.1016/j.celrep.2016.12.080","male"
"10.1101/030908","10.1371/journal.pone.0165899","female"
"10.1101/026351","10.1093/bioinformatics/btw069","unknown"
"10.1101/063222","10.1099/mic.0.000352","female"
"10.1101/042176","10.1038/ncomms13311","male"
"10.1101/123877","10.1093/bioinformatics/btx481","male"
"10.1101/022301","10.1093/bioinformatics/btv722","male"
"10.1101/024653","10.3389/fncom.2016.00048","male"
"10.1101/112235","10.1038/srep46398","male"
"10.1101/035519","10.1186/s12918-017-0488-z","male"
"10.1101/169912","10.1371/journal.pgen.1007103","female"
"10.1101/102517","10.1111/nph.14739","male"
"10.1101/129023","10.1186/s12864-017-4217-1","male"
"10.1101/179572","10.1016/j.phytochem.2017.10.004","male"
"10.1101/026203","10.1186/s13062-016-0128-3","male"
"10.1101/032276","10.1371/journal.pone.0149035","male"
"10.1101/020990","10.1038/srep22311","male"
"10.1101/067561","10.1093/gigascience/gix032","male"
"10.1101/063305","10.1038/s41598-017-04160-3","male"
"10.1101/106302","10.1111/nph.14629","male"
"10.1101/132704","10.1016/j.nicl.2017.06.013","male"
"10.1101/087122","10.1128/iai.00948-16","unknown"
"10.1101/069815","10.1101/gr.214767.116","male"
"10.1101/084285","10.1007/s00424-017-1989-8","female"
"10.1101/000265","10.1093/nar/gkw1148","male"
"10.1101/042028","10.1111/nph.14403","male"
"10.1101/043364","10.1107/s2059798316007907","female"
"10.1101/049767","10.1371/journal.pcbi.1005066","male"
"10.1101/053546","10.1038/srep36164","male"
"10.1101/050062","10.7717/peerj.2501","male"
"10.1101/034520","10.1371/journal.pone.0165561","male"
"10.1101/044495","10.1371/journal.pcbi.1005124","male"
"10.1101/050252","10.1111/evo.13043","female"
"10.1101/001966","10.1261/rna.044321.114","female"
"10.1101/044966","10.1371/journal.pone.0155743","female"
"10.1101/039578","10.1371/journal.pone.0156293","male"
"10.1101/192104","10.1073/pnas.1716483114","male"
"10.1101/143586","10.1534/genetics.117.300273","male"
"10.1101/164749","10.1371/journal.pone.0187308","male"
"10.1101/171629","10.1016/j.celrep.2017.10.035","male"
"10.1101/014738","10.1038/nmeth.3541","male"
"10.1101/134122","10.1038/s41598-017-09800-2","male"
"10.1101/130054","10.7554/elife.28069","male"
"10.1101/085043","10.1093/nar/gkx103","male"
"10.1101/089797","10.1128/aem.03391-16","male"
"10.1101/088781","10.1242/jeb.153593","female"
"10.1101/002337","10.1007/s00248-014-0518-y","male"
"10.1101/067454","10.1016/j.ajhg.2016.11.012","female"
"10.1101/044149","10.1073/pnas.1612820113","male"
"10.1101/035329","10.1016/j.ajhg.2016.07.020","male"
"10.1101/149344","10.7554/elife.29550","male"
"10.1101/033878","10.1007/s00429-016-1277-y","male"
"10.1101/031179","10.3835/plantgenome2015.11.0118","male"
"10.1101/024513","10.1021/acs.jcim.5b00632","female"
"10.1101/046003","10.1371/journal.pgen.1006074","female"
"10.1101/005702","10.1038/srep04942","male"
"10.1101/055418","10.12688/wellcomeopenres.9896.1","male"
"10.1101/115451","10.1186/s13073-017-0495-0","male"
"10.1101/102210","10.1073/pnas.1703379114","male"
"10.1101/091595","10.1186/s13059-017-1311-2","male"
"10.1101/076067","10.1038/s41598-017-09334-7","male"
"10.1101/115121","10.1371/journal.pone.0184405","male"
"10.1101/068528","10.1093/jhered/esx058","female"
"10.1101/028175","10.1371/journal.pcbi.1004845","female"
"10.1101/106039","10.1371/journal.pone.0179726","male"
"10.1101/161265","10.1371/journal.pone.0181941","male"
"10.1101/114926","10.7554/elife.23249","male"
"10.1101/075697","10.1152/jn.00880.2016","female"
"10.1101/053918","10.1098/rspb.2017.0200","male"
"10.1101/047704","10.14814/phy2.13218","female"
"10.1101/057315","10.1111/1365-2664.12867","male"
"10.1101/084871","10.1186/s12864-017-3527-7","female"
"10.1101/065961","10.1016/j.neuroimage.2016.11.001","male"
"10.1101/059287","10.15252/msb.20167137","male"
"10.1101/048371","10.1038/ncomms12778","male"
"10.1101/178533","10.1002/hbm.23917","female"
"10.1101/179804","10.1373/clinchem.2017.278101","female"
"10.1101/057760","10.1099/mgen.0.000076","male"
"10.1101/001552","10.1038/nature13673","male"
"10.1101/007708","10.1098/rsbl.2014.0497","male"
"10.1101/089821","10.1093/dnares/dsx023","male"
"10.1101/192963","10.1371/journal.pone.0187259","male"
"10.1101/138511","10.1523/eneuro.0207-17.2017","male"
"10.1101/134387","10.1242/jeb.162255","female"
"10.1101/184978","10.1016/j.bandl.2017.10.008","male"
"10.1101/138883","10.7717/peerj.3837","male"
"10.1101/116780","10.1016/j.jtbi.2017.09.017","male"
"10.1101/126169","10.1186/s12864-017-4091-x","female"
"10.1101/026922","10.1038/srep25373","unknown"
"10.1101/041780","10.7554/elife.12727","male"
"10.1101/063719","10.1038/s41467-017-00740-z","male"
"10.1101/109207","10.1038/nmeth.4391","male"
"10.1101/130112","10.1103/physreve.96.012406","male"
"10.1101/131433","10.1016/j.bandc.2017.08.004","female"
"10.1101/118539","10.1007/s00251-017-1023-5","male"
"10.1101/059410","10.1038/s41598-017-08877-z","male"
"10.1101/134668","10.1007/s00122-017-2934-0","male"
"10.1101/121996","10.1371/journal.pone.0180047","female"
"10.1101/063206","10.1186/s12859-017-1678-9","male"
"10.1101/093161","10.1093/bioinformatics/btw791","male"
"10.1101/016881","10.1534/genetics.115.178160","male"
"10.1101/020586","10.1371/journal.pgen.1005718","female"
"10.1101/023531","10.1371/journal.pcbi.1004684","male"
"10.1101/100198","10.1101/gad.293910.116","female"
"10.1101/093609","10.1111/jeb.13045","unknown"
"10.1101/003780","10.1007/s00285-014-0824-5","male"
"10.1101/021378","10.1073/pnas.1418745112","male"
"10.1101/008524","10.1016/j.jinsphys.2014.07.001","female"
"10.1101/120261","10.1093/bioinformatics/btx587","male"
"10.1101/193847","10.7554/elife.31343","female"
"10.1101/003376","10.1371/journal.pcbi.1003757","male"
"10.1101/023788","10.1111/mec.13643","female"
"10.1101/014043","10.1186/s13742-015-0080-7","male"
"10.1101/163873","10.1111/nph.14956","male"
"10.1101/172494","10.1073/pnas.1713863114","male"
"10.1101/126334","10.15252/emmm.201707882","female"
"10.1101/028027","10.3389/fnsys.2016.00026","female"
"10.1101/031062","10.1038/hdy.2015.104","unknown"
"10.1101/026948","10.1038/nmeth.3734","female"
"10.1101/019273","10.1007/s10955-015-1444-1","male"
"10.1101/025676","10.1038/nmeth.3800","male"
"10.1101/141788","10.7554/elife.28862","female"
"10.1101/100099","10.1098/rsif.2017.0073","male"
"10.1101/069062","10.1017/s0033291717000769","unknown"
"10.1101/066829","10.1093/molbev/msw224","male"
"10.1101/103408","10.1016/j.molmet.2017.02.007","male"
"10.1101/024695","10.1038/nature16062","male"
"10.1101/074286","10.1016/j.neuropsychologia.2017.02.006","male"
"10.1101/072967","10.1016/j.ajhg.2017.01.031","male"
"10.1101/059790","10.1371/journal.pbio.2000234","female"
"10.1101/082255","10.1038/nmeth.4148","male"
"10.1101/013771","10.1371/journal.pone.0128036","male"
"10.1101/040600","10.1093/gbe/evw176","male"
"10.1101/186072","10.1523/jneurosci.2460-17.2017","female"
"10.1101/158576","10.1038/ismej.2017.172","male"
"10.1101/002279","10.1371/journal.pone.0110808","male"
"10.1101/041749","10.1523/jneurosci.0659-16.2016","female"
"10.1101/020818","10.1371/journal.pone.0159195","female"
"10.1101/157008","10.3389/fmars.2017.00403","male"
"10.1101/179119","10.1111/tpj.13765","male"
"10.1101/142950","10.1038/s41598-017-17178-4","female"
"10.1101/128827","10.1242/bio.026930","female"
"10.1101/167478","10.1038/s41598-017-15520-4","unknown"
"10.1101/133025","10.1523/jneurosci.1222-17.2017","female"
"10.1101/082024","10.1038/ng.3954","male"
"10.1101/024034","10.1038/nmeth.3869","male"
"10.1101/033514","10.1073/pnas.1522921113","male"
"10.1101/024414","10.7717/peerj.1845","male"
"10.1101/001297","10.1371/journal.pone.0085203","male"
"10.1101/133686","10.7554/elife.28387","male"
"10.1101/123414","10.1016/j.csbj.2017.08.002","female"
"10.1101/061267","10.1002/hbm.23803","male"
"10.1101/080606","10.1093/molbev/msx070","female"
"10.1101/106385","10.1186/s12915-017-0399-x","female"
"10.1101/119560","10.1111/jeb.13131","unknown"
"10.1101/105916","10.1016/j.cub.2017.04.058","female"
"10.1101/080820","10.1186/s13073-017-0426-0","male"
"10.1101/056598","10.1093/bioinformatics/btw757","male"
"10.1101/061754","10.1037/com0000069","male"
"10.1101/091322","10.1371/journal.pcbi.1005350","male"
"10.1101/025890","10.7554/elife.11182","male"
"10.1101/011858","10.1186/s12918-015-0253-0","male"
"10.1101/017863","10.3389/fncir.2015.00039","female"
"10.1101/067876","10.15252/embj.201696038","male"
"10.1101/037010","10.1021/acssynbio.6b00072","female"
"10.1101/001677","10.1111/oik.01719","male"
"10.1101/001347","10.1093/molbev/msu269","male"
"10.1101/046839","10.1007/s11240-016-1063-9","female"
"10.1101/028837","10.1534/genetics.115.183665","male"
"10.1101/037101","10.1093/bioinformatics/btw276","female"
"10.1101/037671","10.1186/s12859-016-1140-4","male"
"10.1101/045856","10.1073/pnas.1605707113","male"
"10.1101/115568","10.1038/s41437-017-0003-8","male"
"10.1101/174581","10.1534/g3.117.300146","female"
"10.1101/146266","10.1128/msphere.00267-17","male"
"10.1101/160218","10.1002/ajpa.23345","male"
"10.1101/167767","10.1038/ng.3967","male"
"10.1101/152447","10.1186/s12859-017-1929-9","male"
"10.1101/144725","10.1186/s12967-017-1305-6","male"
"10.1101/122119","10.1111/pce.13019","male"
"10.1101/145011","10.1080/15592324.2017.1346767","male"
"10.1101/033340","10.3389/fmicb.2016.00301","male"
"10.1101/153262","10.1038/nature23467","male"
"10.1101/081620","10.1101/gr.217216.116","male"
"10.1101/112284","10.3389/fncir.2017.00056","female"
"10.1101/104398","10.1242/dev.150094","male"
"10.1101/083865","10.1371/journal.pgen.1006841","male"
"10.1101/081430","10.15252/msb.20167456","male"
"10.1101/050302","10.1091/mbc.e16-06-0370","male"
"10.1101/016329","10.7554/elife.10778","male"
"10.1101/002725","10.1186/s13059-015-0598-0","female"
"10.1101/009423","10.1088/1478-3975/12/2/025002","male"
"10.1101/113274","10.1093/beheco/arx161","female"
"10.1101/137265","10.7554/elife.30054","male"
"10.1101/048264","10.12688/f1000research.11223.1","male"
"10.1101/141101","10.1186/s12918-017-0500-7","male"
"10.1101/170258","10.1016/j.agrformet.2017.11.023","male"
"10.1101/194589","10.3390/v9120388","male"
"10.1101/138651","10.1016/j.orggeochem.2017.06.020","male"
"10.1101/071852","10.1073/pnas.1701136114","male"
"10.1101/090324","10.1371/journal.ppat.1006633","male"
"10.1101/033464","10.1073/pnas.1600338113","male"
"10.1101/031013","10.1534/g3.115.024596","male"
"10.1101/012179","10.1038/nmeth.3505","male"
"10.1101/033043","10.1371/journal.pgen.1005774","male"
"10.1101/057323","10.1038/s41598-017-09424-6","female"
"10.1101/092536","10.1091/mbc.e17-04-0238","male"
"10.1101/119511","10.1038/s41598-017-07866-6","female"
"10.1101/125336","10.1038/s41598-017-08884-0","male"
"10.1101/098681","10.1534/genetics.116.198051","female"
"10.1101/035873","10.1093/sysbio/syw075","unknown"
"10.1101/070342","10.1016/j.bpj.2017.03.018","female"
"10.1101/118372","10.1111/mec.14131","male"
"10.1101/095752","10.7554/elife.23866","male"
"10.1101/093559","10.1007/s00251-017-0977-7","male"
"10.1101/102053","10.1534/g3.117.039479","female"
"10.1101/028969","10.1016/j.meegid.2015.11.030","female"
"10.1101/014472","10.1093/bioinformatics/btv368","male"
"10.1101/098624","10.1111/faf.12208","female"
"10.1101/076430","10.1371/journal.pone.0169432","male"
"10.1101/085225","10.1128/aem.03035-16","male"
"10.1101/072363","10.1016/j.ajhg.2016.09.016","male"
"10.1101/009258","10.1016/j.ajhg.2015.05.016","female"
"10.1101/011106","10.1007/s11295-015-0866-x","male"
"10.1101/048207","10.1016/j.cels.2016.05.007","male"
"10.1101/051581","10.1098/rsos.160654","male"
"10.1101/058024","10.1371/journal.pbio.2000744","female"
"10.1101/048348","10.7717/peerj.2617","female"
"10.1101/052928","10.1073/pnas.1607601113","male"
"10.1101/051599","10.1074/jbc.m116.738799","unknown"
"10.1101/097998","10.1128/msphere.00367-16","male"
"10.1101/053603","10.1038/srep31631","male"
"10.1101/136879","10.1523/jneurosci.1289-17.2017","male"
"10.1101/131227","10.1016/j.celrep.2017.10.069","female"
"10.1101/092668","10.1016/j.ajhg.2017.09.022","unknown"
"10.1101/127365","10.1016/j.neuroimage.2017.09.039","male"
"10.1101/134874","10.1016/j.chom.2017.08.010","male"
"10.1101/106815","10.1038/s41598-017-12104-0","male"
"10.1101/044396","10.1016/j.exer.2016.04.023","male"
"10.1101/021550","10.1098/rsif.2015.0881","male"
"10.1101/020255","10.1093/bioinformatics/btv546","male"
"10.1101/027904","10.1093/bioinformatics/btv646","male"
"10.1101/128751","10.1111/age.12595","female"
"10.1101/095547","10.1093/molbev/msx121","male"
"10.1101/128942","10.1038/s41598-017-08520-x","male"
"10.1101/125567","10.1371/journal.pgen.1006891","male"
"10.1101/132092","10.1371/journal.pone.0180372","female"
"10.1101/142117","10.1016/j.neuroscience.2017.05.032","male"
"10.1101/078329","10.1534/genetics.116.196436","male"
"10.1101/062935","10.7717/peerj.3081","male"
"10.1101/073692","10.1038/nmeth.4220","male"
"10.1101/019323","10.1371/journal.pgen.1005648","male"
"10.1101/085191","10.1186/s12859-017-1561-8","male"
"10.1101/072397","10.3389/fnhum.2017.00038","male"
"10.1101/059022","10.1101/gr.213587.116","male"
"10.1101/071829","10.1098/rsob.160272","female"
"10.1101/042424","10.1534/genetics.116.193474","male"
"10.1101/074260","10.1038/srep37237","male"
"10.1101/009027","10.1073/pnas.1503830112","male"
"10.1101/007278","10.1016/j.anbehav.2015.03.019","female"
"10.1101/031922","10.1086/688666","female"
"10.1101/055459","10.1016/j.ijid.2016.08.023","male"
"10.1101/030833","10.1111/evo.13016","female"
"10.1101/023804","10.1111/rssb.12206","male"
"10.1101/038844","10.1038/srep31519","male"
"10.1101/021741","10.1371/journal.pone.0157022","male"
"10.1101/150003","10.1038/s41598-017-16543-7","female"
"10.1101/043307","10.1091/mbc.e16-03-0158","female"
"10.1101/135590","10.1534/g3.117.300183","male"
"10.1101/019976","10.1111/pce.12702","female"
"10.1101/168518","10.15252/embr.201744559","male"
"10.1101/088427","10.1038/s41598-017-02744-7","male"
"10.1101/098103","10.1038/s41598-017-02942-3","female"
"10.1101/028332","10.1093/nar/gkw1109","female"
"10.1101/057729","10.7554/elife.20899","male"
"10.1101/123018","10.1371/journal.pone.0175309","female"
"10.1101/026732","10.1086/691330","male"
"10.1101/024737","10.1016/j.jtbi.2017.04.001","male"
"10.1101/110726","10.1038/srep45369","female"
"10.1101/085266","10.1038/nmicrobiol.2017.29","male"
"10.1101/018077","10.1093/gbe/evv122","male"
"10.1101/025411","10.1371/journal.pone.0141920","male"
"10.1101/027938","10.1371/journal.pgen.1005732","male"
"10.1101/019596","10.1371/journal.pone.0139516","female"
"10.1101/073239","10.1371/journal.pcbi.1005324","male"
"10.1101/053298","10.3389/fphys.2016.00398","male"
"10.1101/060152","10.3389/fnmol.2016.00082","female"
"10.1101/061390","10.1063/1.4966156","female"
"10.1101/179416","10.1128/msphere.00456-17","male"
"10.1101/017509","10.1093/bioinformatics/btw085","male"
"10.1101/050013","10.1074/jbc.m116.729194","female"
"10.1101/114785","10.12688/f1000research.11175.1","male"
"10.1101/174292","10.1073/pnas.1716002114","female"
