"PREPRINT_DOI","ARTICLE_DOI"
"10.1101/003467","10.1186/s13059-014-0547-3"
"10.1101/003541","10.1073/pnas.1405500111"
"10.1101/003533","10.1016/j.bbrc.2014.04.093"
"10.1101/003608","10.1371/journal.pone.0096303"
"10.1101/003640","10.1093/bioinformatics/btu390"
"10.1101/003657","10.1111/geb.12295"
"10.1101/003673","10.1371/journal.pcbi.1003803"
"10.1101/003749","10.1093/sysbio/syv007"
"10.1101/003772","10.1088/1478-3975/11/2/026005"
"10.1101/003731","10.1186/1471-2164-15-717"
"10.1101/003780","10.1007/s00285-014-0824-5"
"10.1101/003848","10.1093/molbev/msu220"
"10.1101/003954","10.1093/bioinformatics/btu756"
"10.1101/003871","10.1186/s12915-014-0063-7"
"10.1101/003939","10.1007/s13235-014-0106-2"
"10.1101/003962","10.1093/bioinformatics/btu713"
"10.1101/004002","10.1086/682022"
"10.1101/003921","10.1073/pnas.1407207111"
"10.1101/004010","10.1093/nar/gku672"
"10.1101/004119","10.1371/journal.pgen.1004842"
"10.1101/004101","10.1186/s13059-015-0645-x"
"10.1101/004135","10.1016/j.evolhumbehav.2014.04.003"
"10.1101/004127","10.1098/rsif.2013.1095"
"10.1101/004184","10.1111/2041-210x.12343"
"10.1101/004267","10.1186/s12862-015-0426-x"
"10.1101/004234","10.1534/genetics.114.168948"
"10.1101/004317","10.1093/nar/gku511"
"10.1101/004242","10.1186/s12859-014-0400-4"
"10.1101/004341","10.1073/pnas.1409572111"
"10.1101/004374","10.1093/sysbio/syv042"
"10.1101/004259","10.1371/journal.pone.0121607"
"10.1101/004424","10.1534/genetics.114.165571"
"10.1101/004457","10.1103/physrevlett.112.208102"
"10.1101/004465","10.1093/sysbio/syu057"
"10.1101/004416","10.1016/j.jebo.2015.09.002"
"10.1101/004473","10.1371/journal.pcbi.1004390"
"10.1101/004481","10.1007/s00239-014-9644-x"
"10.1101/004499","10.1093/nar/gku604"
"10.1101/004572","10.1186/s12862-015-0432-z"
"10.1101/004614","10.1186/1471-2164-15-494"
"10.1101/004648","10.3389/fimmu.2014.00326"
"10.1101/004713","10.1534/g3.114.014274"
"10.1101/004804","10.1016/j.neuron.2014.12.018"
"10.1101/004846","10.1016/j.celrep.2014.12.035"
"10.1101/004853","10.1371/journal.pgen.1004402"
"10.1101/004887","10.1080/17513758.2014.962631"
"10.1101/004895","10.1371/journal.pgen.1004913"
"10.1101/004911","10.1371/journal.pone.0170486"
"10.1101/004986","10.1007/s00442-014-3041-4"
"10.1101/005017","10.1371/journal.pgen.1004434"
"10.1101/004994","10.1371/journal.pone.0117138"
"10.1101/005041","10.7554/elife.03300.001"
"10.1101/005058","10.1007/s00412-014-0483-8"
"10.1101/005066","10.7554/elife.03542"
"10.1101/005082","10.1093/bioinformatics/btu563"
"10.1101/005090","10.1093/bioinformatics/btu562"
"10.1101/005207","10.1371/journal.pone.0107026"
"10.1101/005215","10.3791/53252"
"10.1101/005223","10.1016/j.evolhumbehav.2014.04.001"
"10.1101/005264","10.1093/sysbio/syv055"
"10.1101/005348","10.1038/ng.3015"
"10.1101/005363","10.1111/evo.12621"
"10.1101/005355","10.1186/s13068-014-0124-8"
"10.1101/005371","10.1186/gb-2014-15-6-r86"
"10.1101/005413","10.1093/nar/gkv137"
"10.1101/005462","10.1186/gb-2014-15-6-r88"
"10.1101/005470","10.7717/peerj.588"
"10.1101/005546","10.1186/1471-2105-16-s9-s2"
"10.1101/005553","10.1016/j.celrep.2015.09.056"
"10.1101/005512","10.1186/1471-2148-14-98"
"10.1101/005587","10.1186/s12859-015-0466-7"
"10.1101/005603","10.1038/ncomms5689"
"10.1101/005561","10.1016/j.mbs.2014.06.002"
"10.1101/005611","10.1371/journal.pone.0103207"
"10.1101/005652","10.1016/j.gde.2014.08.011"
"10.1101/005637","10.1186/s13073-014-0125-z"
"10.1101/005694","10.3389/fmicb.2014.00577"
"10.1101/005702","10.1038/srep04942"
"10.1101/005710","10.1093/hmg/ddu285"
"10.1101/005728","10.1002/ajmg.b.32311"
"10.1101/005793","10.1073/pnas.1410631112"
"10.1101/005751","10.1016/j.molp.2015.01.016"
"10.1101/005819","10.7717/peerj.900"
"10.1101/005835","10.1371/journal.ppat.1004325"
"10.1101/005892","10.1534/genetics.115.175075"
"10.1101/005777","10.1186/s12862-015-0400-7"
"10.1101/003889","10.1007/s11434-014-0499-8"
"10.1101/005934","10.1039/c4ra10326b"
"10.1101/006015","10.1093/bioinformatics/btv272"
"10.1101/006023","10.1093/gbe/evu166"
"10.1101/006056","10.1186/1471-2164-15-1074"
"10.1101/006031","10.1016/j.toxicon.2014.10.004"
"10.1101/006080","10.1186/s12867-014-0026-0"
"10.1101/006064","10.1038/ng.3216"
"10.1101/006122","10.1371/journal.pbio.1002112"
"10.1101/006130","10.7717/peerj.869"
"10.1101/006148","10.1186/s13073-014-0089-z"
"10.1101/006155","10.1371/journal.ppat.1004809"
"10.1101/006221","10.1101/gr.175893.114"
"10.1101/006171","10.1371/journal.pgen.1004663"
"10.1101/006270","10.7554/elife.03915"
"10.1101/006338","10.1186/s13059-014-0553-5"
"10.1101/006247","10.1186/s13059-015-0642-0"
"10.1101/006437","10.1534/genetics.114.167866"
"10.1101/006452","10.1534/genetics.114.166793"
"10.1101/006544","10.1093/comnet/cnv034"
"10.1101/006619","10.1523/jneurosci.2636-14.2015"
"10.1101/006577","10.1073/pnas.1419956112"
"10.1101/006585","10.1093/nar/gku864"
"10.1101/006627","10.1186/s13073-014-0090-6"
"10.1101/006635","10.1523/jneurosci.2767-14.2014"
"10.1101/006692","10.1186/s13059-015-0602-8"
"10.1101/006684","10.1093/molbev/msv007"
"10.1101/006700","10.1111/evo.12609"
"10.1101/006742","10.1101/gr.178756.114"
"10.1101/006817","10.1007/s10441-015-9257-9"
"10.1101/006825","10.1038/ng.3196"
"10.1101/005447","10.1038/ncomms6336"
"10.1101/006791","10.3389/fninf.2015.00007"
"10.1101/006866","10.1038/gene.2014.56"
"10.1101/006890","10.1098/rspb.2014.0296"
"10.1101/006924","10.1007/s00251-015-0830-9"
"10.1101/006940","10.1371/journal.pgen.1005630"
"10.1101/006973","10.1038/ng.3257"
"10.1101/006981","10.1371/journal.pgen.1004822"
"10.1101/007039","10.1098/rspb.2014.1739"
"10.1101/006999","10.1111/2041-210x.12254"
"10.1101/007005","10.1093/nar/gkv052"
"10.1101/007047","10.1093/gbe/evu197"
"10.1101/007054","10.1093/nar/gkv136"
"10.1101/007062","10.1186/s12896-015-0153-9"
"10.1101/007088","10.1093/bioinformatics/btv488"
"10.1101/007096","10.1098/rspb.2014.1025"
"10.1101/007187","10.1186/s12915-014-0087-z"
"10.1101/007203","10.7554/elife.03401"
"10.1101/007237","10.7554/elife.05856"
"10.1101/007278","10.1016/j.anbehav.2015.03.019"
"10.1101/007310","10.7554/elife.03703"
"10.1101/007336","10.1371/journal.pone.0113899"
"10.1101/007369","10.1093/sysbio/syv019"
"10.1101/007401","10.1093/bioinformatics/btu555"
"10.1101/007435","10.1093/comnet/cnv027"
"10.1101/007450","10.1523/jneurosci.2671-13.2014"
"10.1101/007476","10.1093/bioinformatics/btv317"
"10.1101/007500","10.1101/gr.182212.114"
"10.1101/007492","10.1093/bioinformatics/btu802"
"10.1101/007542","10.1371/journal.pcbi.1004493"
"10.1101/007567","10.1093/bioinformatics/btu590"
"10.1101/007518","10.1371/journal.pgen.1005041"
"10.1101/005850","10.1371/journal.pgen.1005068"
"10.1101/007609","10.3389/fgene.2014.00329"
"10.1101/007633","10.1186/s13073-015-0152-4"
"10.1101/007583","10.1371/journal.pone.0128026"
"10.1101/007591","10.1038/ncomms6195"
"10.1101/006411","10.1093/molbev/msu270"
"10.1101/007708","10.1098/rsbl.2014.0497"
"10.1101/007666","10.1093/bioinformatics/btv057"
"10.1101/007690","10.1534/genetics.114.173807"
"10.1101/007724","10.1371/journal.pone.0108490"
"10.1101/007732","10.1664/14-ra-020.1"
"10.1101/007765","10.1002/ece3.1596"
"10.1101/007757","10.1111/mec.12977"
"10.1101/007773","10.7717/peerj.597"
"10.1101/007781","10.1093/gbe/evv210"
"10.1101/006346","10.1016/j.neuron.2016.06.012"
"10.1101/007864","10.1534/g3.114.013979"
"10.1101/007849","10.1016/j.ympev.2015.08.026"
"10.1101/007898","10.1016/j.fsigen.2014.09.005"
"10.1101/007914","10.1642/auk-16-19.1"
"10.1101/007922","10.1073/pnas.1413877112"
"10.1101/007963","10.1093/bioinformatics/btv002"
"10.1101/008003","10.1038/nbt.3238"
"10.1101/008037","10.1038/sdata.2014.45"
"10.1101/008136","10.1371/journal.pgen.1005118"
"10.1101/008110","10.1093/bioinformatics/btv296"
"10.1101/008151","10.1007/s11692-014-9293-4"
"10.1101/008193","10.1111/evo.12546"
"10.1101/008219","10.1371/journal.pone.0121893"
"10.1101/008250","10.1073/pnas.1415895112/-/dcsupplemental"
"10.1101/008235","10.1371/journal.pgen.1005404"
"10.1101/008318","10.1007/s11538-014-0050-8"
"10.1101/008276","10.1002/gepi.21896"
"10.1101/008367","10.1534/genetics.116.192963"
"10.1101/008375","10.1093/nar/gkv717"
"10.1101/008409","10.1093/bioinformatics/btv209"
"10.1101/008417","10.1371/journal.pcbi.1004075"
"10.1101/008425","10.1016/j.ymeth.2014.11.020"
"10.1101/008458","10.1111/ecog.01701"
"10.1101/008466","10.1371/journal.pcbi.1004040"
"10.1101/008482","10.1038/ncomms6187"
"10.1101/008490","10.7554/elife.04729"
"10.1101/008516","10.1016/j.jinsphys.2014.05.025"
"10.1101/008524","10.1016/j.jinsphys.2014.07.001"
"10.1101/008540","10.1016/j.tpb.2015.03.005"
"10.1101/008565","10.1073/pnas.1500804112"
"10.1101/008581","10.1098/rsif.2015.0288"
"10.1101/008607","10.7554/elife.04525"
"10.1101/008623","10.1111/mec.13122"
"10.1101/008656","10.1371/journal.pone.0156576"
"10.1101/008730","10.1387/ijdb.140088mr"
"10.1101/008714","10.1016/j.jtbi.2015.01.019"
"10.1101/008672","10.1371/journal.pone.0131933"
"10.1101/008706","10.1038/sdata.2014.54"
"10.1101/008755","10.1016/j.ajhg.2015.03.004"
"10.1101/008771","10.1093/jnci/djw216"
"10.1101/008789","10.1371/journal.pgen.1005541"
"10.1101/008797","10.1371/journal.pgen.1005176"
"10.1101/008805","10.1534/genetics.112.145359"
"10.1101/008839","10.1016/j.jtbi.2014.09.018"
"10.1101/008821","10.1016/j.celrep.2016.01.008"
"10.1101/008854","10.1186/s12983-014-0093-6"
"10.1101/008920","10.3389/fncom.2015.00095"
"10.1101/008938","10.7554/elife.05003"
"10.1101/008946","10.1371/journal.pcbi.1004176"
"10.1101/008961","10.1016/j.neuroimage.2015.04.026"
"10.1101/009027","10.1073/pnas.1503830112"
"10.1101/009092","10.1111/mec.13137"
"10.1101/009084","10.1111/mec.13455"
"10.1101/009001","10.1186/s13059-015-0611-7"
"10.1101/008185","10.1186/s12864-016-2647-9"
"10.1101/009134","10.7717/peerj.642"
"10.1101/009209","10.1101/gr.184341.114"
"10.1101/007823","10.1038/ncomms8438"
"10.1101/009191","10.1093/molbev/msu394"
"10.1101/009308","10.1016/j.neuroimage.2015.12.022"
"10.1101/009365","10.1111/jeb.12592"
"10.1101/008508","10.1002/ece3.1802"
"10.1101/009407","10.1186/s13059-015-0610-8"
"10.1101/009423","10.1088/1478-3975/12/2/025002"
"10.1101/009431","10.1186/s13073-015-0177-8"
"10.1101/009464","10.1371/journal.pone.0113684"
"10.1101/009498","10.1534/genetics.115.174425"
"10.1101/009548","10.1093/bioinformatics/btv335"
"10.1101/009456","10.1371/journal.pone.0110579"
"10.1101/009571","10.1016/j.coviro.2014.08.001"
"10.1101/009613","10.1186/2047-217x-3-22"
"10.1101/009670","10.1093/gbe/evv087"
"10.1101/009696","10.1111/1755-0998.12280"
"10.1101/009720","10.1038/hdy.2015.88"
"10.1101/009795","10.1093/jhered/esv059"
"10.1101/009803","10.1086/682948"
"10.1101/009837","10.1093/gbe/evv203"
"10.1101/009845","10.1186/s13064-014-0028-0"
"10.1101/009829","10.1111/mec.13214"
"10.1101/009886","10.1534/genetics.115.174664"
"10.1101/009928","10.1093/gbe/evv083"
"10.1101/009936","10.1016/j.jmp.2016.10.007"
"10.1101/009951","10.1186/s13059-015-0806-y"
"10.1101/009969","10.1016/j.fsigen.2015.05.005"
"10.1101/009985","10.1371/journal.pone.0114674"
"10.1101/010017","10.1038/ejhg.2015.68"
"10.1101/010066","10.1038/nature14225"
"10.1101/010082","10.1088/1478-3975/12/4/045001"
"10.1101/010058","10.1371/journal.pone.0116955"
"10.1101/010116","10.1186/s13742-015-0046-9"
"10.1101/010132","10.1093/nar/gku1234"
"10.1101/010181","10.1016/j.baae.2015.07.004"
"10.1101/010231","10.1371/journal.pgen.1005406"
"10.1101/010207","10.1371/journal.pgen.1004845"
"10.1101/010314","10.1073/pnas.1418652112"
"10.1101/010215","10.1093/bioinformatics/btv280"
"10.1101/010355","10.1534/g3.114.016493"
"10.1101/010348","10.3389/fninf.2015.00008"
"10.1101/010363","10.1073/pnas.1418631112"
"10.1101/010413","10.1016/j.dci.2013.09.004"
"10.1101/010496","10.1093/sysbio/syu108"
"10.1101/010520","10.1111/2041-210x.12409"
"10.1101/010561","10.1038/srep10950"
"10.1101/010611","10.1371/journal.pcbi.1004647"
"10.1101/010629","10.1002/ajpa.22890"
"10.1101/010686","10.1093/bioinformatics/btv408"
"10.1101/010710","10.1186/s12864-015-1264-3"
"10.1101/010728","10.1073/pnas.1608278113"
"10.1101/010769","10.1093/gbe/evv062"
"10.1101/010785","10.1104/pp.15.00025"
"10.1101/010793","10.2983/035.034.0205"
"10.1101/009746","10.1098/rsif.2014.1067"
"10.1101/010777","10.1016/j.neuron.2016.04.014"
"10.1101/010876","10.1371/journal.pcbi.1004873"
"10.1101/010868","10.1002/jez.b.22629"
"10.1101/010918","10.1093/molbev/msv061"
"10.1101/010926","10.1186/s12864-015-1245-6"
"10.1101/010884","10.1038/ncomms6903"
"10.1101/010934","10.1534/genetics.115.184630"
"10.1101/010942","10.1093/molbev/msv093"
"10.1101/010751","10.1016/j.neuron.2015.03.028"
"10.1101/010900","10.1038/tpj.2015.5"
"10.1101/010959","10.1038/ng.3394"
"10.1101/010991","10.1038/srep09676"
"10.1101/011007","10.1111/jeb.12640"
"10.1101/011023","10.1371/journal.pgen.1004941"
"10.1101/011064","10.1186/s13637-016-0044-y"
"10.1101/011080","10.1016/j.mbs.2015.04.002"
"10.1101/011106","10.1007/s11295-015-0866-x"
"10.1101/011031","10.7554/elife.05457.001"
"10.1101/011122","10.1371/journal.pone.0117949"
"10.1101/011197","10.1093/nar/gku1327"
"10.1101/011072","10.1002/ece3.1529"
"10.1101/011213","10.1002/jez.b.22618"
"10.1101/011247","10.1016/j.tpb.2014.11.001"
"10.1101/011270","10.1371/journal.pone.0120758"
"10.1101/010975","10.7717/peerj.1054"
"10.1101/011288","10.1371/journal.pone.0121248"
"10.1101/011379","10.3897/dez.62.9000"
"10.1101/011361","10.12688/f1000research.6402.3"
"10.1101/011411","10.1038/srep14629"
"10.1101/011437","10.1534/genetics.114.172742"
"10.1101/011445","10.1038/srep13373"
"10.1101/011452","10.1093/sysbio/syw026"
"10.1101/011486","10.1128/mbio.00452-15"
"10.1101/011494","10.1093/molbev/msv184"
"10.1101/011502","10.1101/gr.187237.114"
"10.1101/011510","10.1093/bfgp/elv018"
"10.1101/011577","10.1186/s12862-015-0454-6"
"10.1101/011585","10.1093/pcp/pcu183"
"10.1101/011593","10.1111/mec.13154"
"10.1101/011601","10.1371/journal.pgen.1005451"
"10.1101/011676","10.3389/fpls.2015.00186"
"10.1101/011718","10.1093/nar/gkw158"
"10.1101/011684","10.1007/s12041-016-0655-9"
"10.1101/011692","10.1371/journal.pone.0131673"
"10.1101/011767","10.1371/journal.pcbi.1005515"
"10.1101/011759","10.1186/s12863-014-0131-6"
"10.1101/011775","10.1371/journal.pone.0142503"
"10.1101/011809","10.1038/ng.3464"
"10.1101/011817","10.1111/mec.13126"
"10.1101/011833","10.1371/journal.pcbi.1004416"
"10.1101/011791","10.1021/acs.jcim.5b00078"
"10.1101/011783","10.1371/journal.pone.0121802"
"10.1101/011841","10.1534/genetics.115.176834"
"10.1101/011858","10.1186/s12918-015-0253-0"
"10.1101/011866","10.1016/j.tpb.2015.06.003"
"10.1101/011882","10.1093/bioinformatics/btv530"
"10.1101/011890","10.1093/bioinformatics/btv569"
"10.1101/011916","10.1371/journal.pone.0119337"
"10.1101/011957","10.1371/journal.pcbi.1004389"
"10.1101/012013","10.1371/journal.pone.0138030"
"10.1101/012062","10.1016/j.cub.2014.12.002"
"10.1101/012070","10.1016/j.chom.2015.03.008"
"10.1101/011734","10.1103/physreve.92.022711"
"10.1101/011148","10.1371/journal.pbio.1002041"
"10.1101/012005","10.1002/gepi.21906"
"10.1101/012096","10.1093/sysbio/syw001"
"10.1101/012138","10.1111/ecog.01531"
"10.1101/012112","10.1038/srep10940"
"10.1101/012179","10.1038/nmeth.3505"
"10.1101/012195","10.1007/s10827-015-0574-4"
"10.1101/012211","10.1186/s12864-015-1540-2"
"10.1101/012369","10.1371/journal.pone.0163414"
"10.1101/012468","10.1186/s13059-015-0627-z"
"10.1101/012435","10.1186/s12862-015-0462-6"
"10.1101/012492","10.1103/physreve.91.052711"
"10.1101/012526","10.1371/journal.pone.0155740"
"10.1101/012500","10.1111/mec.13215"
"10.1101/011569","10.1371/journal.pcbi.1004259"
"10.1101/012534","10.1109/tcbb.2015.2465952"
"10.1101/012542","10.1371/journal.pone.0132628"
"10.1101/012567","10.3389/fimmu.2015.00035"
"10.1101/012609","10.1371/journal.pone.0161997"
"10.1101/012682","10.1038/ng.3244"
"10.1101/012716","10.1127/phyto/2017/0146"
"10.1101/012757","10.1534/g3.115.019497"
"10.1101/012807","10.1111/evo.12645"
"10.1101/012823","10.1214/15-aoas871"
"10.1101/012849","10.1016/j.celrep.2015.09.032"
"10.1101/012856","10.1186/s12862-017-1096-7"
"10.1101/012864","10.1534/genetics.115.178384"
"10.1101/012872","10.1186/s12864-015-1495-3"
"10.1101/012799","10.1186/s13059-015-0720-3"
"10.1101/012922","10.1016/j.neuroimage.2015.03.057"
"10.1101/012914","10.1101/gr.188839.114"
"10.1101/012906","10.1186/s12864-015-1650-x"
"10.1101/012989","10.1016/j.cortex.2015.06.030"
"10.1101/013011","10.12688/f1000research.6157.2"
"10.1101/013003","10.1073/pnas.1424184112"
"10.1101/013029","10.1038/srep09597"
"10.1101/012971","10.1534/g3.115.019299"
"10.1101/013037","10.1534/g3.115.017046"
"10.1101/013052","10.1534/genetics.114.173815"
"10.1101/013078","10.1371/journal.pone.0125337"
"10.1101/013110","10.1038/nmeth.3339"
"10.1101/013128","10.1016/j.ibmb.2015.04.004"
"10.1101/013144","10.1103/physrevlett.114.168102"
"10.1101/013151","10.1534/g3.114.015784"
"10.1101/013201","10.1093/nar/gkv411"
"10.1101/013227","10.1038/ng.3710"
"10.1101/013250","10.1101/gr.188516.114"
"10.1101/013268","10.1371/journal.pone.0119337"
"10.1101/013276","10.1016/j.celrep.2015.03.009"
"10.1101/013284","10.1038/hdy.2015.72"
"10.1101/013318","10.1371/currents.outbreaks.c7fd7946ba606c982668a96bcba43c90"
"10.1101/012443","10.1038/nn.4545"
"10.1101/013342","10.1093/nar/gkv636"
"10.1101/013359","10.7717/peerj.911"
"10.1101/012930","10.1107/s1399004715011426"
"10.1101/013375","10.1371/journal.pcbi.1004266"
"10.1101/013425","10.1093/bioinformatics/btv311"
"10.1101/013417","10.1111/ele.12449"
"10.1101/013805","10.1371/journal.pone.0145857"
"10.1101/013797","10.1109/tbcas.2015.2461135"
"10.1101/013623","10.1186/s12859-015-0590-4"
"10.1101/013474","10.1371/journal.pgen.1005703"
"10.1101/013698","10.1186/s13073-015-0167-x"
"10.1101/013490","10.1101/gr.191395.115"
"10.1101/013631","10.1371/journal.pgen.1005216"
"10.1101/013847","10.1371/journal.pcbi.1004511"
"10.1101/013649","10.1101/gr.183749.114"
"10.1101/013607","10.1534/genetics.115.178327"
"10.1101/013813","10.1038/ismej.2015.106"
"10.1101/013656","10.1016/j.ajhg.2015.01.003"
"10.1101/013722","10.1073/pnas.1500758112"
"10.1101/013482","10.1534/g3.115.017616"
"10.1101/013441","10.1111/ele.12443"
"10.1101/013680","10.1007/s10530-015-0849-8"
"10.1101/013706","10.1152/physiolgenomics.00118.2015"
"10.1101/013755","10.1093/molbev/msv331"
"10.1101/013573","10.1111/evo.12572"
"10.1101/013839","10.1371/journal.pone.0142147"
"10.1101/013771","10.1371/journal.pone.0128036"
"10.1101/013862","10.1093/bioinformatics/btv276"
"10.1101/013920","10.1093/bioinformatics/btv222"
"10.1101/013938","10.3389/fmicb.2015.00703"
"10.1101/013987","10.1111/evo.12633"
"10.1101/013995","10.1186/1471-2105-16-s18-s6"
"10.1101/014027","10.1534/g3.114.015073"
