"PREPRINT_DOI","ARTICLE_DOI","IS_OA","JOURNAL_IS_OA"
"10.1101/142513","10.1523/jneurosci.1436-17.2017",TRUE,FALSE
"10.1101/108431","10.1038/s41467-017-01109-y",TRUE,TRUE
"10.1101/086934","10.1016/j.cub.2017.09.044",TRUE,FALSE
"10.1101/156547","10.1158/0008-5472.can-17-0835",TRUE,FALSE
"10.1101/163048","10.1186/s12862-017-1060-6",TRUE,TRUE
"10.1101/111542","10.1083/jcb.201703103",TRUE,FALSE
"10.1101/112060","10.7717/peerj.3530",TRUE,TRUE
"10.1101/082602","10.7554/elife.23382",TRUE,TRUE
"10.1101/087890","10.1038/s41598-017-02547-w",TRUE,TRUE
"10.1101/004036","10.1111/bij.12701",TRUE,FALSE
"10.1101/086579","10.1186/s12859-017-1541-z",TRUE,TRUE
"10.1101/030916","10.3389/fmars.2016.00006",TRUE,TRUE
"10.1101/005850","10.1371/journal.pgen.1005068",TRUE,TRUE
"10.1101/030973","10.1093/sysbio/syw041",TRUE,FALSE
"10.1101/042499","10.3390/s16111879",TRUE,TRUE
"10.1101/058859","10.1186/s12936-016-1537-6",TRUE,TRUE
"10.1101/183459","10.3791/56803",TRUE,FALSE
"10.1101/006221","10.1101/gr.175893.114",TRUE,FALSE
"10.1101/052746","10.1242/dev.139634",TRUE,FALSE
"10.1101/037226","10.1101/gr.200931.115",TRUE,FALSE
"10.1101/038588","10.1371/journal.pntd.0004726",TRUE,TRUE
"10.1101/188169","10.1021/acs.analchem.7b04335",FALSE,FALSE
"10.1101/153932","10.18632/oncotarget.21879",TRUE,FALSE
"10.1101/132696","10.1371/journal.pgen.1006997",TRUE,TRUE
"10.1101/034652","10.1534/g3.115.025585",TRUE,TRUE
"10.1101/025940","10.1098/rstb.2015.0219",TRUE,FALSE
"10.1101/100933","10.1103/physreve.96.022303",TRUE,FALSE
"10.1101/058693","10.1152/jn.00183.2017",TRUE,FALSE
"10.1101/067512","10.1093/gigascience/giw008",TRUE,TRUE
"10.1101/052076","10.1016/j.ccell.2017.06.003",TRUE,FALSE
"10.1101/095372","10.1534/g3.117.043893",TRUE,TRUE
"10.1101/094177","10.1186/s12859-017-1774-x",TRUE,TRUE
"10.1101/103077","10.1152/ajprenal.00067.2017",FALSE,FALSE
"10.1101/051953","10.1093/molbev/msw227",TRUE,FALSE
"10.1101/052068","10.1093/bioinformatics/btw577",TRUE,FALSE
"10.1101/020842","10.1186/s13059-015-0844-5",TRUE,TRUE
"10.1101/069070","10.1371/journal.pgen.1006546",TRUE,TRUE
"10.1101/008755","10.1016/j.ajhg.2015.03.004",TRUE,FALSE
"10.1101/036434","10.1073/pnas.1600374113",TRUE,FALSE
"10.1101/136556","10.1128/msphere.00511-17",TRUE,TRUE
"10.1101/193326","10.1093/nar/gkx1042",TRUE,TRUE
"10.1101/080168","10.1038/s41396-017-0001-0",TRUE,FALSE
"10.1101/152736","10.1126/scisignal.aan4893",TRUE,FALSE
"10.1101/115410","10.1186/s13059-017-1341-9",TRUE,TRUE
"10.1101/108894","10.1371/journal.pone.0185146",TRUE,TRUE
"10.1101/117093","10.1371/journal.pcbi.1005731",TRUE,TRUE
"10.1101/154997","10.1091/mbc.e17-06-0423",TRUE,FALSE
"10.1101/036798","10.1038/srep25474",TRUE,TRUE
"10.1101/036178","10.1371/journal.pgen.1005877",TRUE,TRUE
"10.1101/027581","10.1016/j.jtbi.2016.02.019",TRUE,FALSE
"10.1101/112979","10.1186/s12864-017-3943-8",TRUE,TRUE
"10.1101/069708","10.1534/genetics.116.195784",TRUE,FALSE
"10.1101/080465","10.1016/j.bpj.2017.04.050",TRUE,FALSE
"10.1101/058214","10.1002/gepi.22050",FALSE,FALSE
"10.1101/105999","10.1186/s13148-017-0334-6",TRUE,TRUE
"10.1101/076315","10.1016/j.cub.2017.02.030",TRUE,FALSE
"10.1101/011379","10.3897/dez.62.9000",TRUE,TRUE
"10.1101/026823","10.1186/s12864-015-2239-0",TRUE,TRUE
"10.1101/018333","10.1093/bioinformatics/btv383",TRUE,FALSE
"10.1101/023259","10.1371/journal.pone.0137765",TRUE,TRUE
"10.1101/026229","10.1371/journal.pone.0138894",TRUE,TRUE
"10.1101/017368","10.1111/ddi.12369",TRUE,FALSE
"10.1101/046359","10.1016/j.neuroimage.2017.02.008",TRUE,FALSE
"10.1101/067116","10.3389/fnins.2016.00616",TRUE,TRUE
"10.1101/012740","10.1111/evo.12646",FALSE,FALSE
"10.1101/036582","10.1016/j.ajpath.2016.04.016",TRUE,FALSE
"10.1101/004895","10.1371/journal.pgen.1004913",TRUE,TRUE
"10.1101/156596","10.7554/elife.29005",TRUE,TRUE
"10.1101/063396","10.1038/srep31561",TRUE,TRUE
"10.1101/027359","10.1073/pnas.1520213113",TRUE,FALSE
"10.1101/004614","10.1186/1471-2164-15-494",TRUE,TRUE
"10.1101/181982","10.1371/journal.pone.0190075",TRUE,TRUE
"10.1101/148577","10.1073/pnas.1711229114",TRUE,FALSE
"10.1101/133843","10.1371/journal.pone.0188181",TRUE,TRUE
"10.1101/075341","10.3389/fncel.2017.00289",TRUE,TRUE
"10.1101/091967","10.1002/ecs2.1948",TRUE,TRUE
"10.1101/150862","10.1534/genetics.117.300179",TRUE,FALSE
"10.1101/031229","10.1038/ncomms11257",TRUE,TRUE
"10.1101/072710","10.1038/s41598-017-08155-y",TRUE,TRUE
"10.1101/077545","10.1109/tbme.2016.2627402",FALSE,FALSE
"10.1101/082420","10.1152/jn.00834.2016",TRUE,FALSE
"10.1101/095877","10.1016/j.ympev.2017.08.003",FALSE,FALSE
"10.1101/061911","10.1534/g3.117.041038",TRUE,TRUE
"10.1101/120154","10.1186/s12864-017-3918-9",TRUE,TRUE
"10.1101/101097","10.1016/j.clinph.2017.04.005",FALSE,FALSE
"10.1101/078675","10.1002/ece3.3012",TRUE,TRUE
"10.1101/074872","10.7554/elife.21476",TRUE,TRUE
"10.1101/101444","10.1016/j.bpj.2017.01.032",TRUE,FALSE
"10.1101/020529","10.1534/g3.115.021659",TRUE,TRUE
"10.1101/014027","10.1534/g3.114.015073",TRUE,TRUE
"10.1101/097303","10.1371/journal.pgen.1006582",TRUE,TRUE
"10.1101/045963","10.7554/elife.20515",TRUE,TRUE
"10.1101/055863","10.1038/nmeth.4108",TRUE,FALSE
"10.1101/013623","10.1186/s12859-015-0590-4",TRUE,TRUE
"10.1101/036400","10.1371/journal.pone.0162098",TRUE,TRUE
"10.1101/050229","10.1038/srep33101",TRUE,TRUE
"10.1101/036947","10.1186/s13073-016-0339-3",TRUE,TRUE
"10.1101/028241","10.1038/gim.2015.161",TRUE,FALSE
"10.1101/016006","10.1038/nature17961",TRUE,FALSE
"10.1101/000315","10.1371/journal.pone.0087782",TRUE,TRUE
"10.1101/105338","10.1093/ije/dyx207",TRUE,FALSE
"10.1101/148346","10.1016/j.bpj.2017.09.024",TRUE,FALSE
"10.1101/109108","10.1126/sciadv.1700606",TRUE,TRUE
"10.1101/169748","10.1186/s12864-017-4351-9",TRUE,TRUE
"10.1101/147975","10.7554/elife.29061",TRUE,TRUE
"10.1101/152389","10.1016/j.neuroimage.2017.10.049",FALSE,FALSE
"10.1101/095638","10.1093/bioinformatics/btx408",TRUE,FALSE
"10.1101/117044","10.1016/j.anbehav.2017.08.029",TRUE,FALSE
"10.1101/025551","10.1371/journal.pone.0151651",TRUE,TRUE
"10.1101/027771","10.1038/ng.3529",TRUE,FALSE
"10.1101/015214","10.1371/journal.pcbi.1004765",TRUE,TRUE
"10.1101/099481","10.1007/s10453-017-9497-z",FALSE,FALSE
"10.1101/079053","10.1091/mbc.e16-10-0695",TRUE,FALSE
"10.1101/075820","10.1021/acs.jpcb.6b09402",TRUE,FALSE
"10.1101/044602","10.1177/0271678x16661201",TRUE,FALSE
"10.1101/103176","10.1371/journal.pgen.1006721",TRUE,TRUE
"10.1101/135947","10.1073/pnas.1701884114",TRUE,FALSE
"10.1101/051888","10.1038/s41598-017-01005-x",TRUE,TRUE
"10.1101/077883","10.1371/journal.pone.0172802",TRUE,TRUE
"10.1101/074690","10.1038/srep44374",TRUE,TRUE
"10.1101/107888","10.1002/hbm.23574",FALSE,FALSE
"10.1101/020214","10.1371/journal.pone.0139047",TRUE,TRUE
"10.1101/069880","10.1016/j.celrep.2016.12.080",TRUE,TRUE
"10.1101/030908","10.1371/journal.pone.0165899",TRUE,TRUE
"10.1101/026351","10.1093/bioinformatics/btw069",TRUE,FALSE
"10.1101/063222","10.1099/mic.0.000352",TRUE,FALSE
"10.1101/042176","10.1038/ncomms13311",TRUE,TRUE
"10.1101/123877","10.1093/bioinformatics/btx481",TRUE,FALSE
"10.1101/022301","10.1093/bioinformatics/btv722",TRUE,FALSE
"10.1101/024653","10.3389/fncom.2016.00048",TRUE,TRUE
"10.1101/112235","10.1038/srep46398",TRUE,TRUE
"10.1101/035519","10.1186/s12918-017-0488-z",TRUE,TRUE
"10.1101/169912","10.1371/journal.pgen.1007103",TRUE,TRUE
"10.1101/102517","10.1111/nph.14739",FALSE,FALSE
"10.1101/129023","10.1186/s12864-017-4217-1",TRUE,TRUE
"10.1101/179572","10.1016/j.phytochem.2017.10.004",TRUE,FALSE
"10.1101/026203","10.1186/s13062-016-0128-3",TRUE,TRUE
"10.1101/032276","10.1371/journal.pone.0149035",TRUE,TRUE
"10.1101/020990","10.1038/srep22311",TRUE,TRUE
"10.1101/067561","10.1093/gigascience/gix032",TRUE,TRUE
"10.1101/063305","10.1038/s41598-017-04160-3",TRUE,TRUE
"10.1101/106302","10.1111/nph.14629",TRUE,FALSE
"10.1101/132704","10.1016/j.nicl.2017.06.013",TRUE,TRUE
"10.1101/087122","10.1128/iai.00948-16",TRUE,FALSE
"10.1101/069815","10.1101/gr.214767.116",TRUE,FALSE
"10.1101/084285","10.1007/s00424-017-1989-8",TRUE,FALSE
"10.1101/000265","10.1093/nar/gkw1148",TRUE,TRUE
"10.1101/042028","10.1111/nph.14403",TRUE,FALSE
"10.1101/043364","10.1107/s2059798316007907",TRUE,FALSE
"10.1101/049767","10.1371/journal.pcbi.1005066",TRUE,TRUE
"10.1101/053546","10.1038/srep36164",TRUE,TRUE
"10.1101/050062","10.7717/peerj.2501",TRUE,TRUE
"10.1101/034520","10.1371/journal.pone.0165561",TRUE,TRUE
"10.1101/044495","10.1371/journal.pcbi.1005124",TRUE,TRUE
"10.1101/050252","10.1111/evo.13043",FALSE,FALSE
"10.1101/001966","10.1261/rna.044321.114",TRUE,FALSE
"10.1101/044966","10.1371/journal.pone.0155743",TRUE,TRUE
"10.1101/039578","10.1371/journal.pone.0156293",TRUE,TRUE
"10.1101/192104","10.1073/pnas.1716483114",TRUE,FALSE
"10.1101/143586","10.1534/genetics.117.300273",TRUE,FALSE
"10.1101/164749","10.1371/journal.pone.0187308",TRUE,TRUE
"10.1101/171629","10.1016/j.celrep.2017.10.035",TRUE,TRUE
"10.1101/014738","10.1038/nmeth.3541",TRUE,FALSE
"10.1101/134122","10.1038/s41598-017-09800-2",TRUE,TRUE
"10.1101/130054","10.7554/elife.28069",TRUE,TRUE
"10.1101/085043","10.1093/nar/gkx103",TRUE,TRUE
"10.1101/089797","10.1128/aem.03391-16",TRUE,FALSE
"10.1101/088781","10.1242/jeb.153593",TRUE,FALSE
"10.1101/002337","10.1007/s00248-014-0518-y",FALSE,FALSE
"10.1101/067454","10.1016/j.ajhg.2016.11.012",TRUE,FALSE
"10.1101/044149","10.1073/pnas.1612820113",TRUE,FALSE
"10.1101/035329","10.1016/j.ajhg.2016.07.020",TRUE,FALSE
"10.1101/149344","10.7554/elife.29550",TRUE,TRUE
"10.1101/033878","10.1007/s00429-016-1277-y",FALSE,FALSE
"10.1101/031179","10.3835/plantgenome2015.11.0118",TRUE,TRUE
"10.1101/024513","10.1021/acs.jcim.5b00632",TRUE,FALSE
"10.1101/046003","10.1371/journal.pgen.1006074",TRUE,TRUE
"10.1101/005702","10.1038/srep04942",TRUE,TRUE
"10.1101/055418","10.12688/wellcomeopenres.9896.1",TRUE,TRUE
"10.1101/115451","10.1186/s13073-017-0495-0",TRUE,TRUE
"10.1101/102210","10.1073/pnas.1703379114",TRUE,FALSE
"10.1101/091595","10.1186/s13059-017-1311-2",TRUE,TRUE
"10.1101/076067","10.1038/s41598-017-09334-7",TRUE,TRUE
"10.1101/115121","10.1371/journal.pone.0184405",TRUE,TRUE
"10.1101/068528","10.1093/jhered/esx058",TRUE,FALSE
"10.1101/028175","10.1371/journal.pcbi.1004845",TRUE,TRUE
"10.1101/106039","10.1371/journal.pone.0179726",TRUE,TRUE
"10.1101/161265","10.1371/journal.pone.0181941",TRUE,TRUE
"10.1101/114926","10.7554/elife.23249",TRUE,TRUE
"10.1101/075697","10.1152/jn.00880.2016",TRUE,FALSE
"10.1101/053918","10.1098/rspb.2017.0200",TRUE,FALSE
"10.1101/047704","10.14814/phy2.13218",TRUE,TRUE
"10.1101/057315","10.1111/1365-2664.12867",FALSE,FALSE
"10.1101/084871","10.1186/s12864-017-3527-7",TRUE,TRUE
"10.1101/065961","10.1016/j.neuroimage.2016.11.001",TRUE,FALSE
"10.1101/059287","10.15252/msb.20167137",TRUE,TRUE
"10.1101/048371","10.1038/ncomms12778",TRUE,TRUE
"10.1101/178533","10.1002/hbm.23917",TRUE,FALSE
"10.1101/179804","10.1373/clinchem.2017.278101",TRUE,FALSE
"10.1101/057760","10.1099/mgen.0.000076",TRUE,TRUE
"10.1101/001552","10.1038/nature13673",TRUE,FALSE
"10.1101/007708","10.1098/rsbl.2014.0497",TRUE,FALSE
"10.1101/089821","10.1093/dnares/dsx023",TRUE,TRUE
"10.1101/192963","10.1371/journal.pone.0187259",TRUE,TRUE
"10.1101/138511","10.1523/eneuro.0207-17.2017",TRUE,TRUE
"10.1101/134387","10.1242/jeb.162255",TRUE,FALSE
"10.1101/184978","10.1016/j.bandl.2017.10.008",TRUE,FALSE
"10.1101/138883","10.7717/peerj.3837",TRUE,TRUE
"10.1101/116780","10.1016/j.jtbi.2017.09.017",FALSE,FALSE
"10.1101/126169","10.1186/s12864-017-4091-x",TRUE,TRUE
"10.1101/026922","10.1038/srep25373",TRUE,TRUE
"10.1101/041780","10.7554/elife.12727",TRUE,TRUE
"10.1101/063719","10.1038/s41467-017-00740-z",TRUE,TRUE
"10.1101/109207","10.1038/nmeth.4391",TRUE,FALSE
"10.1101/130112","10.1103/physreve.96.012406",TRUE,FALSE
"10.1101/131433","10.1016/j.bandc.2017.08.004",FALSE,FALSE
"10.1101/118539","10.1007/s00251-017-1023-5",FALSE,FALSE
"10.1101/059410","10.1038/s41598-017-08877-z",TRUE,TRUE
"10.1101/134668","10.1007/s00122-017-2934-0",FALSE,FALSE
"10.1101/121996","10.1371/journal.pone.0180047",TRUE,TRUE
"10.1101/063206","10.1186/s12859-017-1678-9",TRUE,TRUE
"10.1101/093161","10.1093/bioinformatics/btw791",TRUE,FALSE
"10.1101/016881","10.1534/genetics.115.178160",TRUE,FALSE
"10.1101/020586","10.1371/journal.pgen.1005718",TRUE,TRUE
"10.1101/023531","10.1371/journal.pcbi.1004684",TRUE,TRUE
"10.1101/100198","10.1101/gad.293910.116",TRUE,FALSE
"10.1101/093609","10.1111/jeb.13045",FALSE,FALSE
"10.1101/003780","10.1007/s00285-014-0824-5",TRUE,FALSE
"10.1101/021378","10.1073/pnas.1418745112",TRUE,FALSE
"10.1101/008524","10.1016/j.jinsphys.2014.07.001",FALSE,FALSE
"10.1101/120261","10.1093/bioinformatics/btx587",TRUE,FALSE
"10.1101/193847","10.7554/elife.31343",TRUE,TRUE
"10.1101/003376","10.1371/journal.pcbi.1003757",TRUE,TRUE
"10.1101/023788","10.1111/mec.13643",FALSE,FALSE
"10.1101/014043","10.1186/s13742-015-0080-7",TRUE,TRUE
"10.1101/163873","10.1111/nph.14956",TRUE,FALSE
"10.1101/172494","10.1073/pnas.1713863114",TRUE,FALSE
"10.1101/126334","10.15252/emmm.201707882",TRUE,TRUE
"10.1101/028027","10.3389/fnsys.2016.00026",TRUE,TRUE
"10.1101/031062","10.1038/hdy.2015.104",TRUE,FALSE
"10.1101/026948","10.1038/nmeth.3734",TRUE,FALSE
"10.1101/019273","10.1007/s10955-015-1444-1",TRUE,FALSE
"10.1101/025676","10.1038/nmeth.3800",TRUE,FALSE
"10.1101/141788","10.7554/elife.28862",TRUE,TRUE
"10.1101/100099","10.1098/rsif.2017.0073",TRUE,FALSE
"10.1101/069062","10.1017/s0033291717000769",FALSE,FALSE
"10.1101/066829","10.1093/molbev/msw224",TRUE,FALSE
"10.1101/103408","10.1016/j.molmet.2017.02.007",TRUE,TRUE
"10.1101/024695","10.1038/nature16062",FALSE,FALSE
"10.1101/074286","10.1016/j.neuropsychologia.2017.02.006",TRUE,FALSE
"10.1101/072967","10.1016/j.ajhg.2017.01.031",TRUE,FALSE
"10.1101/059790","10.1371/journal.pbio.2000234",TRUE,TRUE
"10.1101/082255","10.1038/nmeth.4148",FALSE,FALSE
"10.1101/013771","10.1371/journal.pone.0128036",TRUE,TRUE
"10.1101/040600","10.1093/gbe/evw176",TRUE,TRUE
"10.1101/186072","10.1523/jneurosci.2460-17.2017",FALSE,FALSE
"10.1101/158576","10.1038/ismej.2017.172",TRUE,FALSE
"10.1101/002279","10.1371/journal.pone.0110808",TRUE,TRUE
"10.1101/041749","10.1523/jneurosci.0659-16.2016",TRUE,FALSE
"10.1101/020818","10.1371/journal.pone.0159195",TRUE,TRUE
"10.1101/157008","10.3389/fmars.2017.00403",TRUE,TRUE
"10.1101/179119","10.1111/tpj.13765",TRUE,FALSE
"10.1101/142950","10.1038/s41598-017-17178-4",TRUE,TRUE
"10.1101/128827","10.1242/bio.026930",TRUE,TRUE
"10.1101/167478","10.1038/s41598-017-15520-4",TRUE,TRUE
"10.1101/133025","10.1523/jneurosci.1222-17.2017",TRUE,FALSE
"10.1101/082024","10.1038/ng.3954",TRUE,FALSE
"10.1101/024034","10.1038/nmeth.3869",TRUE,FALSE
"10.1101/033514","10.1073/pnas.1522921113",TRUE,FALSE
"10.1101/024414","10.7717/peerj.1845",TRUE,TRUE
"10.1101/001297","10.1371/journal.pone.0085203",TRUE,TRUE
"10.1101/133686","10.7554/elife.28387",TRUE,TRUE
"10.1101/123414","10.1016/j.csbj.2017.08.002",TRUE,TRUE
"10.1101/061267","10.1002/hbm.23803",TRUE,FALSE
"10.1101/080606","10.1093/molbev/msx070",TRUE,FALSE
"10.1101/106385","10.1186/s12915-017-0399-x",TRUE,TRUE
"10.1101/119560","10.1111/jeb.13131",TRUE,FALSE
"10.1101/105916","10.1016/j.cub.2017.04.058",TRUE,FALSE
"10.1101/080820","10.1186/s13073-017-0426-0",TRUE,TRUE
"10.1101/056598","10.1093/bioinformatics/btw757",TRUE,FALSE
"10.1101/061754","10.1037/com0000069",TRUE,FALSE
"10.1101/091322","10.1371/journal.pcbi.1005350",TRUE,TRUE
"10.1101/025890","10.7554/elife.11182",TRUE,TRUE
"10.1101/011858","10.1186/s12918-015-0253-0",TRUE,TRUE
"10.1101/017863","10.3389/fncir.2015.00039",TRUE,TRUE
"10.1101/067876","10.15252/embj.201696038",TRUE,FALSE
"10.1101/037010","10.1021/acssynbio.6b00072",TRUE,FALSE
"10.1101/001677","10.1111/oik.01719",FALSE,FALSE
"10.1101/001347","10.1093/molbev/msu269",TRUE,FALSE
"10.1101/046839","10.1007/s11240-016-1063-9",FALSE,FALSE
"10.1101/028837","10.1534/genetics.115.183665",TRUE,FALSE
"10.1101/037101","10.1093/bioinformatics/btw276",TRUE,FALSE
"10.1101/037671","10.1186/s12859-016-1140-4",TRUE,TRUE
"10.1101/045856","10.1073/pnas.1605707113",TRUE,FALSE
"10.1101/115568","10.1038/s41437-017-0003-8",TRUE,FALSE
"10.1101/174581","10.1534/g3.117.300146",TRUE,TRUE
"10.1101/146266","10.1128/msphere.00267-17",TRUE,TRUE
"10.1101/160218","10.1002/ajpa.23345",FALSE,FALSE
"10.1101/167767","10.1038/ng.3967",TRUE,FALSE
"10.1101/152447","10.1186/s12859-017-1929-9",TRUE,TRUE
"10.1101/144725","10.1186/s12967-017-1305-6",TRUE,TRUE
"10.1101/122119","10.1111/pce.13019",FALSE,FALSE
"10.1101/145011","10.1080/15592324.2017.1346767",TRUE,FALSE
"10.1101/033340","10.3389/fmicb.2016.00301",TRUE,TRUE
"10.1101/153262","10.1038/nature23467",FALSE,FALSE
"10.1101/081620","10.1101/gr.217216.116",TRUE,FALSE
"10.1101/112284","10.3389/fncir.2017.00056",TRUE,TRUE
