"PREPRINT_DOI","PREPRINT_POSTED_DATE","CITING_ARTICLE_DOI","CITING_ARTICLE_CREATED_DATE"
"10.1101/061788",2016-07-01,"10.1155/2017/7962836","2017-12-31"
"10.1101/075457",2016-09-16,"10.1093/gigascience/gix099","2017-10-18"
"10.1101/065821",2016-07-25,"10.1038/s41525-017-0025-4","2017-06-27"
"10.1101/013581",2015-01-16,"10.1002/prot.25403","2017-10-17"
"10.1101/123349",2017-04-09,"10.1002/prot.25403","2017-10-17"
"10.1101/011650",2014-11-19,"10.1093/annonc/mdx545","2017-09-25"
"10.1101/127209",2017-05-04,"10.1093/gbe/evx206","2017-09-27"
"10.1101/051813",2016-05-05,"10.1093/bioinformatics/btx520","2017-08-14"
"10.1101/087775",2016-11-15,"10.1093/bioinformatics/btx508","2017-08-25"
"10.1101/099010",2017-01-06,"10.1093/gigascience/gix048","2017-06-27"
"10.1101/053033",2016-05-12,"10.1093/gigascience/gix092","2017-10-03"
"10.1101/152702",2017-06-20,"10.1093/gigascience/gix092","2017-10-03"
"10.1101/127043",2017-04-13,"10.1093/gigascience/gix090","2017-09-18"
"10.1101/044412",2016-03-22,"10.1111/pcn.12611","2017-10-23"
"10.1101/237321",2017-12-21,"10.1111/pcn.12611","2017-10-23"
"10.1101/173062",2017-08-07,"10.1111/pcn.12611","2017-10-23"
"10.1101/133462",2017-05-02,"10.1089/omi.2017.0091","2017-09-05"
"10.1101/201319",2017-10-11,"10.1242/jeb.162024","2017-12-08"
"10.1101/129130",2017-04-24,"10.3389/fnbeh.2017.00236","2017-12-11"
"10.1101/196774",2017-10-01,"10.1128/aem.02224-17","2017-12-14"
"10.1101/079681",2016-10-07,"10.1093/bioinformatics/btx514","2017-08-09"
"10.1101/086744",2016-11-14,"10.1093/bioinformatics/btx462","2017-07-20"
"10.1101/102756",2017-01-25,"10.1146/annurev-physiol-021317-121143","2017-11-09"
"10.1101/116749",2017-03-14,"10.1109/iccv.2017.245","2017-12-25"
"10.1101/062182",2016-07-05,"10.1177/1179069517703354","2017-05-01"
"10.1101/102756",2017-01-25,"10.1152/ajprenal.00195.2017","2017-11-29"
"10.1101/081687",2016-12-08,"10.1080/20013078.2016.1272832","2017-02-01"
"10.1101/081018",2016-10-14,"10.1109/iccv.2017.83","2017-12-25"
"10.1101/084020",2016-10-27,"10.1002/wcms.1343","2017-10-06"
"10.1101/086272",2016-11-07,"10.1002/wcms.1343","2017-10-06"
"10.1101/085456",2016-11-03,"10.1111/2041-210x.12897","2017-09-18"
"10.1101/169508",2017-07-28,"10.3389/fnmol.2017.00412","2017-12-12"
"10.1101/192120",2017-09-21,"10.1002/prot.25407","2017-10-26"
"10.1101/049759",2016-04-22,"10.1142/9789813230309_0014","2017-10-31"
"10.1101/005165",2014-05-14,"10.1111/jipb.12601","2017-10-04"
"10.1101/023796",2015-08-03,"10.1016/j.bbagen.2017.11.020","2017-12-06"
"10.1101/050856",2016-05-04,"10.1093/cercor/bhw389","2016-12-01"
"10.1101/058156",2016-06-10,"10.1242/dmm.031146","2017-11-21"
"10.1101/099598",2017-01-10,"10.1083/jcb.201705190","2017-12-19"
"10.1101/201731",2017-10-11,"10.1016/j.cois.2017.12.005","2017-12-24"
"10.1101/123455",2017-04-03,"10.1093/hmg/ddx428","2017-12-18"
"10.1101/160564",2017-07-07,"10.1128/msystems.00132-17","2017-11-22"
"10.1101/027607",2015-09-25,"10.1128/msphere.00300-17","2017-08-03"
"10.1101/166983",2017-07-21,"10.1242/bio.029512","2017-11-29"
"10.1101/072470",2016-08-31,"10.1128/msystems.00039-17","2017-08-16"
"10.1101/094011",2016-12-14,"10.1128/msystems.00039-17","2017-08-16"
"10.1101/153494",2017-06-21,"10.1128/msphere.00511-17","2017-12-13"
"10.1101/133462",2017-05-02,"10.1128/msphere.00351-17","2017-10-12"
"10.1101/051805",2016-05-05,"10.1128/msphere.00366-17","2017-10-05"
"10.1101/041434",2016-02-26,"10.3390/d9040055","2017-12-01"
"10.1101/158527",2017-07-02,"10.3390/d9040055","2017-12-01"
"10.1101/175430",2017-08-11,"10.3390/d9040055","2017-12-01"
"10.1101/061671",2016-07-06,"10.1097/mop.0000000000000582","2017-11-26"
"10.1101/135087",2017-05-08,"10.1162/jocn_a_01220","2017-12-19"
"10.1101/238840",2017-12-23,"10.1534/g3.117.300199","2017-12-19"
"10.1101/080168",2016-10-12,"10.1128/msphere.00277-17","2017-09-28"
"10.1101/174201",2017-08-09,"10.1002/path.5025","2017-12-28"
"10.1101/159111",2017-07-03,"10.1016/j.cj.2017.11.001","2017-12-08"
"10.1101/101832",2017-02-27,"10.1128/msphere.00392-17","2017-11-23"
"10.1101/103838",2017-01-28,"10.1128/msystems.00091-17","2017-08-30"
"10.1101/096354",2016-12-22,"10.1128/msystems.00091-17","2017-08-30"
"10.1101/070441",2016-08-21,"10.23919/eusipco.2017.8081638","2017-11-02"
"10.1101/136275",2017-05-10,"10.1101/gr.230516.117","2017-12-01"
"10.1101/128835",2017-04-20,"10.1101/gr.221184.117","2017-12-22"
"10.1101/073742",2016-09-06,"10.1364/ntm.2017.nw4c.3","2017-03-27"
"10.1101/097022",2016-12-27,"10.1021/acs.chemrev.7b00421","2017-11-20"
"10.1101/143867",2017-05-30,"10.1016/j.freeradbiomed.2017.12.030","2017-12-25"
"10.1101/057851",2016-06-10,"10.1016/j.freeradbiomed.2017.12.030","2017-12-25"
"10.1101/068353",2016-08-11,"10.1038/nmeth.4534","2017-12-11"
"10.1101/193136",2017-09-27,"10.1038/nmeth.4534","2017-12-11"
"10.1101/137299",2017-05-12,"10.1038/nmeth.4534","2017-12-11"
"10.1101/146696",2017-07-04,"10.1038/nmeth.4534","2017-12-11"
"10.1101/060954",2016-06-28,"10.2174/1566523217666171122094629","2017-11-25"
"10.1101/184739",2017-09-05,"10.1016/j.neuroimage.2017.12.031","2017-12-15"
"10.1101/081950",2016-10-19,"10.1111/mec.14439","2017-11-24"
"10.1101/047498",2016-04-06,"10.1093/gbe/evx170","2017-08-28"
"10.1101/111609",2017-02-25,"10.1016/b978-0-12-804036-2.00007-8","2017-11-29"
"10.1101/048603",2016-04-13,"10.1016/b978-0-12-811835-1.00016-6","2017-11-29"
"10.1101/142760",2017-05-28,"10.1021/acscentsci.7b00512","2017-12-28"
"10.1101/145581",2017-06-03,"10.1016/j.jaac.2017.11.013","2017-11-26"
"10.1101/096883",2016-12-31,"10.1111/mec.14470","2017-12-24"
"10.1101/172908",2017-08-05,"10.7554/elife.32481","2017-12-29"
"10.1101/007575",2014-07-29,"10.1111/1755-0998.12709","2017-08-10"
"10.1101/058396",2016-06-11,"10.7554/elife.29742","2017-12-19"
"10.1101/011809",2014-11-26,"10.1111/mec.14437","2017-11-22"
"10.1101/105528",2017-02-03,"10.1111/mec.14475","2017-12-31"
"10.1101/130013",2017-04-26,"10.1111/tpj.13807","2017-12-20"
"10.1101/100545",2017-01-15,"10.1111/tpj.13810","2017-12-26"
"10.1101/125724",2017-04-09,"10.1111/1755-0998.12737","2017-11-16"
"10.1101/071530",2016-08-25,"10.1111/psyp.13019","2017-10-11"
"10.1101/115063",2017-03-08,"10.7554/elife.29550","2017-11-17"
"10.1101/122598",2017-03-31,"10.1016/bs.pbr.2017.07.003","2017-08-15"
"10.1101/061507",2016-06-30,"10.3389/fncom.2017.00112","2017-12-07"
"10.1101/146472",2017-06-06,"10.3389/fncom.2017.00112","2017-12-07"
"10.1101/177188",2017-08-17,"10.3389/fncom.2017.00109","2017-12-11"
"10.1101/183632",2017-09-01,"10.3389/fncom.2017.00112","2017-12-07"
"10.1101/133504",2017-05-04,"10.3389/fncom.2017.00112","2017-12-07"
"10.1101/094102",2016-12-14,"10.3389/fncom.2017.00112","2017-12-07"
"10.1101/027607",2015-09-25,"10.1038/ismej.2017.170","2017-10-13"
"10.1101/008771",2014-09-04,"10.1021/acssynbio.7b00277","2017-10-13"
"10.1101/093153",2016-12-11,"10.7554/elife.28629","2017-12-19"
"10.1101/111526",2017-02-24,"10.1038/ismej.2017.175","2017-11-03"
"10.1101/114546",2017-03-06,"10.7554/elife.28626","2017-12-05"
"10.1101/065227",2016-07-22,"10.7554/elife.28626","2017-12-05"
"10.1101/100495",2017-01-15,"10.1098/rsif.2017.0467","2017-11-29"
"10.1101/167742",2017-07-24,"10.7554/elife.26349","2017-12-04"
"10.1101/072470",2016-08-31,"10.7554/elife.31035","2017-12-27"
"10.1101/197988",2017-10-03,"10.1093/biolinnean/blx146","2017-11-16"
"10.1101/077651",2016-09-27,"10.1016/j.coisb.2017.07.003","2017-07-11"
"10.1101/177345",2017-08-17,"10.1128/jvi.01413-17","2017-11-15"
"10.1101/122226",2017-03-30,"10.1128/jvi.01413-17","2017-11-15"
"10.1101/192211",2017-09-21,"10.1128/aem.02199-17","2017-12-08"
"10.1101/081257",2016-10-15,"10.1128/aem.02199-17","2017-12-08"
"10.1101/107987",2017-02-20,"10.1111/ejn.13801","2017-12-12"
"10.1101/168906",2017-07-28,"10.1111/ejn.13801","2017-12-12"
"10.1101/195172",2017-09-28,"10.1111/imm.12883","2017-12-20"
"10.1101/112540",2017-02-28,"10.1016/j.biocon.2017.11.026","2017-12-05"
"10.1101/204933",2017-10-18,"10.12688/f1000research.12327.2","2017-12-22"
"10.1101/084772",2016-11-01,"10.12688/f1000research.12012.2","2017-12-12"
"10.1101/129148",2017-04-21,"10.12688/f1000research.12012.2","2017-12-12"
"10.1101/094672",2016-12-15,"10.12688/f1000research.12012.2","2017-12-12"
"10.1101/179531",2017-08-23,"10.12688/f1000research.12012.2","2017-12-12"
"10.1101/066613",2016-07-28,"10.12688/f1000research.12012.2","2017-12-12"
"10.1101/047142",2016-04-04,"10.12688/f1000research.12012.2","2017-12-12"
"10.1101/099143",2017-01-08,"10.12688/f1000research.12012.2","2017-12-12"
"10.1101/128835",2017-04-20,"10.12688/f1000research.12012.2","2017-12-12"
"10.1101/133058",2017-05-01,"10.12688/f1000research.12012.2","2017-12-12"
"10.1101/054783",2016-05-22,"10.12688/f1000research.12012.2","2017-12-12"
"10.1101/048603",2016-04-13,"10.1111/tpj.13799","2017-12-12"
"10.1101/026302",2015-09-08,"10.18632/oncotarget.23592","2017-12-22"
"10.1101/099028",2017-01-06,"10.1093/jamia/ocx120","2017-09-28"
"10.1101/099010",2017-01-06,"10.1093/jamia/ocx120","2017-09-28"
"10.1101/062497",2016-07-07,"10.1093/jamia/ocx120","2017-09-28"
"10.1101/132894",2017-05-01,"10.1002/yea.3242","2017-07-06"
"10.1101/128801",2017-04-19,"10.1021/acschemneuro.7b00197","2017-09-26"
"10.1101/098905",2017-01-06,"10.1021/acschemneuro.7b00197","2017-09-26"
"10.1101/196105",2017-09-29,"10.1111/jnc.14281","2017-12-18"
"10.1101/058503",2016-06-12,"10.1093/molbev/msx246","2017-09-19"
"10.1101/062117",2016-07-05,"10.1145/3155077.3155080","2017-12-20"
"10.1101/071282",2016-08-24,"10.1145/3155077.3155080","2017-12-20"
"10.1101/073577",2016-09-05,"10.1111/gcb.13821","2017-08-18"
"10.1101/143669",2017-05-29,"10.1111/gcb.13821","2017-08-18"
"10.1101/145219",2017-06-02,"10.1093/molbev/msx253","2017-09-23"
"10.1101/086744",2016-11-14,"10.1093/femsec/fix158","2017-11-16"
"10.1101/119651",2017-03-28,"10.1093/bioinformatics/btx664","2017-10-17"
"10.1101/105080",2017-02-01,"10.1093/bioinformatics/btx712","2017-11-03"
"10.1101/169102",2017-07-27,"10.1093/scan/nsx122","2017-10-17"
"10.1101/035642",2015-12-30,"10.1093/molbev/msx293","2017-11-08"
"10.1101/108423",2017-02-14,"10.1111/zph.12418","2017-11-16"
"10.1101/059220",2016-06-15,"10.1104/pp.17.00753","2017-10-03"
"10.1101/163642",2017-07-14,"10.1016/j.devcel.2017.11.019","2017-12-18"
"10.1101/138487",2017-05-16,"10.1128/jvi.01773-17","2017-11-08"
"10.1101/197210",2017-10-02,"10.1128/jvi.01775-17","2017-11-15"
"10.1101/207662",2017-10-23,"10.1111/1365-2435.13026","2017-12-09"
"10.1101/072470",2016-08-31,"10.1128/aem.02038-17","2017-11-27"
"10.1101/149476",2017-06-13,"10.3389/fpls.2017.02111","2017-12-19"
"10.1101/181495",2017-08-28,"10.1109/ctsys.2017.8109504","2017-11-16"
"10.1101/174466",2017-08-10,"10.1016/j.intell.2017.12.002","2017-12-28"
"10.1101/158030",2017-06-30,"10.1111/gcb.14029","2017-12-24"
"10.1101/052662",2016-05-11,"10.18632/oncotarget.23344","2017-12-17"
"10.1101/068593",2016-08-09,"10.1001/jamapsychiatry.2017.3485","2017-11-22"
"10.1101/069393",2016-08-14,"10.1038/gim.2017.69","2017-06-22"
"10.1101/212241",2017-11-01,"10.1016/j.neuroimage.2017.12.057","2017-12-30"
"10.1101/105163",2017-02-02,"10.1093/bioinformatics/btx575","2017-09-13"
"10.1101/102368",2017-01-24,"10.1093/scan/nsx137","2017-11-15"
"10.1101/031088",2015-11-12,"10.1093/jxb/erx295","2017-08-10"
"10.1101/048603",2016-04-13,"10.1109/cbms.2017.140","2017-11-14"
"10.1101/183921",2017-09-04,"10.1016/j.cois.2017.12.004","2017-12-23"
"10.1101/056994",2016-06-06,"10.1016/j.cois.2017.12.004","2017-12-23"
"10.1101/070425",2016-08-19,"10.1093/gbe/evx163","2017-08-22"
"10.1101/056994",2016-06-06,"10.1093/gbe/evx163","2017-08-22"
"10.1101/166595",2017-07-27,"10.1021/acs.biochem.7b00886","2017-10-09"
"10.1101/211250",2017-11-01,"10.1021/acs.biochem.7b00965","2017-11-16"
"10.1101/014563",2015-01-29,"10.1016/j.nicl.2017.12.029","2017-12-21"
"10.1101/111690",2017-02-27,"10.1073/pnas.1713895115","2017-12-28"
"10.1101/036228",2016-01-08,"10.1016/j.neuroimage.2017.12.074","2017-12-30"
"10.1101/093021",2016-12-11,"10.1021/acs.jproteome.7b00595","2017-11-07"
"10.1101/108597",2017-02-14,"10.1021/acs.analchem.7b04340","2017-10-24"
"10.1101/055558",2016-05-26,"10.1111/1365-2435.12943","2017-07-20"
"10.1101/131763",2017-04-28,"10.1016/j.theriogenology.2017.12.005","2017-12-08"
"10.1101/140228",2017-05-20,"10.1016/j.jclinepi.2017.10.002","2017-10-14"
"10.1101/048280",2016-04-12,"10.1093/bioinformatics/btx530","2017-08-21"
"10.1101/019067",2015-05-07,"10.1093/bioinformatics/btx547","2017-08-31"
"10.1101/127571",2017-04-15,"10.1093/brain/awx283","2017-10-04"
"10.1101/220756",2017-11-16,"10.1016/j.dadm.2017.11.007","2017-12-09"
"10.1101/076331",2016-09-22,"10.1093/femsec/fix106","2017-08-23"
"10.1101/110825",2017-02-23,"10.12688/f1000research.12989.1","2017-11-27"
"10.1101/229930",2017-12-06,"10.1371/journal.pgen.1007143","2017-12-22"
"10.1101/232900",2017-12-19,"10.1371/journal.pgen.1007143","2017-12-22"
"10.1101/159558",2017-07-04,"10.3389/fgene.2017.00223","2017-12-21"
"10.1101/101378",2017-01-18,"10.1093/bioinformatics/btx471","2017-07-21"
"10.1101/197574",2017-10-03,"10.1109/access.2017.2788044","2017-12-29"
"10.1101/049403",2016-04-20,"10.1021/acsnano.7b07200","2017-11-22"
"10.1101/031229",2015-11-16,"10.1093/bioinformatics/btx432","2017-07-03"
"10.1101/054965",2016-05-24,"10.1093/bioinformatics/btx432","2017-07-03"
"10.1101/002824",2014-02-20,"10.1109/escience.2014.27","2014-12-08"
"10.1101/002832",2014-02-19,"10.3389/fgene.2014.00453","2015-01-08"
"10.1101/002824",2014-02-20,"10.1002/path.4433","2014-09-04"
"10.1101/007419",2014-07-24,"10.1098/rstb.2013.0374","2014-12-09"
"10.1101/007344",2014-07-21,"10.1534/genetics.114.170423","2014-09-24"
"10.1101/001552",2013-12-23,"10.1111/j.1600-0390.2014.00945.x","2014-11-14"
"10.1101/001784",2014-01-13,"10.1534/genetics.114.169870","2014-10-14"
"10.1101/002956",2014-02-23,"10.12688/f1000research.4680.2","2014-09-19"
"10.1101/002824",2014-02-20,"10.3389/fpls.2014.00658","2014-12-02"
"10.1101/001719",2014-01-09,"10.1002/pmic.201400170","2014-09-29"
"10.1101/001370",2013-12-13,"10.1093/bioinformatics/btu356","2014-06-29"
"10.1101/002964",2014-02-24,"10.1146/annurev-genet-120213-092359","2014-10-08"
"10.1101/008078",2014-08-16,"10.1016/j.cub.2014.09.057","2014-10-24"
"10.1101/008003",2014-08-14,"10.1016/j.mib.2014.11.014","2014-12-01"
"10.1101/006395",2014-06-18,"10.1016/j.mib.2014.11.014","2014-12-01"
"10.1101/001834",2014-01-21,"10.1016/j.mib.2014.11.014","2014-12-01"
"10.1101/009225",2014-09-16,"10.1371/journal.pgen.1004785","2014-11-13"
"10.1101/006940",2014-07-08,"10.1016/j.tree.2014.10.004","2014-11-01"
"10.1101/009456",2014-09-24,"10.1016/j.tree.2014.10.004","2014-11-01"
"10.1101/004804",2014-05-06,"10.1016/j.conb.2014.11.001","2014-11-20"
"10.1101/005074",2014-05-12,"10.1007/s40484-014-0030-x","2014-08-26"
"10.1101/005413",2014-05-22,"10.1007/s40484-014-0030-x","2014-08-26"
"10.1101/002824",2014-02-20,"10.1186/1755-8794-7-57","2014-09-30"
"10.1101/005686",2014-05-29,"10.1038/nrc3802","2014-09-01"
"10.1101/002824",2014-02-20,"10.1038/nbt.3000","2014-08-21"
"10.1101/008425",2014-08-25,"10.3389/fnbeh.2014.00388","2014-11-05"
"10.1101/002824",2014-02-20,"10.1038/ng.3095","2014-09-21"
"10.1101/005215",2014-05-15,"10.1242/dev.112979","2014-11-04"
"10.1101/005215",2014-05-15,"10.1242/dev.113001","2014-11-04"
"10.1101/003871",2014-04-07,"10.1242/bio.20148409","2014-06-21"
"10.1101/002832",2014-02-19,"10.1371/journal.pgen.1004648","2014-10-02"
"10.1101/005264",2014-05-19,"10.1098/rspb.2014.1739","2014-09-17"
"10.1101/001636",2013-12-31,"10.1016/j.neuron.2014.08.042","2014-10-22"
