"PREPRINT_DOI","ARTICLE_DOI","AUTHOR_AGE"
"10.1101/132597","10.1093/bioinformatics/btx604",22
"10.1101/108902","10.1080/15476286.2017.1409930",22
"10.1101/145508","10.1016/j.neuroscience.2017.11.009",22
"10.1101/151761","10.1111/tra.12544",22
"10.1101/130385","10.1016/j.neuroimage.2017.10.034",22
"10.1101/145888","10.1007/s10519-017-9881-z",22
"10.1101/099077","10.1016/j.jsb.2017.11.001",22
"10.1101/144790","10.1128/aem.02020-17",22
"10.1101/099747","10.1038/s41467-017-02424-0",22
"10.1101/123745","10.1242/jeb.162024",22
"10.1101/141721","10.1016/j.ymben.2017.12.002",22
"10.1101/150227","10.1038/s41564-017-0061-y",22
"10.1101/171736","10.1016/j.phrs.2017.11.036",22
"10.1101/185850","10.1088/1741-2552/aaa365",22
"10.1101/159509","10.1007/s10482-017-0967-7",22
"10.1101/101642","10.1017/s0033291717001519",22
"10.1101/191478","10.1128/jvi.01703-17",22
"10.1101/159475","10.1007/s10482-017-0939-y",22
"10.1101/110593","10.1111/tpj.13781",22
"10.1101/165282","10.1007/s00442-017-4020-3",22
"10.1101/123588","10.1109/tvcg.2017.2745978",22
"10.1101/158089","10.1016/j.cyto.2017.09.029",22
"10.1101/209809","10.1073/pnas.1718723115",22
"10.1101/224428","10.1016/j.redox.2017.12.008",22
"10.1101/135434","10.1038/s41564-017-0059-5",22
"10.1101/180141","10.1021/acs.biochem.7b01135",22
"10.1101/203000","10.1016/j.molcel.2017.12.010",22
"10.1101/212597","10.1016/j.soilbio.2017.11.009",22
"10.1101/188243","10.1016/j.ceca.2017.12.003",22
"10.1101/142356","10.1111/1755-0998.12713",22
"10.1101/143594","10.1016/j.jtbi.2017.11.005",22
"10.1101/141119","10.1016/j.jtbi.2017.11.024",22
"10.1101/118059","10.1038/ismej.2017.141",22
"10.1101/041038","10.1534/g3.117.300400",22
"10.1101/133918","10.1093/jac/dkx345",22
"10.1101/165415","10.1074/jbc.m117.809657",22
"10.1101/210351","10.1016/j.bbagen.2017.11.020",22
"10.1101/141317","10.1002/ece3.3716",22
"10.1101/170977","10.1242/dev.157941",22
"10.1101/091504","10.1242/dev.147793",22
"10.1101/154344","10.1242/dmm.031146",22
"10.1101/075127","10.1091/mbc.e17-01-0027",22
"10.1101/159988","10.1021/acssynbio.7b00376",22
"10.1101/172668","10.15252/embj.201797630",22
"10.1101/164178","10.1007/s00018-017-2682-y",22
"10.1101/186890","10.1080/15384101.2017.1383576",22
"10.1101/209742","10.1083/jcb.201709115",22
"10.1101/177527","10.1162/jocn_a_01216",22
"10.1101/127985","10.1158/0008-5472.can-17-1345",22
"10.1101/064691","10.1534/genetics.117.300551",22
"10.1101/184143","10.1242/bio.029512",22
"10.1101/175273","10.1088/1478-3975/aa953d",22
"10.1101/050385","10.1016/j.cognition.2017.09.007",22
"10.1101/121988","10.1088/2050-6120/aa8c60",22
"10.1101/146803","10.1590/0074-02760170225",22
"10.1101/099143","10.1101/gr.221184.117",22
"10.1101/179598","10.1534/g3.117.300447",22
"10.1101/097287","10.1016/j.neuroimage.2017.08.077",22
"10.1101/135418","10.7554/elife.29915",22
"10.1101/180992","10.1104/pp.17.00688",22
"10.1101/180323","10.1093/nar/gkx1206",22
"10.1101/139139","10.1093/molbev/msx265",22
"10.1101/221960","10.1126/science.aao4426",22
"10.1101/124834","10.1093/molbev/msx301",22
"10.1101/151290","10.1093/hmg/ddx391",22
"10.1101/044107","10.1038/s41588-017-0004-9",22
"10.1101/210286","10.1002/prot.25439",22
"10.1101/178962","10.1016/j.neuroimage.2017.10.037",22
"10.1101/156562","10.1016/j.jcmgh.2017.11.013",22
"10.1101/125658","10.1093/bioinformatics/btx471",22
"10.1101/117424","10.1007/s10530-017-1566-2",22
"10.1101/181453","10.1093/glycob/cwx095",22
"10.1101/152835","10.1093/hmg/ddx392",22
"10.1101/215566","10.1016/j.colsurfa.2017.12.036",22
"10.1101/182204","10.15252/embr.201744777",22
"10.1101/099309","10.1007/s12021-017-9346-9",22
"10.1101/113456","10.1002/art.40378",22
"10.1101/140145","10.1007/s00709-017-1196-7",22
"10.1101/169474","10.1534/genetics.117.300537",22
"10.1101/182196","10.1128/jvi.01531-17",22
"10.1101/085670","10.3758/s13423-017-1301-0",22
"10.1101/179788","10.1091/mbc.e17-08-0511",22
"10.1101/193003","10.1111/apa.14181",22
"10.1101/169177","10.1093/bioinformatics/btx740",22
"10.1101/126524","10.1016/j.neuroimage.2017.12.074",22
"10.1101/140160","10.1242/dev.156786",22
"10.1101/107797","10.1128/mcb.00302-17",22
"10.1101/020677","10.1088/1478-3975/aa93b8",22
"10.1101/033050","10.1111/oik.04471",22
"10.1101/047696","10.1111/ecog.03010",22
"10.1101/063883","10.1093/hmg/ddx426",22
"10.1101/064691","10.1534/genetics.117.300498",22
"10.1101/064774","10.1111/1365-2656.12760",22
"10.1101/065961","10.1016/j.neuroimage.2016.09.045",22
"10.1101/069187","10.1038/nmeth.4505",22
"10.1101/069617","10.1111/desc.12587",22
"10.1101/075127","10.1091/mbc.e17-01-0061",22
"10.1101/076836","10.1093/bioinformatics/btx557",22
"10.1101/084228","10.1128/jb.00154-17",22
"10.1101/085381","10.1152/jn.00516.2017",22
"10.1101/088195","10.1016/j.envexpbot.2017.12.019",22
"10.1101/090746","10.1093/bioinformatics/btx572",22
"10.1101/091660","10.1101/gr.228411.117",22
"10.1101/093583","10.1534/g3.117.300095",22
"10.1101/093740","10.1016/j.pedobi.2017.12.005",22
"10.1101/094003","10.1093/bioinformatics/btx645",22
"10.1101/097675","10.1007/s12559-017-9507-z",22
"10.1101/098046","10.1016/j.jtbi.2017.12.022",22
"10.1101/099143","10.1101/gr.224717.117",22
"10.1101/099275","10.1111/mpp.12546",22
"10.1101/099309","10.1007/s12021-017-9342-0",22
"10.1101/103382","10.1111/mec.14433",22
"10.1101/104216","10.1534/genetics.117.300457",22
"10.1101/106583","10.1111/2041-210x.12930",22
"10.1101/108589","10.1111/jeb.13222",22
"10.1101/108845","10.1016/j.stemcr.2017.11.003",22
"10.1101/108902","10.1080/15476286.2017.1397261",22
"10.1101/109157","10.1038/ismej.2017.148",22
"10.1101/109488","10.1007/s12668-017-0422-2",22
"10.1101/111146","10.1111/1365-2656.12772",22
"10.1101/113456","10.1002/art.40369",22
"10.1101/113969","10.1111/mec.14445",22
"10.1101/114157","10.1016/j.jclepro.2017.10.095",22
"10.1101/115519","10.1534/g3.117.300296",22
"10.1101/115568","10.1038/s41437-017-0011-8",22
"10.1101/115832","10.1016/j.physa.2017.10.010",22
"10.1101/116780","10.1016/j.jtbi.2017.09.030",22
"10.1101/116939","10.1093/nar/gkx855",22
"10.1101/117630","10.1002/cmdc.201700482",22
"10.1101/117762","10.1091/mbc.e17-01-0031",22
"10.1101/118059","10.1038/ismej.2017.145",22
"10.1101/118810","10.1038/s41588-017-0012-9",22
"10.1101/118901","10.1002/pmic.201700277",22
"10.1101/121103","10.1016/j.fm.2017.09.013",22
"10.1101/122077","10.1093/bioinformatics/btx651",22
"10.1101/122416","10.1093/cid/cix799",22
"10.1101/122960","10.1242/dev.146829",22
"10.1101/123745","10.1242/jeb.171553",22
"10.1101/125187","10.1016/j.jcf.2017.08.004",22
"10.1101/125609","10.1038/nm.4447",22
"10.1101/125997","10.1101/gr.222885.117",22
"10.1101/126151","10.1091/mbc.e17-06-0415",22
"10.1101/126961","10.1007/s00429-017-1518-8",22
"10.1101/127316","10.1038/s41559-017-0375-4",22
"10.1101/127852","10.1534/g3.117.300462",22
"10.1101/127910","10.1016/j.pscychresns.2017.11.001",22
"10.1101/129288","10.1016/j.biopsych.2017.05.026",22
"10.1101/132878","10.1111/nph.14814",22
"10.1101/132910","10.1086/694780",22
"10.1101/133074","10.1111/tra.12538",22
"10.1101/133256","10.1016/j.mce.2017.07.007",22
"10.1101/133512","10.1016/j.ympev.2017.10.017",22
"10.1101/133736","10.1152/jn.00229.2017",22
"10.1101/134338","10.1016/j.chembiol.2017.11.008",22
"10.1101/135004","10.1002/pro.3269",22
"10.1101/135764","10.1104/pp.17.01330",22
"10.1101/135871","10.1016/j.neurobiolaging.2017.09.027",22
"10.1101/136390","10.1016/j.jaridenv.2017.11.013",22
"10.1101/136812","10.1021/acssynbio.7b00303",22
"10.1101/138420","10.1126/science.aao1733",22
"10.1101/138487","10.1128/jvi.01522-17",22
"10.1101/138982","10.1093/jhered/esx101",22
"10.1101/139048","10.1128/iai.00429-17",22
"10.1101/140145","10.1007/s00709-017-1199-4",22
"10.1101/140293","10.1038/onc.2017.353",22
"10.1101/140871","10.1021/acssynbio.7b00339",22
"10.1101/141119","10.1016/j.jtbi.2017.11.025",22
"10.1101/141192","10.1016/j.schres.2017.08.003",22
"10.1101/141465","10.1093/bioinformatics/btx656",22
"10.1101/142059","10.1093/molbev/msx267",22
"10.1101/142323","10.1093/molbev/msx284",22
"10.1101/142414","10.1083/jcb.201708122",22
"10.1101/142778","10.1115/1.4037947",22
"10.1101/143008","10.1152/jn.00193.2017",22
"10.1101/144774","10.1158/0008-5472.can-17-0240",22
"10.1101/144816","10.1093/jamia/ocx109",22
"10.1101/146613","10.1016/j.jpain.2017.11.011",22
"10.1101/146985","10.1016/j.cels.2017.11.010",22
"10.1101/147884","10.1158/0008-5472.can-17-1435",22
"10.1101/148809","10.1128/aac.01904-17",22
"10.1101/149138","10.15252/embj.201696164",22
"10.1101/150227","10.1038/s41564-017-0053-y",22
"10.1101/151761","10.1111/tra.12538",22
"10.1101/151977","10.1038/nmeth.4505",22
"10.1101/152389","10.1016/j.neuroimage.2017.10.024",22
"10.1101/152660","10.1073/pnas.1707505115",22
"10.1101/152785","10.15252/embr.201744046",22
"10.1101/154179","10.1007/s00248-017-1097-5",22
"10.1101/155499","10.1242/jeb.169714",22
"10.1101/155788","10.1016/j.psyneuen.2017.12.010",22
"10.1101/155937","10.1021/acs.nanolett.7b04114",22
"10.1101/156562","10.1016/j.jcmgh.2017.11.015",22
"10.1101/157867","10.1534/g3.117.300318",22
"10.1101/158089","10.1016/j.cyto.2017.09.019",22
"10.1101/158238","10.1002/gcc.22513",22
"10.1101/158576","10.1038/ismej.2017.165",22
"10.1101/158907","10.1534/genetics.117.300581",22
"10.1101/160416","10.1002/art.40348",22
"10.1101/161182","10.1038/s41477-017-0065-x",22
"10.1101/162180","10.1093/nar/gkx1063",22
"10.1101/163576","10.1534/g3.117.300347",22
"10.1101/163972","10.1002/pro.3328",22
"10.1101/164327","10.1002/hbm.23932",22
"10.1101/164665","10.1111/1462-2920.14014",22
"10.1101/164855","10.1093/bioinformatics/btx703",22
"10.1101/165282","10.1007/s00442-017-4019-9",22
"10.1101/165415","10.1074/jbc.m117.806604",22
"10.1101/165563","10.1016/j.neuroimage.2017.10.036",22
"10.1101/165746","10.18632/oncotarget.23079",22
"10.1101/166272","10.1074/jbc.ra117.000964",22
"10.1101/166637","10.1093/nar/gkx1213",22
"10.1101/167999","10.4049/jimmunol.1701087",22
"10.1101/168310","10.1111/evo.13415",22
"10.1101/168906","10.1038/s41588-017-0012-9",22
"10.1101/169474","10.1534/genetics.117.300457",22
"10.1101/169938","10.1080/23299460.2017.1365232",22
"10.1101/170175","10.1091/mbc.e17-01-0031",22
"10.1101/170258","10.1016/j.agrformet.2017.11.019",22
"10.1101/170746","10.1016/j.virol.2017.10.011",22
"10.1101/171934","10.1038/ismej.2017.195",22
"10.1101/172148","10.1016/j.neuroimage.2017.12.085",22
"10.1101/172254","10.1128/aem.01049-17",22
"10.1101/172668","10.15252/embj.201798099",22
"10.1101/172742","10.1016/j.str.2017.11.003",22
"10.1101/175273","10.1088/1478-3975/aa93b8",22
"10.1101/175943","10.1093/nar/gkx1299",22
"10.1101/176685","10.1094/mpmi-07-17-0158-fi",22
"10.1101/177444","10.15252/embj.201796781",22
"10.1101/177964","10.1534/g3.117.300296",22
"10.1101/178319","10.1093/gerona/glx186",22
"10.1101/178533","10.1002/hbm.23922",22
"10.1101/178962","10.1016/j.neuroimage.2017.10.019",22
"10.1101/179119","10.1111/tpj.13788",22
"10.1101/179804","10.1373/clinchem.2017.275503",22
"10.1101/180067","10.1111/1755-0998.12737",22
"10.1101/180141","10.1021/acs.biochem.7b01040",22
"10.1101/181453","10.1093/glycob/cwx098",22
"10.1101/182204","10.15252/embr.201744705",22
"10.1101/182436","10.1016/j.jcv.2017.12.005",22
"10.1101/183251","10.1534/genetics.117.300060",22
"10.1101/185520","10.1038/npp.2017.236",22
"10.1101/186320","10.1080/15476286.2017.1397261",22
"10.1101/186668","10.1128/iai.00445-17",22
"10.1101/188243","10.1016/j.ceca.2017.11.005",22
"10.1101/189027","10.15252/embj.201696164",22
"10.1101/191049","10.1534/g3.117.300415",22
"10.1101/191478","10.1128/jvi.01809-17",22
"10.1101/192674","10.1083/jcb.201705160",22
"10.1101/192997","10.1002/glia.23270",22
"10.1101/193326","10.1093/nar/gkx1026",22
"10.1101/194159","10.1093/nar/gkx1108",22
"10.1101/195016","10.1021/acs.jproteome.7b00329",22
"10.1101/198978","10.1016/j.molcel.2017.11.034",22
"10.1101/199430","10.1111/jfb.13494",22
"10.1101/200154","10.15252/embr.201643841",22
"10.1101/204800","10.1016/j.ydbio.2017.11.018",22
"10.1101/207324","10.1021/acs.biochem.7b01152",22
"10.1101/209742","10.1083/jcb.201705068",22
"10.1101/210286","10.1002/prot.25443",22
"10.1101/211755","10.1534/genetics.117.300498",22
"10.1101/215772","10.1016/j.neuroimage.2017.12.022",22
"10.1101/221960","10.1126/science.aao3099",22
"10.1101/223008","10.1104/pp.17.01331",22
"10.1101/233510","10.1016/j.neuroimage.2017.12.051",22
"10.1101/084806","10.1038/nature20150",22
"10.1101/097360","10.1039/c7sc04318j",22
"10.1101/142513","10.1523/jneurosci.0628-17.2017",22
"10.1101/146936","10.1038/s41593-017-0029-5",22
"10.1101/155390","10.1038/s41593-017-0036-6",22
"10.1101/184531","10.1016/j.neuron.2017.11.029",22
"10.1101/189621","10.1523/jneurosci.2864-16.2017",22
"10.1101/224477","10.1523/jneurosci.1657-17.2017",22
"10.1101/053025","10.1038/ismej.2016.90",21
"10.1101/150383","10.1371/journal.pone.0188936",21
"10.1101/112987","10.1128/jb.00211-17",21
"10.1101/081364","10.1038/s41467-017-00623-3",21
"10.1101/089581","10.7554/elife.22510",21
"10.1101/034843","10.1093/gbe/evx255",21
"10.1101/223529","10.1038/s41598-017-17070-1",21
"10.1101/156554","10.1534/genetics.117.300146",21
"10.1101/056762","10.1109/tbme.2016.2607183",21
"10.1101/132902","10.1038/s41598-017-03295-7",21
"10.1101/067124","10.1038/srep39642",21
"10.1101/043059","10.1038/ismej.2016.146",21
"10.1101/060350","10.1080/15384101.2016.1261765",21
"10.1101/116566","10.1371/journal.pcbi.1005875",21
"10.1101/125203","10.1186/s12864-017-4196-2",21
"10.1101/162800","10.1016/j.virol.2017.07.032",21
"10.1101/070409","10.1111/gbb.12368",21
"10.1101/180885","10.1523/jneurosci.2344-17.2017",21
"10.1101/117184","10.1093/nar/gkx794",21
"10.1101/108431","10.1038/s41467-017-01109-y",21
"10.1101/086934","10.1016/j.cub.2017.09.044",21
"10.1101/156547","10.1158/0008-5472.can-17-0835",21
"10.1101/111542","10.1083/jcb.201703103",21
"10.1101/082602","10.7554/elife.23382",21
"10.1101/132696","10.1371/journal.pgen.1006997",21
"10.1101/136556","10.1128/msphere.00511-17",21
"10.1101/117093","10.1371/journal.pcbi.1005731",21
"10.1101/154997","10.1091/mbc.e17-06-0423",21
"10.1101/069708","10.1534/genetics.116.195784",21
"10.1101/058214","10.1002/gepi.22050",21
"10.1101/105999","10.1186/s13148-017-0334-6",21
"10.1101/181982","10.1371/journal.pone.0190075",21
"10.1101/148577","10.1073/pnas.1711229114",21
"10.1101/150862","10.1534/genetics.117.300179",21
"10.1101/072710","10.1038/s41598-017-08155-y",21
"10.1101/077545","10.1109/tbme.2016.2627402",21
"10.1101/120154","10.1186/s12864-017-3918-9",21
"10.1101/055863","10.1038/nmeth.4108",21
"10.1101/105338","10.1093/ije/dyx207",21
"10.1101/148346","10.1016/j.bpj.2017.09.024",21
"10.1101/147975","10.7554/elife.29061",21
"10.1101/152389","10.1016/j.neuroimage.2017.10.049",21
"10.1101/099481","10.1007/s10453-017-9497-z",21
"10.1101/075820","10.1021/acs.jpcb.6b09402",21
"10.1101/135947","10.1073/pnas.1701884114",21
"10.1101/077883","10.1371/journal.pone.0172802",21
"10.1101/112235","10.1038/srep46398",21
"10.1101/129023","10.1186/s12864-017-4217-1",21
"10.1101/087122","10.1128/iai.00948-16",21
"10.1101/000265","10.1093/nar/gkw1148",21
"10.1101/192104","10.1073/pnas.1716483114",21
"10.1101/171629","10.1016/j.celrep.2017.10.035",21
"10.1101/134122","10.1038/s41598-017-09800-2",21
"10.1101/130054","10.7554/elife.28069",21
"10.1101/089797","10.1128/aem.03391-16",21
"10.1101/033878","10.1007/s00429-016-1277-y",21
"10.1101/115451","10.1186/s13073-017-0495-0",21
"10.1101/115121","10.1371/journal.pone.0184405",21
"10.1101/068528","10.1093/jhered/esx058",21
"10.1101/114926","10.7554/elife.23249",21
"10.1101/179804","10.1373/clinchem.2017.278101",21
"10.1101/138511","10.1523/eneuro.0207-17.2017",21
"10.1101/130112","10.1103/physreve.96.012406",21
"10.1101/134668","10.1007/s00122-017-2934-0",21
"10.1101/121996","10.1371/journal.pone.0180047",21
"10.1101/100198","10.1101/gad.293910.116",21
"10.1101/120261","10.1093/bioinformatics/btx587",21
"10.1101/193847","10.7554/elife.31343",21
"10.1101/126334","10.15252/emmm.201707882",21
"10.1101/066829","10.1093/molbev/msw224",21
"10.1101/167478","10.1038/s41598-017-15520-4",21
"10.1101/061267","10.1002/hbm.23803",21
"10.1101/080606","10.1093/molbev/msx070",21
"10.1101/061754","10.1037/com0000069",21
"10.1101/067876","10.15252/embj.201696038",21
"10.1101/167767","10.1038/ng.3967",21
"10.1101/152447","10.1186/s12859-017-1929-9",21
"10.1101/122119","10.1111/pce.13019",21
"10.1101/112284","10.3389/fncir.2017.00056",21
"10.1101/137265","10.7554/elife.30054",21
"10.1101/048264","10.12688/f1000research.11223.1",21
"10.1101/071852","10.1073/pnas.1701136114",21
"10.1101/095752","10.7554/elife.23866",21
"10.1101/098624","10.1111/faf.12208",21
"10.1101/106815","10.1038/s41598-017-12104-0",21
"10.1101/078329","10.1534/genetics.116.196436",21
"10.1101/062935","10.7717/peerj.3081",21
"10.1101/073692","10.1038/nmeth.4220",21
"10.1101/059022","10.1101/gr.213587.116",21
"10.1101/023804","10.1111/rssb.12206",21
"10.1101/168518","10.15252/embr.201744559",21
"10.1101/026732","10.1086/691330",21
"10.1101/085266","10.1038/nmicrobiol.2017.29",21
"10.1101/162990","10.1039/c7ib00120g",21
"10.1101/154948","10.1016/j.biomaterials.2017.08.026",21
"10.1101/146563","10.1016/j.aca.2017.07.026",21
"10.1101/088047","10.1086/691537",21
"10.1101/061473","10.1016/j.evolhumbehav.2016.11.001",21
"10.1101/073569","10.1016/j.neuroimage.2016.12.072",21
"10.1101/186460","10.1038/s41598-017-16669-8",21
"10.1101/166256","10.7554/elife.30120",21
"10.1101/166041","10.1128/jvi.01137-17",21
"10.1101/136804","10.1038/s41598-017-15539-7",21
"10.1101/126458","10.1016/j.jmb.2017.06.024",21
"10.1101/107334","10.1016/j.bpj.2017.06.050",21
"10.1101/097188","10.7554/elife.21856",21
"10.1101/055442","10.1111/mec.13955",21
"10.1101/126714","10.1371/journal.pcbi.1005565",21
"10.1101/085084","10.1002/pd.5018",21
"10.1101/099937","10.1016/j.cortex.2016.12.024",21
"10.1101/178848","10.1186/s13072-017-0167-8",21
"10.1101/109686","10.1016/j.ophtha.2017.03.045",21
"10.1101/061234","10.1371/journal.pone.0172500",21
"10.1101/081018","10.1016/j.neuron.2017.06.041",21
"10.1101/079343","10.1093/nar/gkx404",21
"10.1101/107524","10.1073/pnas.1618934114",21
"10.1101/090167","10.1038/nmeth.4263",21
"10.1101/036855","10.3390/s17040761",21
"10.1101/040964","10.1038/srep42561",21
"10.1101/070011","10.1093/gbe/evx188",21
"10.1101/125831","10.7554/elife.27574",21
"10.1101/082081","10.1093/nar/gkx210",21
"10.1101/089714","10.1371/journal.pone.0173433",21
"10.1101/145433","10.1099/mic.0.000579",21
"10.1101/095950","10.1523/jneurosci.0322-17.2017",21
"10.1101/122150","10.1038/ncomms15518",21
"10.1101/090126","10.1038/srep46487",21
"10.1101/151878","10.1088/1361-6463/aa8e2b",21
"10.1101/141929","10.1534/genetics.117.300151",21
"10.1101/088591","10.1104/pp.17.00415",21
"10.1101/130336","10.1186/s13059-017-1269-0",21
"10.1101/063172","10.1007/s00439-016-1742-y",21
"10.1101/143347","10.7554/elife.28899",21
"10.1101/113571","10.7717/peerj.3903",21
"10.1101/110684","10.1016/j.neuron.2017.08.033",21
"10.1101/071571","10.1099/jgv.0.000849",21
"10.1101/056085","10.1093/sysbio/syw089",21
"10.1101/076414","10.1371/journal.pgen.1006609",21
"10.1101/081976","10.1016/j.neuroimage.2017.06.006",21
"10.1101/049411","10.1534/genetics.116.190660",21
"10.1101/085456","10.1111/2041-210x.12800",21
"10.1101/083949","10.1101/gad.290155.116",21
"10.1101/059758","10.7554/elife.20552",21
"10.1101/110064","10.1371/journal.pgen.1006670",21
"10.1101/108662","10.3835/plantgenome2017.03.0015",21
"10.1101/196345","10.1103/physrevlett.119.188103",21
"10.1101/111237","10.1105/tpc.17.00154",21
"10.1101/076554","10.1371/journal.pone.0176585",21
"10.1101/155994","10.7554/elife.29834",21
"10.1101/148080","10.7554/elife.29257",21
"10.1101/088807","10.1038/s41477-017-0024-6",21
"10.1101/122465","10.1128/mbio.00579-17",21
"10.1101/079780","10.1111/geb.12602",21
"10.1101/066209","10.1186/s12864-017-3536-6",21
"10.1101/177964","10.1534/g3.117.300170",21
"10.1101/075374","10.1093/nar/gkx590",21
"10.1101/071324","10.1242/dev.146902",21
"10.1101/093435","10.1039/c6sm02771g",21
"10.1101/086843","10.1371/journal.pmed.1002309",21
"10.1101/083592","10.1371/journal.pone.0168993",21
"10.1101/129296","10.1371/journal.pcbi.1005913",21
"10.1101/135103","10.1128/mbio.00909-17",21
"10.1101/099804","10.1073/pnas.1701291114",21
"10.1101/121855","10.7554/elife.26287",21
"10.1101/114157","10.1016/j.jclepro.2017.10.027",21
"10.1101/173963","10.1371/journal.pntd.0006009",21
"10.1101/112276","10.1016/j.stemcr.2017.09.005",21
"10.1101/126722","10.1073/pnas.1705868114",21
"10.1101/043919","10.1111/gcb.13614",21
"10.1101/120451","10.3389/fnhum.2017.00552",21
"10.1101/101311","10.1242/dev.149427",21
"10.1101/066100","10.1101/gr.213405.116",21
"10.1101/077305","10.1038/srep44286",21
"10.1101/047860","10.1101/gr.208173.116",21
"10.1101/166116","10.1016/j.heliyon.2017.e00451",21
"10.1101/174870","10.1039/c7em00082k",21
"10.1101/088963","10.1016/j.neuron.2017.04.040",21
"10.1101/062877","10.1016/j.cell.2017.03.006",21
"10.1101/046516","10.1186/s12915-017-0354-x",21
"10.1101/064477","10.1016/j.jtbi.2017.01.017",21
"10.1101/158758","10.1371/journal.pbio.2003404",21
"10.1101/120808","10.1534/genetics.117.202259",21
"10.1101/120733","10.1016/j.jtbi.2017.08.003",21
"10.1101/088757","10.1111/jphp.12726",21
"10.1101/092379","10.1038/srep46321",21
"10.1101/175224","10.1371/journal.pone.0188257",21
"10.1101/145425","10.1021/acs.jafc.7b03051",21
"10.1101/168807","10.1242/dev.157644",21
"10.1101/080432","10.1073/pnas.1705762114",21
"10.1101/096065","10.1111/mec.14217",21
"10.1101/099796","10.1038/s41598-017-17204-5",21
"10.1101/128777","10.1186/s13059-017-1244-9",21
"10.1101/099564","10.1186/s12864-017-3723-5",21
"10.1101/224923","10.1098/rsif.2016.0905",21
"10.1101/147959","10.7554/elife.31476",21
"10.1101/109306","10.1021/acssynbio.7b00059",21
"10.1101/121376","10.1128/aem.00729-17",21
"10.1101/086074","10.1038/ncomms15415",21
"10.1101/071084","10.1242/dev.143974",21
