University,Country,Field,Period,Frac_counting,PP_top10
Duke University,United States,Biomedical and health sciences,2014?2017,1,0.151
University of Leicester,United Kingdom,Biomedical and health sciences,2014?2017,1,0.151
University of Michigan,United States,Biomedical and health sciences,2014?2017,1,0.150
The University of Warwick,United Kingdom,Biomedical and health sciences,2014?2017,1,0.150
UniversitÇ Paris-Est CrÇteil Val de Marne,France,Biomedical and health sciences,2014?2017,1,0.150
Oregon Health & Science University,United States,Biomedical and health sciences,2014?2017,1,0.150
University of Kashan,Iran,Biomedical and health sciences,2014?2017,1,0.149
University of Amsterdam,Netherlands,Biomedical and health sciences,2014?2017,1,0.149
Katholieke Universiteit Leuven,Belgium,Biomedical and health sciences,2014?2017,1,0.149
"University of California, Santa Cruz",United States,Biomedical and health sciences,2014?2017,1,0.148
"University of North Carolina, Chapel Hill",United States,Biomedical and health sciences,2014?2017,1,0.148
University of Basel,Switzerland,Biomedical and health sciences,2014?2017,1,0.148
McMaster University,Canada,Biomedical and health sciences,2014?2017,1,0.147
University of Aberdeen,United Kingdom,Biomedical and health sciences,2014?2017,1,0.147
University of Birmingham,United Kingdom,Biomedical and health sciences,2014?2017,1,0.147
Boston University,United States,Biomedical and health sciences,2014?2017,1,0.146
University of Liverpool,United Kingdom,Biomedical and health sciences,2014?2017,1,0.146
UniversitÇ Nice Sophia Antipolis,France,Biomedical and health sciences,2014?2017,1,0.146
Paris-Sud University,France,Biomedical and health sciences,2014?2017,1,0.146
Emory University,United States,Biomedical and health sciences,2014?2017,1,0.145
Erasmus University Rotterdam,Netherlands,Biomedical and health sciences,2014?2017,1,0.145
Pompeu Fabra University,Spain,Biomedical and health sciences,2014?2017,1,0.145
Utrecht University,Netherlands,Biomedical and health sciences,2014?2017,1,0.145
Vanderbilt University,United States,Biomedical and health sciences,2014?2017,1,0.144
"Trinity College Dublin, The University of Dublin",Ireland,Biomedical and health sciences,2014?2017,1,0.144
"University of California, Santa Barbara",United States,Biomedical and health sciences,2014?2017,1,0.143
University of Toronto,Canada,Biomedical and health sciences,2014?2017,1,0.142
University of Zurich,Switzerland,Biomedical and health sciences,2014?2017,1,0.142
UniversitÇ Paris Diderot,France,Biomedical and health sciences,2014?2017,1,0.141
University of Virginia,United States,Biomedical and health sciences,2014?2017,1,0.140
Vrije Universiteit Amsterdam,Netherlands,Biomedical and health sciences,2014?2017,1,0.140
Wuhan University of Science and Technology,China,Biomedical and health sciences,2014?2017,1,0.140
The University of Sheffield,United Kingdom,Biomedical and health sciences,2014?2017,1,0.139
Radboud University,Netherlands,Biomedical and health sciences,2014?2017,1,0.138
Paris Descartes University,France,Biomedical and health sciences,2014?2017,1,0.138
University of Macau,China,Biomedical and health sciences,2014?2017,1,0.137
University of Nottingham,United Kingdom,Biomedical and health sciences,2014?2017,1,0.136
University of British Columbia,Canada,Biomedical and health sciences,2014?2017,1,0.136
University of Sussex,United Kingdom,Biomedical and health sciences,2014?2017,1,0.135
University of Leeds,United Kingdom,Biomedical and health sciences,2014?2017,1,0.135
Rush University,United States,Biomedical and health sciences,2014?2017,1,0.135
Tufts University,United States,Biomedical and health sciences,2014?2017,1,0.135
University of Vermont,United States,Biomedical and health sciences,2014?2017,1,0.134
Sorbonne University,France,Biomedical and health sciences,2014?2017,1,0.134
University of Groningen,Netherlands,Biomedical and health sciences,2014?2017,1,0.134
"University of Colorado, Denver",United States,Biomedical and health sciences,2014?2017,1,0.134
University of Pittsburgh,United States,Biomedical and health sciences,2014?2017,1,0.134
Yeshiva University,United States,Biomedical and health sciences,2014?2017,1,0.133
"University of Wisconsin, Madison",United States,Biomedical and health sciences,2014?2017,1,0.133
Leiden University,Netherlands,Biomedical and health sciences,2014?2017,1,0.133
University of Southampton,United Kingdom,Biomedical and health sciences,2014?2017,1,0.133
Cardiff University,United Kingdom,Biomedical and health sciences,2014?2017,1,0.133
University of Massachusetts Amherst,United States,Biomedical and health sciences,2014?2017,1,0.133
